Entity,Code,Year,UN Constant Fertility,UN Low Variant,UN High Variant,UN Medium Variant,UN Estimates 1950-2015,HYDE Estimates 1750-1950
World,OWID_WRL,2015,7383008820,7383008820,7383008820,7383008820,7383008820,
World,OWID_WRL,2016,7471094883,7458174982,7476053631,7466964280,,
World,OWID_WRL,2017,7559571757,7529619677,7571259156,7550262101,,
World,OWID_WRL,2018,7648434379,7597815559,7668093338,7632819325,,
World,OWID_WRL,2019,7737681494,7663136954,7766124032,7714576923,,
World,OWID_WRL,2020,7827315066,7725860308,7865018659,7795482309,,
World,OWID_WRL,2021,7917341030,7786159167,7964548504,7875464634,,
World,OWID_WRL,2022,8007769160,7844109323,8064584649,7954468982,,
World,OWID_WRL,2023,8098612586,7899703188,8165084011,8032487475,,
World,OWID_WRL,2024,8189889863,7952874306,8266066859,8109532823,,
World,OWID_WRL,2025,8281626942,8003570926,8367547932,8185613757,,
World,OWID_WRL,2026,8373858619,8051834477,8469463660,8260710124,,
World,OWID_WRL,2027,8466631930,8097867833,8571608326,8334801643,,
World,OWID_WRL,2028,8560006418,8142065001,8673606754,8407900352,,
World,OWID_WRL,2029,8654051371,8184927841,8774992023,8480027356,,
World,OWID_WRL,2030,8748839028,8226820800,8875432903,8551198644,,
World,OWID_WRL,2031,8844438857,8267900651,8974792089,8621415775,,
World,OWID_WRL,2032,8940922455,8308100495,9073155139,8690673506,,
World,OWID_WRL,2033,9038370153,8347275580,9170703672,8758973114,,
World,OWID_WRL,2034,9136867035,8385173339,9267733375,8826315616,,
World,OWID_WRL,2035,9236503749,8421592190,9364490721,8892701940,,
World,OWID_WRL,2036,9337366348,8456494159,9461032808,8958126691,,
World,OWID_WRL,2037,9439553680,8489897121,9557381222,9022590075,,
World,OWID_WRL,2038,9543187099,8521711545,9653714802,9086103797,,
World,OWID_WRL,2039,9648399215,8551838603,9750240541,9148683649,,
World,OWID_WRL,2040,9755315789,8580188784,9847129011,9210337004,,
World,OWID_WRL,2041,9864053988,8606709614,9944468537,9271063273,,
World,OWID_WRL,2042,9974715687,8631347857,10042309960,9330845890,,
World,OWID_WRL,2043,10087394020,8654016336,10140733840,9389655929,,
World,OWID_WRL,2044,10202175960,8674621492,10239810060,9447454649,,
World,OWID_WRL,2045,10319159150,8693091461,10339587100,9504209572,,
World,OWID_WRL,2046,10438466820,8709391250,10440102500,9559909195,,
World,OWID_WRL,2047,10560232090,8723511287,10541359820,9614545440,,
World,OWID_WRL,2048,10684578310,8735441407,10643322100,9668093432,,
World,OWID_WRL,2049,10811631480,8745184856,10745925650,9720525979,,
World,OWID_WRL,2050,10941526880,8752754583,10849107460,9771822753,,
World,OWID_WRL,2051,11074413610,8758158733,10952856870,9821979204,,
World,OWID_WRL,2052,11210448270,8761425059,11057142050,9870996143,,
World,OWID_WRL,2053,11349788130,8762618408,11161849520,9918868234,,
World,OWID_WRL,2054,11492595960,8761823238,11266838080,9965591995,,
World,OWID_WRL,2055,11639044040,8759118425,11371996810,10011171420,,
World,OWID_WRL,2056,11789312460,8754544538,11477284550,10055609540,,
World,OWID_WRL,2057,11943593180,8748148455,11582694000,10098925720,,
World,OWID_WRL,2058,12102088300,8740024486,11688193040,10141161410,,
World,OWID_WRL,2059,12265009550,8730280782,11793759210,10182370370,,
World,OWID_WRL,2060,12432573420,8719007601,11899382360,10222598470,,
World,OWID_WRL,2061,12604996930,8706258714,12005055750,10261867910,,
World,OWID_WRL,2062,12782502010,8692065777,12110794540,10300193300,,
World,OWID_WRL,2063,12965322630,8676468662,12216646450,10337605230,,
World,OWID_WRL,2064,13153699550,8659499256,12322677550,10374134680,,
World,OWID_WRL,2065,13347878460,8641184048,12428951730,10409808300,,
World,OWID_WRL,2066,13548114190,8621556610,12535499140,10444646730,,
World,OWID_WRL,2067,13754660900,8600636493,12642357010,10478663350,,
World,OWID_WRL,2068,13967768220,8578415092,12749606350,10511866500,,
World,OWID_WRL,2069,14187687440,8554870376,12857342120,10544259440,,
World,OWID_WRL,2070,14414682500,8529987886,12965645030,10575846550,,
World,OWID_WRL,2071,14649044430,8503782543,13074559240,10606640450,,
World,OWID_WRL,2072,14891073440,8476271611,13184116030,10636651710,,
World,OWID_WRL,2073,15141063640,8447446384,13294366940,10665879010,,
World,OWID_WRL,2074,15399314940,8417292417,13405362280,10694316770,,
World,OWID_WRL,2075,15666142830,8385806721,13517141320,10721963760,,
World,OWID_WRL,2076,15941885510,8353003292,13629727690,10748825990,,
World,OWID_WRL,2077,16226897330,8318911232,13743132580,10774916270,,
World,OWID_WRL,2078,16521538300,8283563460,13857362010,10800248730,,
World,OWID_WRL,2079,16826180980,8247000785,13972413930,10824840810,,
World,OWID_WRL,2080,17141211000,8209264662,14088280440,10848708180,,
World,OWID_WRL,2081,17467025370,8170384949,14204954700,10871858040,,
World,OWID_WRL,2082,17804035510,8130398268,14322419330,10894298620,,
World,OWID_WRL,2083,18152669440,8089362658,14440638070,10916049660,,
World,OWID_WRL,2084,18513368380,8047344794,14559563940,10937133170,,
World,OWID_WRL,2085,18886584310,8004404355,14679150160,10957565800,,
World,OWID_WRL,2086,19272784020,7960584837,14799366900,10977355760,,
World,OWID_WRL,2087,19672438700,7915921721,14920179040,10996502490,,
