Entity,Code,Year,Crude oil production (gigawatt-hours)
United Kingdom,GBR,1920,26.469241257140002
United Kingdom,GBR,1921,18.07943710836
United Kingdom,GBR,1922,23.86958363554
United Kingdom,GBR,1923,26.469241257140002
United Kingdom,GBR,1924,26.58740752324
United Kingdom,GBR,1925,22.80608733368
United Kingdom,GBR,1926,18.07943710836
United Kingdom,GBR,1927,19.61559843973
United Kingdom,GBR,1928,19.49743218526
United Kingdom,GBR,1929,19.14293341022
United Kingdom,GBR,1930,18.90660090128
United Kingdom,GBR,1931,16.54327578862
United Kingdom,GBR,1932,13.352786883039999
United Kingdom,GBR,1933,13.58911940361
United Kingdom,GBR,1934,13.70728565808
United Kingdom,GBR,1935,13.58911940361
United Kingdom,GBR,1936,13.70728565808
United Kingdom,GBR,1937,14.29811693043
United Kingdom,GBR,1938,14.88894821441
United Kingdom,GBR,1939,15.47977948676
United Kingdom,GBR,1940,16.89777455203
United Kingdom,GBR,1941,19.02476715575
United Kingdom,GBR,1942,27.29640505006
United Kingdom,GBR,1943,30.36872770117
United Kingdom,GBR,1944,27.06007254112
United Kingdom,GBR,1945,22.21525606133
United Kingdom,GBR,1946,19.7337646942
United Kingdom,GBR,1947,17.1341070726
United Kingdom,GBR,1948,18.07943710836
United Kingdom,GBR,1949,18.67026839234
United Kingdom,GBR,1950,18.55210213787
United Kingdom,GBR,1951,17.72493834495
United Kingdom,GBR,1952,19.14293341022
United Kingdom,GBR,1953,18.78843464681
United Kingdom,GBR,1954,18.78843464681
United Kingdom,GBR,1955,17.84310459942
United Kingdom,GBR,1956,17.0159408065
United Kingdom,GBR,1957,18.07943710836
United Kingdom,GBR,1958,16.89777455203
United Kingdom,GBR,1959,16.89777455203
United Kingdom,GBR,1960,17.25227332707
United Kingdom,GBR,1961,17.60677209048
United Kingdom,GBR,1962,15.00711446888
United Kingdom,GBR,1963,14.534449439369999
United Kingdom,GBR,1964,15.00711446888
United Kingdom,GBR,1965,9.689632961906
United Kingdom,GBR,1966,9.216967939374001
United Kingdom,GBR,1967,10.516796751337
United Kingdom,GBR,1968,9.925965473172
United Kingdom,GBR,1969,10.044131728805
United Kingdom,GBR,1970,18.1428
United Kingdom,GBR,1971,24.6556
United Kingdom,GBR,1972,38.7279
United Kingdom,GBR,1973,43.2636
United Kingdom,GBR,1974,47.683
United Kingdom,GBR,1975,181.8932
United Kingdom,GBR,1976,1415.2547
United Kingdom,GBR,1977,4450.2195
United Kingdom,GBR,1978,6280.8978
United Kingdom,GBR,1979,9042.0924
United Kingdom,GBR,1980,9358.3121
United Kingdom,GBR,1981,10403.5002
United Kingdom,GBR,1982,12003.4393
United Kingdom,GBR,1983,13369.848
United Kingdom,GBR,1984,14661.3595
United Kingdom,GBR,1985,14841.1593
United Kingdom,GBR,1986,14778.0084
United Kingdom,GBR,1987,14345.7213
United Kingdom,GBR,1988,13311.5817
United Kingdom,GBR,1989,10665.873
United Kingdom,GBR,1990,10653.5452
United Kingdom,GBR,1991,10613.6543
United Kingdom,GBR,1992,10961.3913
United Kingdom,GBR,1993,11651.9807
United Kingdom,GBR,1994,14716.8346
United Kingdom,GBR,1995,15106.6722
United Kingdom,GBR,1996,15088.9946
United Kingdom,GBR,1997,14913.6142
United Kingdom,GBR,1998,15425.2179
United Kingdom,GBR,1999,15944.6137
United Kingdom,GBR,2000,14682.2935
United Kingdom,GBR,2001,13569.696291799999
United Kingdom,GBR,2002,13484.316565750001
United Kingdom,GBR,2003,12336.282073010001
United Kingdom,GBR,2004,11091.99799102
United Kingdom,GBR,2005,9853.06726781
United Kingdom,GBR,2006,8906.00240821
United Kingdom,GBR,2007,8905.684159075001
United Kingdom,GBR,2008,8349.041636103999
United Kingdom,GBR,2009,7931.4909835359995
United Kingdom,GBR,2010,7322.435740764
United Kingdom,GBR,2011,6044.3930682049995
United Kingdom,GBR,2012,5182.421904109
United Kingdom,GBR,2013,4780.023159789001
United Kingdom,GBR,2014,4690.117683204
United Kingdom,GBR,2015,5314.691417639
United Kingdom,GBR,2016,5567.527587401
