Entity,Code,Year,Female-to-male ratio at birth,Female-to-male ratio at age 15,Female-to-male ratio at age 45
France,FRA,1836,1.037584900856018,1.010281443595886,1.011658430099487
France,FRA,1841,1.051624298095703,1.031369090080261,1.008698225021362
France,FRA,1846,1.030681014060974,1.009899258613586,1.008138418197632
France,FRA,1851,1.02911913394928,1.004696488380432,1.010636806488037
France,FRA,1856,1.055967211723328,1.030334711074829,1.008722186088562
France,FRA,1861,1.021917700767517,0.9991658329963684,1.010758996009827
France,FRA,1866,1.0355144739151,1.011316895484924,1.02008855342865
France,FRA,1872,1.052847504615784,1.023511528968811,1.02019464969635
France,FRA,1876,1.051493167877197,1.026687026023865,1.022557497024536
France,FRA,1881,1.053798913955689,1.025969624519348,1.020512104034424
France,FRA,1886,1.06156051158905,1.029012560844421,1.022043824195862
France,FRA,1891,1.065731048583984,1.031462669372559,1.021508574485779
France,FRA,1896,1.069438457489014,1.03954803943634,1.027172327041626
France,FRA,1901,1.080256462097168,1.045188307762146,1.035126328468323
France,FRA,1906,1.08237087726593,1.049013018608093,1.039045214653015
France,FRA,1911,1.082200646400452,1.053618907928467,1.039111852645874
France,FRA,1921,1.081769704818726,1.052308678627014,1.039589643478394
France,FRA,1926,1.085184454917908,1.058231949806213,1.047494173049927
France,FRA,1931,1.086725354194641,1.063339710235596,1.049622774124146
France,FRA,1936,1.105121731758118,1.080437898635864,1.058099150657654
France,FRA,1946,1.089019179344177,1.062203764915466,1.050809621810913
France,FRA,1962,1.103149771690369,1.092672467231751,1.075162887573242
France,FRA,1968,1.110094428062439,1.102505326271057,1.083011031150818
France,FRA,1975,1.113735198974609,1.107897400856018,1.087772130966187
France,FRA,1982,1.115683794021606,1.111358523368835,1.091141581535339
France,FRA,1990,1.113448858261108,1.10976767539978,1.088088393211365
France,FRA,1999,1.101147532463074,1.099337697029114,1.083634495735169
Sweden,SWE,1860,1.07895302772522,1.051277756690979,1.034477710723877
Sweden,SWE,1870,1.083757519721985,1.049932241439819,1.033557057380676
Sweden,SWE,1880,1.064313530921936,1.037282109260559,1.028308629989624
Sweden,SWE,1890,1.054808497428894,1.030288577079773,1.02409303188324
Sweden,SWE,1900,1.055708646774292,1.03217625617981,1.026805877685547
Sweden,SWE,1910,1.046074748039246,1.02676248550415,1.023259043693543
Sweden,SWE,1920,1.046196579933167,1.027199506759644,1.01741635799408
Sweden,SWE,1930,1.033156275749207,1.015528917312622,1.013635158538818
Sweden,SWE,1940,1.042061805725098,1.028312683105469,1.018445134162903
Sweden,SWE,1950,1.037079572677612,1.028215765953064,1.020016074180603
Sweden,SWE,1960,1.051094889640808,1.044161915779114,1.034303307533264
