Entity,Code,Year,Share of people who neither agree nor disagree vaccines are important for children to have (%)
Afghanistan,AFG,2018,0.352001327
Albania,ALB,2018,7.339079826
Algeria,DZA,2018,1.182944002
Argentina,ARG,2018,9.227833559
Armenia,ARM,2018,0.662218721
Australia,AUS,2018,9.637653205
Australia/New Zealand,,2018,5
Austria,AUT,2018,4.482686392
Azerbaijan,AZE,2018,12.56667356
Bangladesh,BGD,2018,8.114134241
Belarus,BLR,2018,0.415976579
Belgium,BEL,2018,22.72186377
Benin,BEN,2018,6.036002271
Bolivia,BOL,2018,0.521671989
Bosnia and Herzegovina,BIH,2018,0.966430124
Botswana,BWA,2018,7.894420336
Brazil,BRA,2018,0.854075556
Bulgaria,BGR,2018,1.502144603
Burkina Faso,BFA,2018,16.58970003
Burundi,BDI,2018,1.60770562
Cameroon,CMR,2018,0.125374739
Canada,CAN,2018,0.225605328
Central Africa,,2018,1
Central America and Mexico,,2018,1
Central Asia,,2018,6
Chad,TCD,2018,6.682399366
Chile,CHL,2018,1.345839672
China,CHN,2018,6.530150944
Colombia,COL,2018,6.769296607
Comoros,COM,2018,0.461654484
Congo,COG,2018,0.381361424
Costa Rica,CRI,2018,0.96701323
Cote d'Ivoire,CIV,2018,7.137593322
Croatia,HRV,2018,0.975766069
Cyprus,CYP,2018,14.40985475
Czech Republic,CZE,2018,8.325576558
Denmark,DNK,2018,9.791760637
Dominican Republic,DOM,2018,5.171330665
East Asia,,2018,9
Eastern Africa,,2018,1
Eastern Europe,,2018,11
Ecuador,ECU,2018,0.161016762
Egypt,EGY,2018,0.741916089
El Salvador,SLV,2018,0.276848913
Estonia,EST,2018,1.923880133
Ethiopia,ETH,2018,13.19212153
Finland,FIN,2018,0.046589768
France,FRA,2018,4.038316589
Gabon,GAB,2018,13.28323199
Gambia,GMB,2018,0.260039416
Georgia,GEO,2018,1.484092086
Germany,DEU,2018,3.283339975
Ghana,GHA,2018,6.705374459
Greece,GRC,2018,1.041994513
Guatemala,GTM,2018,3.889349843
Guinea,GIN,2018,0.89015577
Haiti,HTI,2018,0.710020793
Honduras,HND,2018,0.28609248
Hungary,HUN,2018,0.5912916
Iceland,ISL,2018,6.771739338
India,IND,2018,0.646350128
Indonesia,IDN,2018,0.799093143
Iran,IRN,2018,2.467287998
Iraq,IRQ,2018,3.627608046
Ireland,IRL,2018,0.656189801
Israel,ISR,2018,3.992516729
Italy,ITA,2018,4.078166952
Japan,JPN,2018,0.822648809
Jordan,JOR,2018,27.64250019
Kazakhstan,KAZ,2018,0.692061802
Kenya,KEN,2018,15.21416638
Kosovo,OWID_KOS,2018,0.860718321
Kuwait,KWT,2018,2.469196348
Kyrgyzstan,KGZ,2018,2.777330897
Laos,LAO,2018,3.659993831
Latvia,LVA,2018,0.385485992
Lebanon,LBN,2018,16.80263852
Liberia,LBR,2018,2.307798238
Libya,LBY,2018,0.356836466
Lithuania,LTU,2018,6.144981373
Luxembourg,LUX,2018,19.40515182
Macedonia,MKD,2018,6.59532643
Madagascar,MDG,2018,11.53528498
Malawi,MWI,2018,0.133797434
Malaysia,MYS,2018,1.305738959
