Entity,Code,Year,First child (male births per 100 female births),Second child (male births per 100 female births),Third child (male births per 100 female births),Fourth child & higher (male births per 100 female births)
China,CHN,1981,105.33,107.16,112.59,
China,CHN,1986,107.66,117.25,123.29,
China,CHN,1989,105.2,121.02,126.6,
China,CHN,1993,105.6,130.22,126.13,
China,CHN,2000,107.12,151.92,159.36,
China,CHN,2005,108.41,143.22,152.88,
China,CHN,2010,113.73,130.29,158.41,
South Korea,KOR,1970,110.2,109.3,109.1,109.4
South Korea,KOR,1971,108.1,107.7,109.7,110.1
South Korea,KOR,1972,109,109.5,109.5,110.1
South Korea,KOR,1973,106.2,105.3,103.9,103
South Korea,KOR,1974,114.7,108.5,108.4,104.8
South Korea,KOR,1975,120,109.8,110.8,105.5
South Korea,KOR,1976,113.6,110.1,109.9,107.1
South Korea,KOR,1977,104.3,103.6,104.5,105.1
South Korea,KOR,1978,111.6,110.9,110.8,112
South Korea,KOR,1979,106.2,106.2,106.7,107.5
South Korea,KOR,1980,106.2,106.5,106.9,110.2
South Korea,KOR,1981,106.3,106.7,107.1,112.9
South Korea,KOR,1982,105.4,106,109.2,113.6
South Korea,KOR,1983,105.8,106.2,111.8,120
South Korea,KOR,1984,106.1,107.2,116.9,128.1
South Korea,KOR,1985,106,107.8,129.2,146.8
South Korea,KOR,1986,107.3,111.2,138.6,149.9
South Korea,KOR,1987,104.7,109.1,134.9,148.8
South Korea,KOR,1988,107.2,113.3,165.4,183.3
South Korea,KOR,1989,104.1,112.5,183.1,201.1
South Korea,KOR,1990,108.6,117.2,190.8,214.1
South Korea,KOR,1991,105.8,112.6,181.4,201.3
South Korea,KOR,1992,106.3,112.6,194.1,220.1
South Korea,KOR,1993,106.6,114.8,205.3,246.7
South Korea,KOR,1994,106.1,114.3,205.9,237.7
South Korea,KOR,1995,105.9,111.7,172.6,200.5
South Korea,KOR,1996,105.2,109.8,164,183.2
South Korea,KOR,1997,105,106.3,133.5,153.3
South Korea,KOR,1998,106.2,107.7,144.1,152
South Korea,KOR,1999,105.6,107.5,142,155.3
South Korea,KOR,2000,106.3,107.4,141.9,167.6
South Korea,KOR,2001,105.5,106.4,140.4,152.6
South Korea,KOR,2002,106.5,107.3,140.1,153.2
South Korea,KOR,2003,104.9,107,135.5,149.6
South Korea,KOR,2004,105.1,106.2,132.2,140
South Korea,KOR,2005,104.8,106.5,128,132.4
South Korea,KOR,2006,105.7,106,121.9,121.9
South Korea,KOR,2007,104.5,106,115.3,119.1
South Korea,KOR,2008,104.9,105.6,115.8,123.9
South Korea,KOR,2009,105.1,105.8,114.4,114.1
South Korea,KOR,2010,106.4,105.8,111,109.7
South Korea,KOR,2011,105,105.3,110.1,104.7
South Korea,KOR,2012,105.3,104.9,108.9,111.5
South Korea,KOR,2013,105.4,104.5,107.8,109.8
South Korea,KOR,2014,105.6,104.6,106.5,107.7
South Korea,KOR,2015,106,104.5,105.4,106.8
South Korea,KOR,2016,104.4,105.2,107.3,108.3
South Korea,KOR,2017,106.5,106.1,105.9,109.4
