Entity,Code,Year,"10.b.1 - Total assistance for development, by donor countries (millions of current United States dollars) - DC_TRF_TOTDL (USD)"
Australia,AUS,2000,1511950000
Australia,AUS,2001,784310000
Australia,AUS,2002,306450000
Australia,AUS,2003,2340670000
Australia,AUS,2004,1593810000
Australia,AUS,2005,4143979999.9999995
Australia,AUS,2006,8060330000
Australia,AUS,2007,9193350000
Australia,AUS,2008,2857550000
Australia,AUS,2009,2682790000
Australia,AUS,2010,13063830000
Australia,AUS,2011,16474490000.000002
Australia,AUS,2012,19607250000
Australia,AUS,2013,22470550000
Australia,AUS,2014,31090360000
Australia,AUS,2015,13098969890
Australia,AUS,2016,14074259640
Australia,AUS,2017,-357762320
Austria,AUT,2000,905810000
Austria,AUT,2001,588460000
Austria,AUT,2002,1696750000
Austria,AUT,2003,1096840000
Austria,AUT,2004,937920000
Austria,AUT,2005,4355790000
Austria,AUT,2006,2929200000
Austria,AUT,2007,19798430000
Austria,AUT,2008,10214400000
Austria,AUT,2009,2498640000
Austria,AUT,2010,5608550000
Austria,AUT,2011,7271520000
Austria,AUT,2012,3964333270
Austria,AUT,2013,238903390
Austria,AUT,2014,2685754200
Austria,AUT,2015,3987779170
Austria,AUT,2016,2444989210
Austria,AUT,2017,1454513270
Azerbaijan,AZE,2014,10108110
Azerbaijan,AZE,2015,7119610
Azerbaijan,AZE,2016,4140310.0000000005
Azerbaijan,AZE,2017,5353720
Belgium,BEL,2000,1868780000
Belgium,BEL,2001,-202170000
Belgium,BEL,2002,902630000
Belgium,BEL,2003,670140000
Belgium,BEL,2004,74370000
Belgium,BEL,2005,2237750000
Belgium,BEL,2006,4436740000
Belgium,BEL,2007,2762210000
Belgium,BEL,2008,3054830000
Belgium,BEL,2009,1822310000
Belgium,BEL,2010,6540200000
Belgium,BEL,2011,-402130000
Belgium,BEL,2012,1820870000
Belgium,BEL,2013,8560799999.999999
Belgium,BEL,2014,7133120000
Belgium,BEL,2015,2454238740
Belgium,BEL,2016,-12308091910
Belgium,BEL,2017,6827514640
Bulgaria,BGR,2010,230000
Bulgaria,BGR,2011,6830000
Bulgaria,BGR,2012,160000
Bulgaria,BGR,2013,350000
Bulgaria,BGR,2014,990000
Bulgaria,BGR,2015,1400000
Bulgaria,BGR,2016,12210000
Bulgaria,BGR,2017,9880000
Canada,CAN,2000,5786240000
Canada,CAN,2001,1089340000
Canada,CAN,2002,1264500000
Canada,CAN,2003,3700250000
Canada,CAN,2004,4738760000
Canada,CAN,2005,11476450000
Canada,CAN,2006,11983590000
Canada,CAN,2007,14878510000
Canada,CAN,2008,21150210000
Canada,CAN,2009,5142770000
Canada,CAN,2010,19400940000
Canada,CAN,2011,10155880000
Canada,CAN,2012,13399982070
Canada,CAN,2013,7039004900
Canada,CAN,2014,15105885930
Canada,CAN,2015,-75250710
Canada,CAN,2016,6124951630
Canada,CAN,2017,221079350
Croatia,HRV,2012,14520000
Croatia,HRV,2013,24260000
Croatia,HRV,2014,30110000
Croatia,HRV,2015,16200000
Croatia,HRV,2016,3470000
Croatia,HRV,2017,14094060
Cyprus,CYP,2005,4360000
Cyprus,CYP,2006,14190000
Cyprus,CYP,2007,21000000
Cyprus,CYP,2008,21750000
Cyprus,CYP,2009,23240000
Cyprus,CYP,2010,30410000
Cyprus,CYP,2011,18050000
Cyprus,CYP,2012,9280000
Cyprus,CYP,2013,3280000
Cyprus,CYP,2014,187400
Cyprus,CYP,2015,567700
Czech Republic,CZE,2000,6360000
Czech Republic,CZE,2001,14940000
Czech Republic,CZE,2002,31310000
Czech Republic,CZE,2003,80360000
Czech Republic,CZE,2004,63580000
Czech Republic,CZE,2005,64420000
Czech Republic,CZE,2006,77700000
Czech Republic,CZE,2007,80950000
Czech Republic,CZE,2008,117140000
Czech Republic,CZE,2009,101020000
Czech Republic,CZE,2010,79360000
Czech Republic,CZE,2011,76920000
Czech Republic,CZE,2012,66420000
Czech Republic,CZE,2013,57037730
Czech Republic,CZE,2014,28169980
Czech Republic,CZE,2015,134516150
Czech Republic,CZE,2016,34283110
Czech Republic,CZE,2017,-99958180
Denmark,DNK,2000,1503040000
Denmark,DNK,2001,2028150000
Denmark,DNK,2002,971590000
Denmark,DNK,2003,1179060000
Denmark,DNK,2004,1740330000
Denmark,DNK,2005,1382660000
Denmark,DNK,2006,1841040000
Denmark,DNK,2007,3775880000
Denmark,DNK,2008,4053380000
Denmark,DNK,2009,2510320000
Denmark,DNK,2010,3853780000
Denmark,DNK,2011,1798560000
Denmark,DNK,2012,1685102850
Denmark,DNK,2013,3388778540
Denmark,DNK,2014,3271401920
Denmark,DNK,2015,2122241520
Denmark,DNK,2016,2631004400
Denmark,DNK,2017,5178815520
Estonia,EST,2000,220000
Estonia,EST,2001,230000
Estonia,EST,2002,200000
Estonia,EST,2003,450000
Estonia,EST,2004,590000
Estonia,EST,2005,1900000
Estonia,EST,2006,1940000
Estonia,EST,2007,2610000
Estonia,EST,2008,5860000
Estonia,EST,2009,3610000
Estonia,EST,2010,4910000
Estonia,EST,2011,7270000
Estonia,EST,2012,8600000
Estonia,EST,2013,11435210
Estonia,EST,2014,14978110
Estonia,EST,2015,15042710
Estonia,EST,2016,18598080
