Entity,Code,Year,Share of global exports (%) (%)
Belgium,BEL,2016,2.99
Canada,CAN,2016,1.81
France,FRA,2016,3.52
Germany,DEU,2016,8.22
Hong Kong,HKG,2016,26.1
Japan,JPN,2016,10.3
Mexico,MEX,2016,4.9
Netherlands,NLD,2016,3.59
Top 10 exporters,,2016,78
United Kingdom,GBR,2016,4.31
United States,USA,2016,12.4
