Entity,Code,Year,"Deaths from Smallpox in London 1629-1902 (OWID, 2017) (%)", (% of all deaths in London)
United Kingdom,GBR,1733,1370,4.686484453
United Kingdom,GBR,1734,2688,10.31386693
United Kingdom,GBR,1735,1594,6.77202821
United Kingdom,GBR,1736,3014,10.92781262
United Kingdom,GBR,1737,2084,7.490205945
United Kingdom,GBR,1738,1590,6.156824782
United Kingdom,GBR,1739,1690,6.645171438
United Kingdom,GBR,1740,2725,8.844243939
United Kingdom,GBR,1741,1977,6.14566819
United Kingdom,GBR,1742,1429,5.199577921
United Kingdom,GBR,1743,2029,8.051587302
United Kingdom,GBR,1744,1633,7.92487625
United Kingdom,GBR,1745,1206,5.663035312
United Kingdom,GBR,1746,3236,11.49270164
United Kingdom,GBR,1747,1380,5.413038362
United Kingdom,GBR,1748,1789,7.495077297
United Kingdom,GBR,1749,2625,10.28766264
United Kingdom,GBR,1750,1229,5.179753024
United Kingdom,GBR,1751,998,4.746052882
United Kingdom,GBR,1752,3538,17.27117403
United Kingdom,GBR,1753,774,4.015355883
United Kingdom,GBR,1754,2359,10.39390201
United Kingdom,GBR,1755,1988,9.070584478
United Kingdom,GBR,1756,1608,7.704101188
United Kingdom,GBR,1757,3296,15.46473983
United Kingdom,GBR,1758,1273,7.242831133
United Kingdom,GBR,1759,2596,13.24219547
United Kingdom,GBR,1760,2187,11.02874433
United Kingdom,GBR,1761,1525,7.240184209
United Kingdom,GBR,1762,2743,10.41935729
United Kingdom,GBR,1763,3582,13.69894447
United Kingdom,GBR,1764,2382,10.26635635
United Kingdom,GBR,1765,2498,10.7533362
United Kingdom,GBR,1766,2334,9.761197775
United Kingdom,GBR,1767,2188,9.676278082
United Kingdom,GBR,1768,3028,12.8093405
United Kingdom,GBR,1769,1968,9.008101799
United Kingdom,GBR,1770,1986,8.852634394
United Kingdom,GBR,1771,1660,7.621671258
United Kingdom,GBR,1772,3992,15.3226116
United Kingdom,GBR,1773,1039,4.797746583
United Kingdom,GBR,1774,2479,11.87033135
United Kingdom,GBR,1775,2669,13.01062689
United Kingdom,GBR,1776,1728,9.071818564
United Kingdom,GBR,1777,2567,11.00111425
United Kingdom,GBR,1778,1425,6.985636551
United Kingdom,GBR,1779,2493,12.208619
United Kingdom,GBR,1780,871,4.245260028
United Kingdom,GBR,1781,3500,16.90086436
United Kingdom,GBR,1782,636,3.549503293
United Kingdom,GBR,1783,1550,8.145462189
United Kingdom,GBR,1784,1759,9.866502131
United Kingdom,GBR,1785,1999,10.56609757
United Kingdom,GBR,1786,1210,5.915713308
United Kingdom,GBR,1787,2418,12.49676986
United Kingdom,GBR,1788,1101,5.589683708
United Kingdom,GBR,1789,2077,10.01012097
United Kingdom,GBR,1790,1617,8.964408471
United Kingdom,GBR,1791,1747,9.312366738
United Kingdom,GBR,1792,1568,7.757383862
United Kingdom,GBR,1793,2382,10.95222769
United Kingdom,GBR,1794,1913,9.942310691
United Kingdom,GBR,1795,1040,4.910524576
United Kingdom,GBR,1796,3548,18.39485691
United Kingdom,GBR,1797,522,3.068061596
United Kingdom,GBR,1798,2337,12.87248692
United Kingdom,GBR,1799,1111,6.126612992
United Kingdom,GBR,1800,2409,10.44303797
United Kingdom,GBR,1801,1461,7.541034376
United Kingdom,GBR,1802,1579,8.147995253
United Kingdom,GBR,1803,1202,6.138290267
United Kingdom,GBR,1804,622,3.651520488
United Kingdom,GBR,1805,1685,9.592940507
United Kingdom,GBR,1806,1158,6.455569183
United Kingdom,GBR,1807,1297,7.074288208
United Kingdom,GBR,1808,1169,5.858474491
United Kingdom,GBR,1809,1163,6.972422062
United Kingdom,GBR,1810,1198,6.022218871
United Kingdom,GBR,1811,751,4.406501203
United Kingdom,GBR,1812,1287,7.034708937
United Kingdom,GBR,1813,898,5.184158873
United Kingdom,GBR,1814,638,3.308613805
United Kingdom,GBR,1815,725,3.706543967
United Kingdom,GBR,1816,653,3.214215397
United Kingdom,GBR,1817,1051,5.263421474
United Kingdom,GBR,1818,421,2.136513575
United Kingdom,GBR,1819,712,3.702933222
United Kingdom,GBR,1820,792,4.093446351
United Kingdom,GBR,1821,508,2.753238307
United Kingdom,GBR,1822,604,3.201696263
United Kingdom,GBR,1823,774,3.759654151
United Kingdom,GBR,1824,725,3.58254682
United Kingdom,GBR,1825,1299,6.178065253
United Kingdom,GBR,1826,503,2.423162154
United Kingdom,GBR,1827,616,2.763323165
United Kingdom,GBR,1828,598,2.7546179
United Kingdom,GBR,1829,736,3.128719606
United Kingdom,GBR,1830,627,2.896742897
United Kingdom,GBR,1831,563,2.222046809
United Kingdom,GBR,1841,1053,2.313929725
United Kingdom,GBR,1842,360,0.792951542
United Kingdom,GBR,1843,438,0.899051685
United Kingdom,GBR,1844,1804,3.529641949
United Kingdom,GBR,1845,909,1.881286477
United Kingdom,GBR,1846,257,0.519716886
United Kingdom,GBR,1847,955,1.615058091
United Kingdom,GBR,1848,1620,2.804175105
United Kingdom,GBR,1849,521,0.757763072
United Kingdom,GBR,1850,499,1.019407559
United Kingdom,GBR,1851,1062,1.913927336
United Kingdom,GBR,1852,1159,2.121234306
United Kingdom,GBR,1853,211,0.351262715
United Kingdom,GBR,1854,694,0.941693692
United Kingdom,GBR,1855,1039,1.677375609
United Kingdom,GBR,1856,531,0.927122254
United Kingdom,GBR,1857,156,0.263945993
United Kingdom,GBR,1858,242,0.377576334
United Kingdom,GBR,1859,1158,1.871968962
United Kingdom,GBR,1860,898,1.44120432
United Kingdom,GBR,1861,217,0.332561953
United Kingdom,GBR,1862,366,0.543260453
United Kingdom,GBR,1863,1996,2.808893892
United Kingdom,GBR,1864,547,0.699148751
United Kingdom,GBR,1865,640,0.8703812
United Kingdom,GBR,1866,1391,1.728959765
United Kingdom,GBR,1867,1345,1.896396142
United Kingdom,GBR,1868,597,0.808965013
United Kingdom,GBR,1869,275,0.352193847
United Kingdom,GBR,1870,973,1.253316846
United Kingdom,GBR,1871,7912,9.837125451
United Kingdom,GBR,1872,1786,2.502978067
United Kingdom,GBR,1873,113,0.149750195
United Kingdom,GBR,1874,57,0.074206189
United Kingdom,GBR,1875,46,0.0561222
United Kingdom,GBR,1876,736,0.947586615
United Kingdom,GBR,1877,2551,3.293780423
United Kingdom,GBR,1878,1417,1.683137739
