Entity,Code,Year,Year,Land use per kilocalorie (m² per 100kcal)
Barley (non-organic),,2018,0.27
"Beef (non-organic, grain-fed)",,2018,8.27
"Beef (non-organic, grass-fed)",,2018,3.01
"Beef (organic, grass-fed)",,2018,13.55
Eggs (non-organic),,2018,0.34
Eggs (organic),,2018,0.52
Maize (non-organic),,2018,0.04
Milk (non-organic),,2018,0.23
Milk (organic),,2018,0.45
Mutton & Goat Meat (non-organic),,2018,20.98
Mutton & Goat Meat (organic),,2018,4.64
Pork (non-organic),,2018,1.17
Pork (organic),,2018,1.06
Potatoes (non-organic),,2018,0.04
Potatoes (organic),,2018,0.08
Poultry (non-organic),,2018,0.41
Poultry (organic),,2018,1.12
Rice (non-organic),,2018,0.05
Rice (organic),,2018,0.05
Soybean (non-organic),,2018,0.08
Tomatoes (greenhouse),,2018,0.03
Tomatoes (non-greenhouse),,2018,0.07
Wheat (non-organic),,2018,0.17
Wheat (organic),,2018,0.07
