Entity,Code,Year,Fatalities per million passengers (ASN) (fatalities per million passengers)
World,OWID_WRL,1970,4.75
World,OWID_WRL,1971,4.39
World,OWID_WRL,1973,5.65
World,OWID_WRL,1974,5.01
World,OWID_WRL,1975,2.66
World,OWID_WRL,1976,3.62
World,OWID_WRL,1977,3.34
World,OWID_WRL,1978,2.14
World,OWID_WRL,1979,2.7
World,OWID_WRL,1980,2.08
World,OWID_WRL,1981,1.35
World,OWID_WRL,1982,1.74
World,OWID_WRL,1983,1.97
World,OWID_WRL,1984,0.87
World,OWID_WRL,1985,3.09
World,OWID_WRL,1986,1.05
World,OWID_WRL,1987,1.45
World,OWID_WRL,1988,1.79
World,OWID_WRL,1989,1.81
World,OWID_WRL,1990,0.74
World,OWID_WRL,1991,1.01
World,OWID_WRL,1992,1.3
World,OWID_WRL,1993,1.08
World,OWID_WRL,1994,1.16
World,OWID_WRL,1995,0.91
World,OWID_WRL,1996,1.38
World,OWID_WRL,1997,0.85
World,OWID_WRL,1998,0.91
World,OWID_WRL,1999,0.44
World,OWID_WRL,2000,0.68
World,OWID_WRL,2001,0.68
World,OWID_WRL,2002,0.66
World,OWID_WRL,2003,0.4
World,OWID_WRL,2004,0.29
World,OWID_WRL,2005,0.54
World,OWID_WRL,2006,0.43
World,OWID_WRL,2007,0.35
World,OWID_WRL,2008,0.25
World,OWID_WRL,2009,0.32
World,OWID_WRL,2010,0.32
World,OWID_WRL,2011,0.18
World,OWID_WRL,2012,0.14
World,OWID_WRL,2013,0.08
World,OWID_WRL,2014,0.3
World,OWID_WRL,2015,0.16
World,OWID_WRL,2016,0.08
World,OWID_WRL,2017,0.01
