Entity,Code,Year,Subject:Gap in GDP per hour worked with respect to the USA - PDB_LV (%)
Australia,AUS,1970,-17.370519
Australia,AUS,1971,-18.527537
Australia,AUS,1972,-17.356321
Australia,AUS,1973,-15.254498
Australia,AUS,1974,-16.610463
Australia,AUS,1975,-15.754468
Australia,AUS,1976,-17.615705
Australia,AUS,1977,-19.645871
Australia,AUS,1978,-16.574879
Australia,AUS,1979,-16.346347
Australia,AUS,1980,-15.707535
Australia,AUS,1981,-13.807462
Australia,AUS,1982,-13.867584
Australia,AUS,1983,-14.605547
Australia,AUS,1984,-15.609015
Australia,AUS,1985,-16.572797
Australia,AUS,1986,-18.533517
Australia,AUS,1987,-16.787792
Australia,AUS,1988,-17.491966
Australia,AUS,1989,-19.210469
Australia,AUS,1990,-23.442063
Australia,AUS,1991,-23.157955
Australia,AUS,1992,-23.328203
Australia,AUS,1993,-23.590091
Australia,AUS,1994,-23.257453
Australia,AUS,1995,-21.291079
Australia,AUS,1996,-21.092987
Australia,AUS,1997,-19.760383
Australia,AUS,1998,-19.055076
Australia,AUS,1999,-19.579202
Australia,AUS,2000,-19.996323
Australia,AUS,2001,-19.542782
Australia,AUS,2002,-20.005226
Australia,AUS,2003,-20.850226
Australia,AUS,2004,-22.808892
Australia,AUS,2005,-23.880952
Australia,AUS,2006,-23.471632
Australia,AUS,2007,-23.226059
Australia,AUS,2008,-21.651328
Australia,AUS,2009,-22.340371
Australia,AUS,2010,-22.590959
Australia,AUS,2011,-22.497796
Australia,AUS,2012,-23.784527
Australia,AUS,2013,-17.841404
Australia,AUS,2014,-20.096246
Australia,AUS,2015,-20.744575
Australia,AUS,2016,-19.245832
Austria,AUT,1995,-11.421223
Austria,AUT,1996,-13.85162
Austria,AUT,1997,-14.448776
Austria,AUT,1998,-12.899836
Austria,AUT,1999,-14.914845
Austria,AUT,2000,-14.481061
Austria,AUT,2001,-16.858816
Austria,AUT,2002,-15.931439
Austria,AUT,2003,-17.335359
Austria,AUT,2004,-17.668652
Austria,AUT,2005,-18.169318
Austria,AUT,2006,-15.595503
