Entity,Code,Year,"Health expenditure, public (% of government expenditure) (% of government expenditure)"
Afghanistan,AFG,2002,8.98702764
Afghanistan,AFG,2003,5.57518482
Afghanistan,AFG,2004,6.98490607
Afghanistan,AFG,2005,5.49062004
Afghanistan,AFG,2006,6.29710557
Afghanistan,AFG,2007,2.94919278
Afghanistan,AFG,2008,6.92608989
Afghanistan,AFG,2009,12.7289712
Afghanistan,AFG,2010,14.40415287
Afghanistan,AFG,2011,10.17410763
Afghanistan,AFG,2012,11.668976
Afghanistan,AFG,2013,10.591285
Afghanistan,AFG,2014,11.99862788
Albania,ALB,1995,5.51378745
Albania,ALB,1996,6.62760291
Albania,ALB,1997,6.75492041
Albania,ALB,1998,6.30005144
Albania,ALB,1999,7.18862706
Albania,ALB,2000,7.07697796
Albania,ALB,2001,7.25259439
Albania,ALB,2002,7.19203721
Albania,ALB,2003,7.76289649
Albania,ALB,2004,9.17533619
Albania,ALB,2005,9.66766224
Albania,ALB,2006,9.04057427
Albania,ALB,2007,8.88017452
Albania,ALB,2008,8.36560747
Albania,ALB,2009,8.46326188
Albania,ALB,2010,8.46326188
Albania,ALB,2011,9.85079071
Albania,ALB,2012,9.71053128
Albania,ALB,2013,9.76242119
Albania,ALB,2014,9.36900452
Algeria,DZA,1995,8.52112843
Algeria,DZA,1996,8.57530023
Algeria,DZA,1997,8.24929802
Algeria,DZA,1998,8.10682491
Algeria,DZA,1999,7.98116979
Algeria,DZA,2000,8.79335148
Algeria,DZA,2001,8.53556126
Algeria,DZA,2002,8.37185157
Algeria,DZA,2003,8.50323435
Algeria,DZA,2004,8.48441296
Algeria,DZA,2005,8.19110067
Algeria,DZA,2006,7.80450045
Algeria,DZA,2007,8.14056074
Algeria,DZA,2008,8.07079154
Algeria,DZA,2009,9.00945409
Algeria,DZA,2010,9.64613475
Algeria,DZA,2011,9.3656612
Algeria,DZA,2012,9.98819159
Algeria,DZA,2013,9.94780509
Algeria,DZA,2014,9.90462275
Andorra,AND,1995,23.56390609
Andorra,AND,1996,23.83743034
Andorra,AND,1997,23.23849591
Andorra,AND,1998,28.70354938
Andorra,AND,1999,20.77702145
Andorra,AND,2000,19.0780762
Andorra,AND,2001,19.23781887
Andorra,AND,2002,19.99027288
Andorra,AND,2003,21.97569102
Andorra,AND,2004,22.69979118
Andorra,AND,2005,19.49576618
Andorra,AND,2006,19.38069555
Andorra,AND,2007,22.84986475
Andorra,AND,2008,24.03934868
Andorra,AND,2009,25.09789318
Andorra,AND,2010,24.04150838
Andorra,AND,2011,19.30886114
