Entity,Code,Year,All whale species (whale catches),Bryde's whale (whale catches),Gray whale (whale catches),Minke whale (whale catches),Sei whale (whale catches),Unspecified/Other species (whale catches),Blue whale (whale catches),Fin whale (whale catches),Humpback whale (whale catches),Right whale (whale catches),Sperm whale (whale catches)
Northern Hemisphere,,1900,1651,0,0,0,40,597,381,502,131,0,0
Northern Hemisphere,,1901,2243,0,0,0,29,1029,299,570,308,0,8
Northern Hemisphere,,1902,2943,0,0,0,58,1643,142,673,423,2,2
Northern Hemisphere,,1903,3428,0,0,0,106,966,492,988,722,2,152
Northern Hemisphere,,1904,4346,0,0,0,176,651,862,1945,697,2,13
Northern Hemisphere,,1905,4101,0,0,0,136,747,1002,1882,323,0,11
Northern Hemisphere,,1906,3501,0,0,0,473,1033,477,1179,323,6,10
Northern Hemisphere,,1907,4706,0,0,0,476,2140,391,1365,293,25,16
Northern Hemisphere,,1908,4663,0,0,0,646,1478,412,1576,510,28,13
Northern Hemisphere,,1909,4728,0,0,0,763,928,372,1890,679,27,69
Northern Hemisphere,,1910,4859,0,0,0,503,1304,336,1731,888,19,78
Northern Hemisphere,,1911,5707,0,122,0,581,185,577,2705,1296,3,238
Northern Hemisphere,,1912,4945,0,193,0,390,319,605,2112,1135,13,178
Northern Hemisphere,,1913,3859,0,132,0,567,27,248,1905,773,3,204
Northern Hemisphere,,1914,5303,0,174,1,554,83,400,2661,1043,7,380
Northern Hemisphere,,1915,3703,0,139,10,731,0,174,1735,594,8,312
Northern Hemisphere,,1916,3110,0,78,0,461,61,164,1444,455,9,438
Northern Hemisphere,,1917,2713,0,69,6,728,0,235,1045,350,2,278
Northern Hemisphere,,1918,4144,0,104,7,1027,104,140,1724,306,3,729
Northern Hemisphere,,1919,3911,0,46,14,918,70,161,1486,597,5,614
Northern Hemisphere,,1920,4310,0,68,6,1081,41,242,1653,790,5,424
Northern Hemisphere,,1921,2517,0,116,20,565,11,60,1019,331,8,387
Northern Hemisphere,,1922,4499,0,49,20,552,13,163,1864,993,5,840
Northern Hemisphere,,1923,5304,0,27,20,801,20,174,2606,933,11,712
Northern Hemisphere,,1924,5718,0,18,20,961,0,261,3183,624,11,640
Northern Hemisphere,,1925,7081,2,142,20,944,44,321,3733,1085,10,780
Northern Hemisphere,,1926,7031,18,53,13,858,18,351,3638,1135,10,937
Northern Hemisphere,,1927,5577,0,42,13,790,0,257,2464,1218,10,783
Northern Hemisphere,,1928,4717,0,21,9,538,0,500,2070,556,11,1012
Northern Hemisphere,,1929,4116,0,14,15,587,0,409,1747,340,7,997
Northern Hemisphere,,1930,4261,0,30,60,571,300,237,1729,331,2,1001
Northern Hemisphere,,1931,2125,0,11,194,478,3,75,879,109,8,368
Northern Hemisphere,,1932,2750,0,17,369,455,0,157,1033,229,20,470
Northern Hemisphere,,1933,3746,0,106,546,421,5,86,1373,302,4,903
Northern Hemisphere,,1934,4393,0,154,731,488,506,94,1167,292,0,961
Northern Hemisphere,,1935,4839,0,144,908,511,615,172,981,374,2,1132
Northern Hemisphere,,1936,5425,0,188,1078,506,613,85,1118,271,0,1566
Northern Hemisphere,,1937,6181,0,14,1283,622,0,123,2005,263,6,1865
Northern Hemisphere,,1938,5215,0,54,1422,658,208,56,1077,121,0,1619
Northern Hemisphere,,1939,5164,4,29,987,736,0,41,1237,221,0,1909
Northern Hemisphere,,1940,4772,0,105,727,432,8,53,867,201,1,2378
Northern Hemisphere,,1941,6801,0,57,2365,692,0,79,1134,81,5,2388
Northern Hemisphere,,1942,5058,0,101,2459,308,0,20,767,72,6,1325
Northern Hemisphere,,1943,5109,0,99,1911,399,0,16,734,116,13,1821
Northern Hemisphere,,1944,5136,0,6,1610,789,0,7,898,75,3,1748
Northern Hemisphere,,1945,4025,0,58,1878,108,35,27,847,21,1,1050
Northern Hemisphere,,1946,6308,29,22,2013,556,0,46,1419,36,0,2187
Northern Hemisphere,,1947,7293,158,31,2716,405,0,66,1459,38,0,2420
Northern Hemisphere,,1948,10047,115,0,3893,643,0,142,2037,170,1,3046
Northern Hemisphere,,1949,10503,116,1,4180,923,0,98,1769,113,0,3303
Northern Hemisphere,,1950,9223,243,0,2275,420,0,73,1992,147,0,4073
Northern Hemisphere,,1951,11460,280,1,3195,759,0,125,2053,103,1,4943
Northern Hemisphere,,1952,12039,411,0,3898,960,49,147,1886,131,0,4557
Northern Hemisphere,,1953,10741,0,10,2931,975,29,157,1836,122,0,4681
Northern Hemisphere,,1954,13751,0,0,3952,1180,82,223,2697,286,0,5331
Northern Hemisphere,,1955,15507,0,0,4840,962,98,155,2718,195,0,6539
Northern Hemisphere,,1956,16358,0,0,4338,1154,28,161,2719,156,2,7800
Northern Hemisphere,,1957,17587,0,0,4444,969,13,154,3084,330,0,8593
Northern Hemisphere,,1958,19783,0,8,5265,1651,0,132,3224,495,0,9008
Northern Hemisphere,,1959,17883,0,9,3838,1911,0,156,2928,473,1,8567
Northern Hemisphere,,1960,17335,0,9,3991,1294,0,86,2946,298,0,8711
Northern Hemisphere,,1961,16157,0,4,3856,1025,0,92,2421,526,3,8230
Northern Hemisphere,,1962,19708,196,4,3987,2216,0,150,2651,1920,3,8581
Northern Hemisphere,,1963,26991,0,2,4083,2680,0,605,3725,2722,3,13171
Northern Hemisphere,,1964,27218,0,20,3796,3789,0,254,4816,1450,0,13093
Northern Hemisphere,,1965,29388,0,4,3391,3291,0,279,3480,538,0,18405
Northern Hemisphere,,1966,33473,2,57,3232,3824,3,61,3195,82,0,23017
Northern Hemisphere,,1967,32729,22,99,3266,5208,1,97,3040,106,0,20890
Northern Hemisphere,,1968,30673,171,66,3795,5073,0,56,2497,46,2,18967
Northern Hemisphere,,1969,30978,89,74,3532,5039,0,51,2053,12,0,20128
Northern Hemisphere,,1970,25869,73,0,3812,3966,0,20,1839,28,0,16131
Northern Hemisphere,,1971,20693,281,0,3764,3221,0,8,1424,21,0,11974
Northern Hemisphere,,1972,15707,130,0,4497,2638,1,0,1464,0,0,6977
Northern Hemisphere,,1973,13868,73,0,3930,2004,0,1,822,0,2,7036
Northern Hemisphere,,1974,15257,705,0,3525,1336,0,0,875,10,1,8805
Northern Hemisphere,,1975,14112,804,0,3543,699,0,0,558,0,0,8508
Northern Hemisphere,,1976,13401,972,0,4055,13,0,1,561,1,0,7798
Northern Hemisphere,,1977,11601,721,0,3612,139,0,2,430,0,1,6696
Northern Hemisphere,,1978,9620,380,0,3288,139,4,3,945,0,0,4861
Northern Hemisphere,,1979,8917,801,0,3524,98,0,0,851,0,0,3643
Northern Hemisphere,,1980,6394,755,0,3557,103,3,0,459,0,0,1517
Northern Hemisphere,,1981,5368,485,0,3212,100,4,0,404,0,0,1163
Northern Hemisphere,,1982,4915,482,0,3391,71,3,0,347,0,0,621
Northern Hemisphere,,1983,4179,545,0,2848,100,3,0,269,0,0,414
Northern Hemisphere,,1984,3101,528,0,1753,95,0,0,271,0,0,454
Northern Hemisphere,,1985,2370,357,0,1365,38,0,0,210,0,0,400
Northern Hemisphere,,1986,1392,317,0,759,40,0,0,76,0,0,200
Northern Hemisphere,,1987,1281,317,0,673,20,0,0,80,0,0,191
Northern Hemisphere,,1988,107,0,0,29,10,0,0,68,0,0,0
Northern Hemisphere,,1989,87,0,0,19,0,0,0,68,0,0,0
Northern Hemisphere,,1990,0,0,0,0,0,0,0,0,0,0,0
Northern Hemisphere,,1991,1,0,0,1,0,0,0,0,0,0,0
Northern Hemisphere,,1992,95,0,0,95,0,0,0,0,0,0,0
Northern Hemisphere,,1993,226,0,0,226,0,0,0,0,0,0,0
Northern Hemisphere,,1994,280,0,0,280,0,0,0,0,0,0,0
Northern Hemisphere,,1995,318,0,0,318,0,0,0,0,0,0,0
Northern Hemisphere,,1996,465,0,0,465,0,0,0,0,0,0,0
Northern Hemisphere,,1997,617,0,0,617,0,0,0,0,0,0,0
Northern Hemisphere,,1998,725,0,0,725,0,0,0,0,0,0,0
Northern Hemisphere,,1999,691,0,0,691,0,0,0,0,0,0,0
Southern Hemisphere,,1900,8,0,,0,0,0,0,0,8,0,0
Southern Hemisphere,,1901,8,0,,0,0,0,0,0,8,0,0
Southern Hemisphere,,1902,8,0,,0,0,0,0,0,8,0,0
Southern Hemisphere,,1903,9,0,,0,0,0,0,0,9,0,0
Southern Hemisphere,,1904,203,0,,0,0,0,11,4,188,0,0
Southern Hemisphere,,1905,720,0,,0,97,130,51,104,319,16,3
Southern Hemisphere,,1906,1120,0,,0,0,428,68,93,449,81,1
Southern Hemisphere,,1907,2240,0,,0,0,520,106,122,1399,93,0
Southern Hemisphere,,1908,4375,0,,0,218,46,310,310,3422,68,1
Southern Hemisphere,,1909,7109,3,,0,346,239,212,437,5793,73,6
Southern Hemisphere,,1910,12345,0,,0,225,734,365,721,10201,99,0
Southern Hemisphere,,1911,16681,73,,0,38,1287,1292,2034,11830,107,20
Southern Hemisphere,,1912,20191,187,,0,175,419,2590,5132,11185,23,480
Southern Hemisphere,,1913,21417,126,,0,1055,261,3112,5707,10553,78,525
Southern Hemisphere,,1914,19033,51,,0,398,0,5376,4897,7605,25,681
Southern Hemisphere,,1915,16877,96,,1,98,140,5702,6150,3888,36,766
Southern Hemisphere,,1916,9440,26,,0,99,470,4441,2956,744,20,684
Southern Hemisphere,,1917,6105,0,,5,109,0,3159,2265,316,60,191
Southern Hemisphere,,1918,6141,32,,0,105,0,2219,3203,340,18,224
Southern Hemisphere,,1919,7073,16,,0,247,0,2007,3688,543,21,551
Southern Hemisphere,,1920,10106,17,,0,107,43,3023,5924,567,16,409
Southern Hemisphere,,1921,8375,0,,1,150,0,4637,2787,370,8,422
Southern Hemisphere,,1922,13236,3,,0,143,0,6787,4339,1710,4,250
