Entity,Code,Year, (%)
Algeria,DZA,1999,21.51123
Algeria,DZA,2000,17.74353
Algeria,DZA,2002,18.22803
Algeria,DZA,2003,18.26467
American Samoa,ASM,1974,0
American Samoa,ASM,1975,0
American Samoa,ASM,1976,0
Andorra,AND,2002,7.39715
Andorra,AND,2004,8.78606
Andorra,AND,2005,9.17158
Andorra,AND,2006,12.58358
Andorra,AND,2007,13.44735
Andorra,AND,2009,16.61308
Andorra,AND,2010,12.31875
Andorra,AND,2011,12.63239
Andorra,AND,2013,16.221
Antigua and Barbuda,ATG,2009,12.46717
Antigua and Barbuda,ATG,2011,9.79205
Argentina,ARG,1998,15.13345
Argentina,ARG,1999,18.21984
Argentina,ARG,2000,17.60592
Argentina,ARG,2001,18.88809
Argentina,ARG,2002,16.9277
Argentina,ARG,2003,14.29277
Argentina,ARG,2004,13.06857
Argentina,ARG,2005,16.1007
Argentina,ARG,2006,16.38335
Argentina,ARG,2007,17.26721
Argentina,ARG,2008,19.10376
Argentina,ARG,2009,21.94269
Argentina,ARG,2010,19.96997
Argentina,ARG,2011,22.02849
Argentina,ARG,2012,19.63944
Armenia,ARM,2012,17.73514
Aruba,ABW,1999,18.56194
Aruba,ABW,2000,19.20525
Aruba,ABW,2001,20.24011
Aruba,ABW,2002,19.39233
Aruba,ABW,2004,17.74369
Aruba,ABW,2005,17.61316
Australia,AUS,2000,13.96959
Australia,AUS,2005,15.92906
Australia,AUS,2006,17.78134
Australia,AUS,2007,17.25753
Australia,AUS,2008,17.10953
Australia,AUS,2009,18.51037
Australia,AUS,2010,19.79259
Australia,AUS,2011,17.92667
Australia,AUS,2012,16.54025
Austria,AUT,1998,29.0053
Austria,AUT,1999,29.35496
Austria,AUT,2000,27.21274
Austria,AUT,2001,27.1113
Austria,AUT,2002,27.05475
Austria,AUT,2003,27.98246
Austria,AUT,2004,26.68563
Austria,AUT,2005,25.50173
Austria,AUT,2006,25.83912
Austria,AUT,2007,25.5541
Austria,AUT,2008,26.46443
Austria,AUT,2009,29.47379
Austria,AUT,2010,28.60009
Austria,AUT,2011,29.56074
Bahrain,BHR,2013,15.94411
Bangladesh,BGD,1999,11.77023
Bangladesh,BGD,2000,10.83255
Bangladesh,BGD,2002,12.39432
Bangladesh,BGD,2003,13.41698
Bangladesh,BGD,2004,14.64826
Bangladesh,BGD,2006,14.88731
Bangladesh,BGD,2007,12.45678
Bangladesh,BGD,2008,11.86964
Bangladesh,BGD,2009,10.57854
Bangladesh,BGD,2010,12.86936
Bangladesh,BGD,2011,12.13091
Barbados,BRB,1999,17.17245
Barbados,BRB,2000,20.80923
Barbados,BRB,2001,24.95369
Barbados,BRB,2002,25.12404
Barbados,BRB,2003,27.58162
Barbados,BRB,2004,24.41081
Barbados,BRB,2005,22.41466
Barbados,BRB,2007,22.06972
Barbados,BRB,2008,20.33984
Barbados,BRB,2009,21.73374
Barbados,BRB,2010,24.96685
Belgium,BEL,2001,23.19709
Belgium,BEL,2002,23.81383
Belgium,BEL,2003,22.05297
Belgium,BEL,2004,32.34431
Belgium,BEL,2005,32.01963
Belgium,BEL,2006,31.80737
Belgium,BEL,2007,32.2854
Belgium,BEL,2008,35.55988
Belgium,BEL,2009,36.92269
Belgium,BEL,2010,36.84314
Belgium,BEL,2011,37.48773
Belgium,BEL,2012,38.54418
Belize,BLZ,1999,17.57748
Belize,BLZ,2000,15.87094
Belize,BLZ,2004,18.43419
Belize,BLZ,2005,19.65654
Belize,BLZ,2006,19.81782
Belize,BLZ,2008,21.10301
Belize,BLZ,2009,22.52736
Belize,BLZ,2010,25.00653
Belize,BLZ,2012,22.13856
Benin,BEN,2000,24.5038
Benin,BEN,2001,24.31751
Benin,BEN,2002,20.16425
Benin,BEN,2003,22.53428
Benin,BEN,2004,25.80679
Benin,BEN,2005,24.68671
Benin,BEN,2013,15.69954
Bermuda,BMU,2004,12.34193
Bermuda,BMU,2005,14.02632
Bermuda,BMU,2010,17.8416
Bhutan,BTN,2008,37.06365
Bhutan,BTN,2009,34.435
Bhutan,BTN,2010,27.01693
Bhutan,BTN,2011,31.52441
Bhutan,BTN,2013,34.23959
Bolivia,BOL,1998,12.22361
Bolivia,BOL,1999,11.97756
Bolivia,BOL,2000,9.79345
Bolivia,BOL,2001,10.47555
Bolivia,BOL,2002,12.94612
Bolivia,BOL,2003,13.33401
