Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2017 United States dollars) - DC_ODA_LDCS (constant USD)"
Australia,AUS,2000,609449540
Australia,AUS,2001,501854200
Australia,AUS,2002,516741419.99999994
Australia,AUS,2003,490224540
Australia,AUS,2004,541341440
Australia,AUS,2005,557916680
Australia,AUS,2006,665249350
Australia,AUS,2007,764854650
Australia,AUS,2008,809487690
Australia,AUS,2009,806106580
Australia,AUS,2010,1015284540
Australia,AUS,2011,1046010209.9999999
Australia,AUS,2012,1233641740
Australia,AUS,2013,1075996440
Australia,AUS,2014,1075683510
Australia,AUS,2015,994136370
Australia,AUS,2016,894185640
Australia,AUS,2017,852248380
Austria,AUT,2000,188309310
Austria,AUT,2001,234429880
Austria,AUT,2002,278246070
Austria,AUT,2003,220441930
Austria,AUT,2004,197276940
Austria,AUT,2005,273714690
Austria,AUT,2006,272028640
Austria,AUT,2007,248581130
Austria,AUT,2008,264773150
Austria,AUT,2009,321506800
Austria,AUT,2010,441491400
Austria,AUT,2011,265756170
Austria,AUT,2012,232186450
Austria,AUT,2013,310244480
Austria,AUT,2014,322456960
Austria,AUT,2015,231867610
Austria,AUT,2016,258181879.99999997
Austria,AUT,2017,293362480
Belgium,BEL,2000,411413010
Belgium,BEL,2001,524441119.99999994
Belgium,BEL,2002,579422470
Belgium,BEL,2003,1375294660
Belgium,BEL,2004,741972920
Belgium,BEL,2005,667033940
Belgium,BEL,2006,769098210
Belgium,BEL,2007,738484100
Belgium,BEL,2008,845795320
Belgium,BEL,2009,873240320
Belgium,BEL,2010,1360873600
Belgium,BEL,2011,934196110
Belgium,BEL,2012,656029600
Belgium,BEL,2013,725762780
Belgium,BEL,2014,736409140
Belgium,BEL,2015,640979840
Belgium,BEL,2016,660638780
Belgium,BEL,2017,649322410
Canada,CAN,2000,562765220
Canada,CAN,2001,505045500
Canada,CAN,2002,662964940
Canada,CAN,2003,1012289010
Canada,CAN,2004,998476630
Canada,CAN,2005,1223043060
Canada,CAN,2006,1314193570
Canada,CAN,2007,1496787560
Canada,CAN,2008,1711229700
Canada,CAN,2009,1480435670
Canada,CAN,2010,2012049570
Canada,CAN,2011,1581951570
Canada,CAN,2012,1582437310
Canada,CAN,2013,1526121260
Canada,CAN,2014,1214738900
Canada,CAN,2015,1581571070
Canada,CAN,2016,1402614940
Canada,CAN,2017,1486023950
Czech Republic,CZE,2000,8391750
Czech Republic,CZE,2001,11395050
Czech Republic,CZE,2002,11564780
Czech Republic,CZE,2003,17200490
Czech Republic,CZE,2004,30017690
Czech Republic,CZE,2005,34054080
Czech Republic,CZE,2006,40432050
Czech Republic,CZE,2007,49168330
Czech Republic,CZE,2008,79514110
Czech Republic,CZE,2009,63210820
Czech Republic,CZE,2010,63263740
Czech Republic,CZE,2011,52154860
Czech Republic,CZE,2012,52833260
Czech Republic,CZE,2013,46471550
Czech Republic,CZE,2014,47235760
Czech Republic,CZE,2015,44427430
Czech Republic,CZE,2016,58512190
Czech Republic,CZE,2017,64169920.00000001
Denmark,DNK,2000,933627220
Denmark,DNK,2001,960343190
Denmark,DNK,2002,878381870
Denmark,DNK,2003,895660670
Denmark,DNK,2004,901360410
Denmark,DNK,2005,920229710
Denmark,DNK,2006,947180550
Denmark,DNK,2007,1032856150.0000001
Denmark,DNK,2008,968917580
Denmark,DNK,2009,992594010
Denmark,DNK,2010,1023371050
Denmark,DNK,2011,946795970
Denmark,DNK,2012,920030660
Denmark,DNK,2013,815498700
Denmark,DNK,2014,785125160
Denmark,DNK,2015,634051150
Denmark,DNK,2016,674142860
Denmark,DNK,2017,728839560
Finland,FIN,2000,188465240
Finland,FIN,2001,201608140
Finland,FIN,2002,243602780
Finland,FIN,2003,239473660
Finland,FIN,2004,251940010
Finland,FIN,2005,280683430
Finland,FIN,2006,331292160
Finland,FIN,2007,359456970
Finland,FIN,2008,371585170
Finland,FIN,2009,416657950
Finland,FIN,2010,465066910
Finland,FIN,2011,413363700
Finland,FIN,2012,419816030
Finland,FIN,2013,453557210
Finland,FIN,2014,497787970
Finland,FIN,2015,441874050
Finland,FIN,2016,331845330
Finland,FIN,2017,325018520
France,FRA,2000,1933088960
France,FRA,2001,1943743230
France,FRA,2002,2673337410
France,FRA,2003,3624766890
France,FRA,2004,3661152730
France,FRA,2005,2303951350
France,FRA,2006,2643617630
France,FRA,2007,2665803350
France,FRA,2008,2631926680
France,FRA,2009,2821774070
France,FRA,2010,3293858480
France,FRA,2011,3058515270
France,FRA,2012,2291290720
France,FRA,2013,2825686160
France,FRA,2014,2210410720
France,FRA,2015,2433791160
France,FRA,2016,2155958610
France,FRA,2017,2753057020
Germany,DEU,2000,2051489740
Germany,DEU,2001,1931804210
Germany,DEU,2002,2136569419.9999998
Germany,DEU,2003,3076009740
Germany,DEU,2004,2569370110
Germany,DEU,2005,2029809350
Germany,DEU,2006,2789155900
Germany,DEU,2007,2887967460
Germany,DEU,2008,3350783000
Germany,DEU,2009,3089966880
Germany,DEU,2010,3465141030
Germany,DEU,2011,3287870390
Germany,DEU,2012,3508444720
Germany,DEU,2013,3049410320
Germany,DEU,2014,3418340350
Germany,DEU,2015,2714558580
Germany,DEU,2016,3707483190
Germany,DEU,2017,4089202830
Greece,GRC,2000,45017420
Greece,GRC,2001,48542660
Greece,GRC,2002,84171800
Greece,GRC,2003,64563310
Greece,GRC,2004,67505160
Greece,GRC,2005,79948840
Greece,GRC,2006,97648420
Greece,GRC,2007,93917490
Greece,GRC,2008,119453120
Greece,GRC,2009,91440580
Greece,GRC,2010,86581640
Greece,GRC,2011,51647470
Greece,GRC,2012,42087750
Greece,GRC,2013,37189040
Greece,GRC,2014,42136900
Greece,GRC,2015,38858290
Greece,GRC,2016,48369690
Greece,GRC,2017,56393100
Hungary,HUN,2003,3950480
Hungary,HUN,2004,15500900
Hungary,HUN,2005,36077830
Hungary,HUN,2006,22673860
Hungary,HUN,2007,45644570
Hungary,HUN,2008,28922770
Hungary,HUN,2009,33470019.999999996
Hungary,HUN,2010,36629680
Hungary,HUN,2011,27792140
Hungary,HUN,2012,23718170
Hungary,HUN,2013,24277180
Hungary,HUN,2014,25909970
Hungary,HUN,2015,27669020
Hungary,HUN,2016,42584040
Hungary,HUN,2017,28540690
Iceland,ISL,2000,5957160
Iceland,ISL,2001,9164220
Iceland,ISL,2002,6892040
Iceland,ISL,2003,7192430
Iceland,ISL,2004,7569880
Iceland,ISL,2005,11858940
Iceland,ISL,2006,21112430
Iceland,ISL,2007,19060490
Iceland,ISL,2008,23570510
Iceland,ISL,2009,20814700
Iceland,ISL,2010,18878630
Iceland,ISL,2011,14945110
Iceland,ISL,2012,15817480
Iceland,ISL,2013,20581570
Iceland,ISL,2014,17925280
Iceland,ISL,2015,20581280
Iceland,ISL,2016,19901360
Iceland,ISL,2017,19544080
Ireland,IRL,2000,187368250
Ireland,IRL,2001,228779860
Ireland,IRL,2002,304204020
Ireland,IRL,2003,304090980
Ireland,IRL,2004,333326740
Ireland,IRL,2005,349013030
Ireland,IRL,2006,480342260
Ireland,IRL,2007,499809890
Ireland,IRL,2008,533513790
Ireland,IRL,2009,436552750
Ireland,IRL,2010,459985590
Ireland,IRL,2011,428700460
Ireland,IRL,2012,396411620
Ireland,IRL,2013,386332260
Ireland,IRL,2014,361471370
Ireland,IRL,2015,348813380
Ireland,IRL,2016,367112950
Ireland,IRL,2017,359202700
Italy,ITA,2000,846364030
Italy,ITA,2001,953724040
Italy,ITA,2002,1805395880
Italy,ITA,2003,1405068430
Italy,ITA,2004,899594490
Italy,ITA,2005,1533929940
Italy,ITA,2006,814272920
Italy,ITA,2007,1201963620
Italy,ITA,2008,1427650010
Italy,ITA,2009,995458330
Italy,ITA,2010,1029558160
Italy,ITA,2011,1305730170
Italy,ITA,2012,642231110
Italy,ITA,2013,839106010
Italy,ITA,2014,836384850
Italy,ITA,2015,897314040
Italy,ITA,2016,1006000970
Italy,ITA,2017,1160718920
Japan,JPN,2000,2315359630
Japan,JPN,2001,2040332670
Japan,JPN,2002,2079184540.0000002
Japan,JPN,2003,2082883609.9999998
Japan,JPN,2004,1910820550
Japan,JPN,2005,2256543880
Japan,JPN,2006,3371747190
Japan,JPN,2007,2560657400
Japan,JPN,2008,2356404990
Japan,JPN,2009,2560663260
Japan,JPN,2010,3480863250
Japan,JPN,2011,3010405650
Japan,JPN,2012,3400159350
Japan,JPN,2013,6219942610
Japan,JPN,2014,3518010540
Japan,JPN,2015,3949163510
Japan,JPN,2016,3848623230
Japan,JPN,2017,5001129920
Luxembourg,LUX,2000,73336080
Luxembourg,LUX,2001,82842540
Luxembourg,LUX,2002,95415050
Luxembourg,LUX,2003,90216590
Luxembourg,LUX,2004,101926240
Luxembourg,LUX,2005,111002320
Luxembourg,LUX,2006,128243329.99999999
Luxembourg,LUX,2007,151359500
Luxembourg,LUX,2008,154541530
Luxembourg,LUX,2009,147901960
Luxembourg,LUX,2010,150053210
Luxembourg,LUX,2011,135265790
Luxembourg,LUX,2012,136959950
Luxembourg,LUX,2013,145559610
Luxembourg,LUX,2014,150279780
Luxembourg,LUX,2015,161296270
Luxembourg,LUX,2016,171037690
Luxembourg,LUX,2017,181826720
Netherlands,NLD,2000,1316833230
Netherlands,NLD,2001,1608858720
Netherlands,NLD,2002,1756083410
Netherlands,NLD,2003,1683622790
Netherlands,NLD,2004,1793007320
Netherlands,NLD,2005,1723222360
Netherlands,NLD,2006,1382820160
Netherlands,NLD,2007,1630743600
Netherlands,NLD,2008,1709604560
Netherlands,NLD,2009,1406843440
Netherlands,NLD,2010,1666780330
Netherlands,NLD,2011,1244220240
Netherlands,NLD,2012,1062140799.9999999
Netherlands,NLD,2013,1189775490
Netherlands,NLD,2014,974812030
Netherlands,NLD,2015,1070248800.0000001
Netherlands,NLD,2016,1221432060
