Entity,Code,Year,Prevalence of forced sex among boys (%)
Cameroon,CMR,2005,4
Guatemala,GTM,2005,1
Kenya,KEN,2005,2
Mozambique,MOZ,2005,1
Rwanda,RWA,2005,0.1
Sierra Leone,SLE,2005,0.4
Uganda,UGA,2005,2
