Entity,Code,Year,Hydropower (terawatt-hours),Nuclear (terawatt-hours),Natural Gas (terawatt-hours),Renewables (excl. hydro) (terawatt-hours),Coal (terawatt-hours),Oil (terawatt-hours)
Africa,,2017,124.578162878692,15.756337,324.892728402985,4.91060637734162,248.782115191131,83.8145585927072
Africa,,2018,132.840769336531,11.090427,339.339711333357,5.06012851041041,255.922090152024,77.5790333256139
Argentina,ARG,2017,41.5429785772894,6.088,80.7958075292459,0.536553975920754,2.03208196721311,11.611393442623
Argentina,ARG,2018,41.6494545898936,6.87260279742186,85.2749276236706,0.537842292294798,2.04358279629027,6.4132289424335
Asia Pacific,,2017,1649.44719434668,493.8297181,1442.08356990157,65.001727986056,6916.20102673895,215.085518446086
Asia Pacific,,2018,1718.50832483692,553.584622,1485.76343104299,40.8820189004864,7290.81475347037,188.047602660794
Australia,AUS,2017,13.534527,0,55.176279,0.183999999999997,159.133835,5.309077
Australia,AUS,2018,17.26791,0,50.244877,0.184001999999992,156.562805,5.25857
Brazil,BRA,2017,370.906456376092,15.739196437943,65.5933159171699,0,25.766994981776,15.4787302828488
Brazil,BRA,2018,387.686806335332,15.632192900194,46.7905447248918,0,21.9019390642143,11.5280732800416
CIS,,2017,240.1482422,205.76517,663.155470300625,4.73854476087496,251.432137348698,14.4028456398016
CIS,,2018,244.839095963632,206.57707,686.084641379327,4.68530476087508,258.978918039623,13.6561447383576
Canada,CAN,2017,396.502347474747,100.408994736842,59.6052688172043,0.787559139784889,60.131935483871,3.21247311827957
Canada,CAN,2018,387.250876231465,100.039205263158,58.7417670271002,0.586627075831828,59.2608073652101,3.16593539520976
China,CHN,2017,1165.07,248.1,202.8,39.8405914429523,4445.49726259789,10.745
China,CHN,2018,1202.43,294.36,223.6,13.9636456375847,4732.44789261378,10.745
Egypt,EGY,2017,13.4074,0,149.391362543571,0,0,27.7002804671822
Egypt,EGY,2018,13.48338,0,160.901119523595,0,0,22.1251463741521
Europe,,2017,584.889493856197,936.122945368118,787.484258280477,85.783584289003,888.504350631289,61.9336072463624
Europe,,2018,642.066616614967,937.491629996931,731.317358285663,86.5532896156704,862.73519355529,56.0428231436315
Europe (other),,2017,436.104884230683,642.371417200106,171.975797661536,31.8870790715782,233.274124570927,21.6126001010137
Europe (other),,2018,467.189278165244,652.791659144161,158.50086094244,32.302615453758,217.827016413749,19.8173000665925
Germany,DEU,2017,20.15,76.3244,86.7483,26.7437999999999,241.9308,5.5694
Germany,DEU,2018,16.9,76.1,83,29.309,229,5.2
India,IND,2017,135.668322227574,37.41445,73.4571834692707,0.344994999999926,1117.61271932999,10.0727941108779
India,IND,2018,139.667832227574,39.0507,74.3076583453558,0.206819999999652,1176.26270562024,10.1021999537174
Indonesia,IDN,2017,18.632,0,55.708,0,147.964,18.9299
Indonesia,IDN,2018,16.4112,0,59.58,0,156.355311455164,20.1973285448357
Iran,IRN,2017,17.232,7.07356666666667,251.170339756218,0,0.486666666666667,28.8727663701241
