Entity,Code,Year,Cumulative recycled plastic trade value (billion USD) (US$)
Belgium,BEL,2016,2550000000
Canada,CAN,2016,1930000000
France,FRA,2016,3490000000
Germany,DEU,2016,6950000000
Hong Kong,HKG,2016,16700000000
Japan,JPN,2016,9640000000
Mexico,MEX,2016,4550000000
Netherlands,NLD,2016,3190000000
Top 10 exporters,,2016,64700000000
United Kingdom,GBR,2016,3320000000
United States,USA,2016,12300000000
