Entity,Code,Year,Share of people who neither agree nor disagree vaccines are safe (%)
Afghanistan,AFG,2018,0.771575334
Albania,ALB,2018,14.94655968
Algeria,DZA,2018,18.68226142
Argentina,ARG,2018,6.215573978
Armenia,ARM,2018,26.10579359
Australia,AUS,2018,8.344196963
Australia/New Zealand,,2018,10
Austria,AUT,2018,22.65183394
Azerbaijan,AZE,2018,16.5741576
Bangladesh,BGD,2018,0.61117293
Belarus,BLR,2018,37.30603244
Belgium,BEL,2018,15.36093686
Benin,BEN,2018,2.603849384
Bolivia,BOL,2018,10.09120254
Bosnia and Herzegovina,BIH,2018,19.00010475
Botswana,BWA,2018,7.942459443
Brazil,BRA,2018,8.764266081
Bulgaria,BGR,2018,34.86422506
Burkina Faso,BFA,2018,5.613479717
Burundi,BDI,2018,0.721814584
Cambodia,KHM,2018,1.733420826
Cameroon,CMR,2018,4.677545865
Canada,CAN,2018,14.47297937
Central Africa,,2018,4
Central America and Mexico,,2018,3
Central Asia,,2018,13
Chad,TCD,2018,3.471006109
Chile,CHL,2018,12.38220408
China,CHN,2018,15.70819607
Colombia,COL,2018,5.45280819
Comoros,COM,2018,1.741276476
Congo,COG,2018,3.544726835
Costa Rica,CRI,2018,6.626553225
Cote d'Ivoire,CIV,2018,2.536352735
Croatia,HRV,2018,28.40690043
Cyprus,CYP,2018,24.31613116
Czech Republic,CZE,2018,21.57044421
Denmark,DNK,2018,20.53692129
Dominican Republic,DOM,2018,3.513176149
East Asia,,2018,20
Eastern Africa,,2018,3
Eastern Europe,,2018,26
Ecuador,ECU,2018,5.719062127
Egypt,EGY,2018,1.037162977
El Salvador,SLV,2018,9.038919174
Estonia,EST,2018,30.98002266
Ethiopia,ETH,2018,0.54130417
Finland,FIN,2018,18.30383699
France,FRA,2018,18.39154079
Gabon,GAB,2018,8.111144227
Gambia,GMB,2018,2.596420057
Georgia,GEO,2018,15.18601948
Germany,DEU,2018,18.68927083
Ghana,GHA,2018,7.491961938
Greece,GRC,2018,15.23595815
Guatemala,GTM,2018,2.652159169
Guinea,GIN,2018,2.313201056
Haiti,HTI,2018,5.536708813
Honduras,HND,2018,3.823887818
Hungary,HUN,2018,17.57939278
Iceland,ISL,2018,16.74787134
India,IND,2018,1.282889722
Indonesia,IDN,2018,7.200159515
Iran,IRN,2018,18.99047076
Iraq,IRQ,2018,4.164249179
Ireland,IRL,2018,15.30451511
Israel,ISR,2018,12.55880984
Italy,ITA,2018,9.90657166
Japan,JPN,2018,55.43600064
Jordan,JOR,2018,2.392848465
Kazakhstan,KAZ,2018,31.56629707
Kenya,KEN,2018,3.916865134
Kosovo,OWID_KOS,2018,19.71030459
Kuwait,KWT,2018,4.965728723
Kyrgyzstan,KGZ,2018,11.42956815
Laos,LAO,2018,3.431477101
Latvia,LVA,2018,28.33382682
Lebanon,LBN,2018,10.8238865
Liberia,LBR,2018,1.085337675
Libya,LBY,2018,13.47233934
Lithuania,LTU,2018,27.34118088
Luxembourg,LUX,2018,15.72720664
Macedonia,MKD,2018,25.69137673
Madagascar,MDG,2018,2.255902137
Malawi,MWI,2018,3.110705359
Malaysia,MYS,2018,3.420949977
Mali,MLI,2018,3.42678079
Malta,MLT,2018,13.25622539
Mauritania,MRT,2018,4.065164126
Mauritius,MUS,2018,17.16275206
Mexico,MEX,2018,2.755414455
Middle East,,2018,11
Moldova,MDA,2018,33.42126904
Mongolia,MNG,2018,5.042023265
Montenegro,MNE,2018,34.09281168
Morocco,MAR,2018,4.096521952
Mozambique,MOZ,2018,2.339690875
Myanmar,MMR,2018,1.768141998
Namibia,NAM,2018,4.339063394
Nepal,NPL,2018,3.350988273
Netherlands,NLD,2018,14.45265857
New Zealand,NZL,2018,16.34157995
Nicaragua,NIC,2018,2.947110425
Niger,NER,2018,0.844420702
Nigeria,NGA,2018,3.059743237
North Africa,,2018,7
Northern America,,2018,16
Northern Cyprus,OWID_CYN,2018,8.08669626
Northern Europe,,2018,16
Norway,NOR,2018,10.72753415
Pakistan,PAK,2018,3.522944004
Palestine,PSE,2018,4.224516164
Panama,PAN,2018,5.636655032
Paraguay,PRY,2018,11.81888577
Peru,PER,2018,8.434571373
Philippines,PHL,2018,4.743817193
Poland,POL,2018,13.39272057
Portugal,PRT,2018,13.09811218
Romania,ROU,2018,16.02984771
Russia,RUS,2018,24.40268963
Rwanda,RWA,2018,0.87600263
Saudi Arabia,SAU,2018,12.42565514
Senegal,SEN,2018,7.598673862
Serbia,SRB,2018,18.66826131
Sierra Leone,SLE,2018,1.340791882
Singapore,SGP,2018,17.88740896
Slovakia,SVK,2018,15.35088784
Slovenia,SVN,2018,16.87943575
South Africa,ZAF,2018,5.81562392
South America,,2018,8
South Asia,,2018,1
South Korea,KOR,2018,36.54780181
Southeast Asia,,2018,6
Southern Africa,,2018,6
Southern Europe,,2018,13
Spain,ESP,2018,12.28044083
Sri Lanka,LKA,2018,4.16200881
Swaziland,SWZ,2018,10.85058611
Sweden,SWE,2018,15.90704324
Switzerland,CHE,2018,23.59228962
Taiwan,TWN,2018,24.61800015
Tajikistan,TJK,2018,5.24606672
Tanzania,TZA,2018,1.518848609
Thailand,THA,2018,3.530983111
Togo,TGO,2018,10.91193613
Tunisia,TUN,2018,13.44408033
Turkey,TUR,2018,8.397395991
Turkmenistan,TKM,2018,3.974588621
Uganda,UGA,2018,4.533974339
Ukraine,UKR,2018,46.28191017
United Arab Emirates,ARE,2018,8.618381747
United Kingdom,GBR,2018,14.44763664
United States,USA,2018,15.76609773
Uruguay,URY,2018,14.60783553
Uzbekistan,UZB,2018,2.333062769
Venezuela,VEN,2018,3.02872897
Vietnam,VNM,2018,12.31480648
Western Africa,,2018,4
Western Europe,,2018,18
World,OWID_WRL,2018,11
Yemen,YEM,2018,5.571548665
Zambia,ZMB,2018,6.49557969
Zimbabwe,ZWE,2018,9.436383535
