Entity,Code,Year,"Estevadeordal, Frantz, and Taylor (2003) (upper bound) (%)",Klasing and Milionis (2014) (%),"Estevadeordal, Frantz, and Taylor (2003) (lower bound) (%)",Penn World Tables (9.1) (%)
World,OWID_WRL,1917,,25.950001,,
World,OWID_WRL,1918,,23.459999,,
World,OWID_WRL,1919,,22.42,,
World,OWID_WRL,1920,,21.66,,
World,OWID_WRL,1921,,15.12,,
World,OWID_WRL,1922,,16.709999,,
World,OWID_WRL,1923,,18.02,,
World,OWID_WRL,1924,,18.48,,
World,OWID_WRL,1925,,19.360001,,
World,OWID_WRL,1926,,18.379999,,
World,OWID_WRL,1927,,18.93,,
World,OWID_WRL,1928,,19.15,,
World,OWID_WRL,1929,,18.75,,
World,OWID_WRL,1930,,15.97,,
World,OWID_WRL,1931,,13.77,,
World,OWID_WRL,1932,,10.34,,
World,OWID_WRL,1933,,10.72,,
World,OWID_WRL,1934,,13.48,,
World,OWID_WRL,1935,,13.11,,
World,OWID_WRL,1936,,13.53,,
World,OWID_WRL,1937,,15.39,,
World,OWID_WRL,1938,,12.96,,
World,OWID_WRL,1939,,12.97,,
World,OWID_WRL,1940,,13.89,,
World,OWID_WRL,1941,,12.68,,
World,OWID_WRL,1942,,11.76,,
World,OWID_WRL,1943,,12.55,,
World,OWID_WRL,1944,,11.94,,
World,OWID_WRL,1945,,10.14,,
World,OWID_WRL,1946,,15.05,,
World,OWID_WRL,1947,,19.82,,
World,OWID_WRL,1948,,17.139999,,
World,OWID_WRL,1949,,16.35,,
World,OWID_WRL,1950,,,,19.867851
World,OWID_WRL,1951,,,,22.803799
World,OWID_WRL,1952,,,,20.092329
World,OWID_WRL,1953,,,,18.674465
World,OWID_WRL,1954,,,,19.222599
World,OWID_WRL,1955,,,,19.881781
World,OWID_WRL,1956,,,,20.845297
World,OWID_WRL,1957,,,,21.257008
World,OWID_WRL,1958,,,,19.418913
World,OWID_WRL,1959,,,,19.702271
World,OWID_WRL,1960,,,,21.931723
World,OWID_WRL,1961,,,,21.599577
World,OWID_WRL,1962,,,,21.165159
World,OWID_WRL,1963,,,,21.83226
World,OWID_WRL,1964,,,,22.020691
World,OWID_WRL,1965,,,,21.85181
World,OWID_WRL,1966,,,,22.192221
World,OWID_WRL,1967,,,,22.007828
World,OWID_WRL,1968,,,,22.599611
World,OWID_WRL,1969,,,,23.240227
World,OWID_WRL,1970,,,,25.233538
World,OWID_WRL,1971,,,,25.448309
World,OWID_WRL,1972,,,,26.037748
World,OWID_WRL,1973,,,,29.158554
World,OWID_WRL,1974,,,,35.39513
World,OWID_WRL,1975,,,,33.49688
World,OWID_WRL,1976,,,,34.52169
World,OWID_WRL,1977,,,,34.770832
World,OWID_WRL,1978,,,,33.912102
World,OWID_WRL,1979,,,,36.704262
World,OWID_WRL,1980,,,,39.500366
World,OWID_WRL,1981,,,,38.826172
World,OWID_WRL,1982,,,,37.020233
World,OWID_WRL,1983,,,,35.599777
World,OWID_WRL,1984,,,,36.346966
World,OWID_WRL,1985,,,,35.428539
World,OWID_WRL,1986,,,,33.601433
World,OWID_WRL,1987,,,,34.556255
World,OWID_WRL,1988,,,,35.413445
World,OWID_WRL,1989,,,,36.348183
World,OWID_WRL,1990,,,,38.02161
World,OWID_WRL,1991,,,,37.17942
World,OWID_WRL,1992,,,,39.116371
World,OWID_WRL,1993,,,,37.105022
World,OWID_WRL,1994,,,,38.567932
World,OWID_WRL,1995,,,,40.851563
