Entity,Code,Year,Number of years as top under-aided country
Burkina Faso,BFA,2018,2
Burundi,BDI,2018,2
Chad,TCD,2018,4
Democratic Republic of Congo,COD,2018,7
Gambia,GMB,2018,5
Guinea,GIN,2018,9
Guinea-Bissau,GNB,2018,5
Madagascar,MDG,2018,10
Malawi,MWI,2018,1
Niger,NER,2018,8
Togo,TGO,2018,11
