Entity,Code,Year,Marine energy production (gigawatt-hours)
Africa,,2013,0.1
Africa,,2014,0.1
Africa,,2015,0.1
Asia,,2000,6.5
Asia,,2001,6.5
Asia,,2002,6.5
Asia,,2003,6.5
Asia,,2004,6.5
Asia,,2005,6.5
Asia,,2006,6.5
Asia,,2007,6.5
Asia,,2008,6.5
Asia,,2009,7.5
Asia,,2010,58.8
Asia,,2011,472.4
Asia,,2012,490.3
Asia,,2013,498.7
Asia,,2014,502.9
Asia,,2015,458
Europe,,2000,507
Europe,,2001,485.02
Europe,,2002,494.05
Europe,,2003,490.03
Europe,,2004,470.04
Europe,,2005,481.03
Europe,,2006,464.01
Europe,,2007,465.02
Europe,,2008,465.04
Europe,,2009,448.83
Europe,,2010,478.24
Europe,,2011,478.44
Europe,,2012,462.22
Europe,,2013,420.34
Europe,,2014,483.92
Europe,,2015,491.5
North America,,2000,32
North America,,2001,32
North America,,2002,32
North America,,2003,33
North America,,2004,31
North America,,2005,27.92
North America,,2006,19.34
North America,,2007,22.75
North America,,2008,15.17
North America,,2009,30.25
North America,,2010,27.96
North America,,2011,26.36
North America,,2012,27.4
North America,,2013,14.98
North America,,2014,15.64
North America,,2015,12.95
Oceania,,2007,0.001
Oceania,,2008,0.001
Oceania,,2009,0.001
Oceania,,2010,0.001
Oceania,,2011,0.001
Oceania,,2012,0.001
Oceania,,2013,0.001
Oceania,,2014,0.001
Oceania,,2015,0.001
South America,,2012,0.001
South America,,2013,0.001
South America,,2014,0.001
South America,,2015,0.001
World,OWID_WRL,2000,545.6
World,OWID_WRL,2001,523.6
World,OWID_WRL,2002,523.6
World,OWID_WRL,2003,529.6
World,OWID_WRL,2004,507.6
World,OWID_WRL,2005,515.5
World,OWID_WRL,2006,489.9
World,OWID_WRL,2007,494.6
World,OWID_WRL,2008,487.1
World,OWID_WRL,2009,487
World,OWID_WRL,2010,565.4
World,OWID_WRL,2011,977.6
World,OWID_WRL,2012,980.1
World,OWID_WRL,2013,934.3
World,OWID_WRL,2014,1003.1
World,OWID_WRL,2015,963.1
