Entity,Code,Year,"Indicator 3.b.1: Geometric mean of the coverage of eight vaccines, conditional on inclusion in national vaccine schedules, in target populations (%) - Past - Unscaled (%)"
Bangladesh,BGD,2000,85.988
Bangladesh,BGD,2005,90.183
Bangladesh,BGD,2010,92.512
Bangladesh,BGD,2016,94.268
Barbados,BRB,1990,86.64
Barbados,BRB,1995,92.119
Barbados,BRB,2000,91.81
Barbados,BRB,2005,88.213
Barbados,BRB,2010,88.256
Barbados,BRB,2016,89.285
Belarus,BLR,1990,94.95
Belarus,BLR,1995,97.944
Belarus,BLR,2000,97.337
Belarus,BLR,2005,99.037
Belarus,BLR,2010,95.817
Belarus,BLR,2016,99.011
Belgium,BEL,1990,86.846
Belgium,BEL,1995,88.792
Belgium,BEL,2000,81.919
Belgium,BEL,2005,93.873
Belgium,BEL,2010,91.833
Belgium,BEL,2016,97.649
Belize,BLZ,1990,67.422
Belize,BLZ,1995,74.013
Belize,BLZ,2000,77.657
Belize,BLZ,2005,75.526
Belize,BLZ,2010,78.953
Belize,BLZ,2016,79.277
Benin,BEN,1990,48.778
Benin,BEN,1995,70.026
Benin,BEN,2000,72.174
Benin,BEN,2005,70.155
Benin,BEN,2010,69.563
Benin,BEN,2016,80.136
Bhutan,BTN,1990,70.764
Bhutan,BTN,1995,83.196
Bhutan,BTN,2000,88.004
Bhutan,BTN,2005,92.086
Bhutan,BTN,2010,95.497
Bhutan,BTN,2016,97.128
Bolivia,BOL,1990,64.624
Bolivia,BOL,1995,84.407
Bolivia,BOL,2000,91.187
Bolivia,BOL,2005,91.575
Bolivia,BOL,2010,93.707
Bolivia,BOL,2016,96.245
