Entity,Code,Year,Children (5-14 yearas) not in employment (Children),Children (5-14 years) in employment (Children)
World,OWID_WRL,2000,987864000,211000000
World,OWID_WRL,2004,1014120000,196047000
World,OWID_WRL,2008,1040458000,176452000
World,OWID_WRL,2012,1076832000,144066000
