Entity,Code,Year,"Communicable Diseases – Disability Adjusted Life Years (WHO) (per 100,000)"
Afghanistan,AFG,2000,37561
Afghanistan,AFG,2012,23259
Albania,ALB,2000,5068
Albania,ALB,2012,3297
Algeria,DZA,2000,8253
Algeria,DZA,2012,5963
Angola,AGO,2000,76145
Angola,AGO,2012,52615
Argentina,ARG,2000,4348
Argentina,ARG,2012,3706
Armenia,ARM,2000,4956
Armenia,ARM,2012,3719
Australia,AUS,2000,1333
Australia,AUS,2012,1161
Austria,AUT,2000,1023
Austria,AUT,2012,934
Azerbaijan,AZE,2000,11894
Azerbaijan,AZE,2012,6634
Bahamas,BHS,2000,11766
Bahamas,BHS,2012,7820
Bahrain,BHR,2000,2884
Bahrain,BHR,2012,2861
Bangladesh,BGD,2000,23279
Bangladesh,BGD,2012,12774
Barbados,BRB,2000,5578
Barbados,BRB,2012,4249
Belarus,BLR,2000,3114
Belarus,BLR,2012,2598
Belgium,BEL,2000,1361
Belgium,BEL,2012,1162
Belize,BLZ,2000,7654
Belize,BLZ,2012,6164
Benin,BEN,2000,49116
Benin,BEN,2012,31393
Bhutan,BTN,2000,24013
Bhutan,BTN,2012,11694
Bolivia,BOL,2000,20214
Bolivia,BOL,2012,12622
Bosnia and Herzegovina,BIH,2000,2527
Bosnia and Herzegovina,BIH,2012,1820
Botswana,BWA,2000,86832
Botswana,BWA,2012,32066
Brazil,BRA,2000,7866
Brazil,BRA,2012,4804
Brunei,BRN,2000,2456
Brunei,BRN,2012,2205
Bulgaria,BGR,2000,3781
Bulgaria,BGR,2012,2666
Burkina Faso,BFA,2000,66522
Burkina Faso,BFA,2012,34532
Burundi,BDI,2000,65366
Burundi,BDI,2012,40770
Cambodia,KHM,2000,34289
Cambodia,KHM,2012,14772
Cameroon,CMR,2000,59027
Cameroon,CMR,2012,42373
Canada,CAN,2000,1246
Canada,CAN,2012,1311
Cape Verde,CPV,2000,13489
Cape Verde,CPV,2012,8291
Central African Republic,CAF,2000,90789
Central African Republic,CAF,2012,65903
Chad,TCD,2000,74319
Chad,TCD,2012,58484
Chile,CHL,2000,2545
Chile,CHL,2012,2001
China,CHN,2000,7091
China,CHN,2012,3282
Colombia,COL,2000,6110
Colombia,COL,2012,4614
Comoros,COM,2000,32778
Comoros,COM,2012,25705
Congo,COG,2000,58050
Congo,COG,2012,38994
Costa Rica,CRI,2000,3129
Costa Rica,CRI,2012,2549
Cote d'Ivoire,CIV,2000,70408
Cote d'Ivoire,CIV,2012,48603
Croatia,HRV,2000,2055
Croatia,HRV,2012,1465
Cuba,CUB,2000,3410
Cuba,CUB,2012,2847
Cyprus,CYP,2000,1042
Cyprus,CYP,2012,713
Czech Republic,CZE,2000,1700
Czech Republic,CZE,2012,1631
Democratic Republic of Congo,COD,2000,67894
Democratic Republic of Congo,COD,2012,54455
Denmark,DNK,2000,1176
Denmark,DNK,2012,1285
Djibouti,DJI,2000,41149
Djibouti,DJI,2012,33378
Dominican Republic,DOM,2000,10404
Dominican Republic,DOM,2012,6243
Ecuador,ECU,2000,9208
Ecuador,ECU,2012,6131
Egypt,EGY,2000,9772
Egypt,EGY,2012,5450
El Salvador,SLV,2000,8260
El Salvador,SLV,2012,5586
Equatorial Guinea,GNQ,2000,56240
Equatorial Guinea,GNQ,2012,43229
Eritrea,ERI,2000,42581
Eritrea,ERI,2012,24397
Estonia,EST,2000,3067
Estonia,EST,2012,2005
Ethiopia,ETH,2000,58869
Ethiopia,ETH,2012,28224
Fiji,FJI,2000,7594
Fiji,FJI,2012,6422
Finland,FIN,2000,1237
Finland,FIN,2012,776
France,FRA,2000,1348
France,FRA,2012,1115
Gabon,GAB,2000,40010
Gabon,GAB,2012,30811
Gambia,GMB,2000,41769
Gambia,GMB,2012,30929
Georgia,GEO,2000,6038
Georgia,GEO,2012,4260
Germany,DEU,2000,1220
Germany,DEU,2012,1129
Ghana,GHA,2000,41076
Ghana,GHA,2012,27278
Greece,GRC,2000,1428
Greece,GRC,2012,1121
Guatemala,GTM,2000,15752
Guatemala,GTM,2012,10821
Guinea,GIN,2000,63188
Guinea,GIN,2012,38941
Guinea-Bissau,GNB,2000,58564
Guinea-Bissau,GNB,2012,48396
Guyana,GUY,2000,12705
Guyana,GUY,2012,10593
Haiti,HTI,2000,41590
Haiti,HTI,2012,25114
Honduras,HND,2000,12598
Honduras,HND,2012,7618
Hungary,HUN,2000,2155
Hungary,HUN,2012,1629
Iceland,ISL,2000,1072
Iceland,ISL,2012,767
India,IND,2000,24726
India,IND,2012,15840
Indonesia,IDN,2000,15211
Indonesia,IDN,2012,9550
Iran,IRN,2000,6701
Iran,IRN,2012,4440
Iraq,IRQ,2000,8906
Iraq,IRQ,2012,6929
Ireland,IRL,2000,1695
Ireland,IRL,2012,1010
Israel,ISR,2000,1474
Israel,ISR,2012,1217
Italy,ITA,2000,1280
Italy,ITA,2012,1015
Jamaica,JAM,2000,11561
Jamaica,JAM,2012,7125
Japan,JPN,2000,1470
Japan,JPN,2012,1219
Jordan,JOR,2000,5634
Jordan,JOR,2012,4165
Kazakhstan,KAZ,2000,9164
Kazakhstan,KAZ,2012,4666
Kenya,KEN,2000,62033
Kenya,KEN,2012,34731
Kuwait,KWT,2000,3127
Kuwait,KWT,2012,3215
Kyrgyzstan,KGZ,2000,10405
Kyrgyzstan,KGZ,2012,6242
Laos,LAO,2000,28646
Laos,LAO,2012,19510
Latvia,LVA,2000,3503
Latvia,LVA,2012,2657
Lebanon,LBN,2000,3989
Lebanon,LBN,2012,2685
Lesotho,LSO,2000,71288
Lesotho,LSO,2012,64355
Liberia,LBR,2000,63650
Liberia,LBR,2012,31939
Libya,LBY,2000,5249
Libya,LBY,2012,3479
Lithuania,LTU,2000,2568
Lithuania,LTU,2012,2248
Luxembourg,LUX,2000,1102
Luxembourg,LUX,2012,905
Macedonia,MKD,2000,2723
Macedonia,MKD,2012,1883
Madagascar,MDG,2000,37353
Madagascar,MDG,2012,24108
Malawi,MWI,2000,93801
Malawi,MWI,2012,41634
Malaysia,MYS,2000,6124
Malaysia,MYS,2012,5432
Maldives,MDV,2000,10334
Maldives,MDV,2012,3776
Mali,MLI,2000,65429
Mali,MLI,2012,37702
Malta,MLT,2000,1691
Malta,MLT,2012,1241
Mauritania,MRT,2000,37573
Mauritania,MRT,2012,30734
Mauritius,MUS,2000,3457
Mauritius,MUS,2012,3656
Mexico,MEX,2000,5176
Mexico,MEX,2012,3556
Moldova,MDA,2000,5646
Moldova,MDA,2012,3912
Mongolia,MNG,2000,11748
Mongolia,MNG,2012,5989
Montenegro,MNE,2000,2629
Montenegro,MNE,2012,1855
Morocco,MAR,2000,11775
Morocco,MAR,2012,8260
Mozambique,MOZ,2000,69400
Mozambique,MOZ,2012,54637
Myanmar,MMR,2000,25767
Myanmar,MMR,2012,16796
Namibia,NAM,2000,43117
Namibia,NAM,2012,21350
Nepal,NPL,2000,23876
Nepal,NPL,2012,13914
Netherlands,NLD,2000,1427
Netherlands,NLD,2012,1134
New Zealand,NZL,2000,1150
New Zealand,NZL,2012,1157
