Entity,Code,Year,"Child labor UK (girls, historic) (% of girls ages 10-14)","Child labor UK (boys, historic) (% of boys ages 10-14)"
United Kingdom,GBR,1851,19.9,36.6
United Kingdom,GBR,1861,20.2,36.9
United Kingdom,GBR,1871,20.5,32.1
United Kingdom,GBR,1881,15.1,22.9
United Kingdom,GBR,1891,16.3,26
United Kingdom,GBR,1901,12,21.9
United Kingdom,GBR,1911,10.4,18.3
