Entity,Code,Year,Breast (%),Cervix (%),Colon (%),Leukaemia (%),Liver (%),Lung (%),Ovary (%),Prostate (%),Rectum (%),Stomach (%)
Algeria,DZA,1999,17.1,23.4,10.8,21.2,,6,13.9,44,7.9,5.1
Algeria,DZA,2004,29.5,59.5,48.6,32.3,17.9,8.2,42.9,55.5,41.2,17.6
Algeria,DZA,2009,59.8,55.1,57.2,13.6,17.5,14.8,41.8,58.5,45.5,10.3
Argentina,ARG,1999,,45.9,,,,,,,,
Argentina,ARG,2004,75.5,52,46,,,20.8,26.8,85,44.4,19.2
Argentina,ARG,2009,76.6,50.6,40.6,90,24.2,11.9,29.7,86.6,31,16
Australia,AUS,1999,84.6,69.9,60.3,47.5,13.2,13.7,36.1,83.7,59.9,25.9
Australia,AUS,2004,86.4,68.4,63.1,51,14.3,14.8,37,86.8,63.8,27.8
Australia,AUS,2009,86.2,67.1,64.2,51.1,14.7,15,37.5,88.5,64.2,27.9
Austria,AUT,1999,78.7,62.3,57.1,39.8,8.7,14.1,42.2,84.7,54.8,29.5
Austria,AUT,2004,81.4,65.4,60.2,43.3,11,15.6,40.4,89.8,59.8,30
Austria,AUT,2009,82.9,66,63,45.8,12.9,17.9,41.6,90.5,62.1,33.1
Belgium,BEL,2004,84.8,66,64,57.5,19.9,15.3,42.5,92,62.3,27.9
Belgium,BEL,2009,85.4,65.2,64.6,59.4,19.6,16.6,43,92.6,64.7,33.4
Brazil,BRA,1999,78.2,60.2,55.9,34.3,15.9,18.6,35.1,83.4,54.7,33.1
Brazil,BRA,2004,86.9,67.5,58.1,30.1,17.9,13.7,41.3,93,52.8,28.2
Brazil,BRA,2009,87.4,61.1,58.2,20.3,11.6,18,31.8,96.1,55.9,24.9
Bulgaria,BGR,1999,68,46.7,39.5,21.2,4.7,5.9,27.7,45.2,31,11.2
Bulgaria,BGR,2004,71.2,49.4,43.8,24.1,3.8,5.7,32.9,49.7,36.9,11.1
Bulgaria,BGR,2009,73.9,53,47,25,5,6.3,35.4,53.4,40.8,12.9
Canada,CAN,1999,83.7,66.2,56.8,46.8,12.1,15.1,36.5,87.5,56.5,21.1
Canada,CAN,2004,85.3,67.5,60.1,52.4,15.4,15.6,35.5,91,60.5,23.1
Canada,CAN,2009,85.8,66.8,62.8,55.2,17.7,17.3,37.5,91.7,62.8,24.8
Chile,CHL,1999,73.3,41.9,39,,,,,69.7,,13.4
Chile,CHL,2004,76.8,55.5,36.4,10.3,4.5,6.2,29.6,81.2,41.7,16.4
