Entity,Code,Year,Change in female height (cm) (centimeters)
Afghanistan,AFG,1996,5.8875762
Albania,ALB,1996,11.5737254
Algeria,DZA,1996,7.2259589
American Samoa,ASM,1996,6.3239834
Andorra,AND,1996,10.466057
Angola,AGO,1996,4.703628
Antigua and Barbuda,ATG,1996,10.0465608
Argentina,ARG,1996,8.5889525
Armenia,ARM,1996,8.4576857
Australia,AUS,1996,10.366089
Austria,AUT,1996,7.068036
Azerbaijan,AZE,1996,8.3191819
Bahamas,BHS,1996,10.1188808
Bahrain,BHR,1996,7.0309285
Bangladesh,BGD,1996,9.3066267
Barbados,BRB,1996,13.217387
Belarus,BLR,1996,12.3789151
Belgium,BEL,1996,10.069576
Belize,BLZ,1996,10.6951927
Benin,BEN,1996,2.9953795
Bermuda,BMU,1996,10.1689983
Bhutan,BTN,1996,6.6591408
Bolivia,BOL,1996,10.6935803
Bosnia and Herzegovina,BIH,1996,12.0037311
Botswana,BWA,1996,5.3476914
Brazil,BRA,1996,10.6960196
Brunei,BRN,1996,8.2400987
Bulgaria,BGR,1996,12.6054448
Burkina Faso,BFA,1996,4.0170602
Burundi,BDI,1996,2.8880307
Cambodia,KHM,1996,6.6725239
Cameroon,CMR,1996,5.018037
Canada,CAN,1996,6.2978256
Cape Verde,CPV,1996,7.0087624
Central African Republic,CAF,1996,5.9361553
Chad,TCD,1996,3.477457
Chile,CHL,1996,11.7695866
China,CHN,1996,9.5535825
Colombia,COL,1996,12.828979
Comoros,COM,1996,5.0468677
Congo,COG,1996,5.0598393
Cook Islands,COK,1996,7.0389672
Costa Rica,CRI,1996,13.6400007
Cote d'Ivoire,CIV,1996,4.5481532
Croatia,HRV,1996,15.5501516
Cuba,CUB,1996,8.7361734
Cyprus,CYP,1996,10.1978679
Czech Republic,CZE,1996,15.7027695
Democratic Republic of Congo,COD,1996,4.2486772
Denmark,DNK,1996,10.0921521
Djibouti,DJI,1996,4.323587
Dominica,DMA,1996,11.5317378
Dominican Republic,DOM,1996,10.1029445
East Asia and Pacific,,1996,7.8996
Ecuador,ECU,1996,11.232168
Egypt,EGY,1996,8.6113264
El Salvador,SLV,1996,13.3389
Equatorial Guinea,GNQ,1996,4.7159702
Eritrea,ERI,1996,4.2757429
Estonia,EST,1996,12.1996464
