Entity,Code,Year,Average real GDP per capita across Maddison's definitions (Maddison Project Database (2018))
Africa,,1950,1596
Africa,,1951,1606
Africa,,1952,1618
Africa,,1953,1658
Africa,,1954,1717
Africa,,1955,1748
Africa,,1956,1762
Africa,,1957,1794
Africa,,1958,1786
Africa,,1959,1840
Africa,,1960,1852
Africa,,1961,1883
Africa,,1962,1971
Africa,,1963,2053
Africa,,1964,2117
Africa,,1965,2251
Africa,,1966,2256
Africa,,1967,2225
Africa,,1968,2306
Africa,,1969,2556
Africa,,1970,2963
Africa,,1971,3023
Africa,,1972,3082
Africa,,1973,3238
Africa,,1974,3525
Africa,,1975,3523
Africa,,1976,3629
Africa,,1977,3772
Africa,,1978,3781
Africa,,1979,3852
Africa,,1980,3862
Africa,,1981,3697
Africa,,1982,3721
Africa,,1983,3656
Africa,,1984,3547
Africa,,1985,3620
Africa,,1986,3395
Africa,,1987,3245
Africa,,1988,3249
Africa,,1989,3230
Africa,,1990,3170
Africa,,1991,3068
Africa,,1992,3011
Africa,,1993,2902
Africa,,1994,2870
Africa,,1995,2869
Africa,,1996,2934
Africa,,1997,2913
Africa,,1998,2875
Africa,,1999,2858
Africa,,2000,2889
Africa,,2001,2919
Africa,,2002,2980
Africa,,2003,3045
Africa,,2004,3140
Africa,,2005,3320
Africa,,2006,3494
Africa,,2007,3790
Africa,,2008,4016
Africa,,2009,3998
Africa,,2010,4340
Africa,,2011,4487
Africa,,2012,4614
Africa,,2013,4577
Africa,,2014,4638
Africa,,2015,4684
Africa,,2016,4680
East Asia,,1870,811
East Asia,,1890,942
East Asia,,1913,1130
East Asia,,1929,1314
East Asia,,1938,1342
East Asia,,1950,1147
East Asia,,1951,1231
East Asia,,1952,1276
East Asia,,1953,1353
East Asia,,1954,1324
East Asia,,1955,1366
East Asia,,1956,1409
East Asia,,1957,1407
East Asia,,1958,1412
East Asia,,1959,1394
East Asia,,1960,1419
East Asia,,1961,1411
East Asia,,1962,1465
East Asia,,1963,1520
East Asia,,1964,1607
East Asia,,1965,1649
East Asia,,1966,1673
East Asia,,1967,1731
East Asia,,1968,1774
East Asia,,1969,1888
East Asia,,1970,2010
East Asia,,1971,2077
East Asia,,1972,2128
East Asia,,1973,2249
East Asia,,1974,2243
East Asia,,1975,2322
East Asia,,1976,2363
East Asia,,1977,2434
East Asia,,1978,2565
East Asia,,1979,2623
East Asia,,1980,2703
East Asia,,1981,2681
East Asia,,1982,2708
East Asia,,1983,2723
East Asia,,1984,2810
East Asia,,1985,2881
East Asia,,1986,3013
East Asia,,1987,3155
East Asia,,1988,3310
East Asia,,1989,3409
East Asia,,1990,3521
East Asia,,1991,3677
East Asia,,1992,3841
East Asia,,1993,4044
East Asia,,1994,4201
East Asia,,1995,4416
East Asia,,1996,4586
East Asia,,1997,4624
East Asia,,1998,4511
East Asia,,1999,4626
East Asia,,2000,4860
East Asia,,2001,4985
East Asia,,2002,5213
East Asia,,2003,5424
East Asia,,2004,5751
East Asia,,2005,6233
East Asia,,2006,6617
East Asia,,2007,7015
East Asia,,2008,7257
East Asia,,2009,7510
East Asia,,2010,8283
East Asia,,2011,8829
East Asia,,2012,9105
East Asia,,2013,9354
East Asia,,2014,9710
East Asia,,2015,9998
East Asia,,2016,10287
Eastern Europe,,1890,1622
Eastern Europe,,1900,2132
Eastern Europe,,1913,2502
Eastern Europe,,1929,2628
Eastern Europe,,1950,4716
Eastern Europe,,1951,4725
Eastern Europe,,1952,4904
Eastern Europe,,1953,5041
Eastern Europe,,1954,5195
Eastern Europe,,1955,5555
Eastern Europe,,1956,5964
Eastern Europe,,1957,6125
Eastern Europe,,1958,6525
Eastern Europe,,1959,6502
Eastern Europe,,1960,7050
Eastern Europe,,1961,7414
Eastern Europe,,1962,7576
Eastern Europe,,1963,7465
Eastern Europe,,1964,8318
Eastern Europe,,1965,8761
Eastern Europe,,1966,9207
Eastern Europe,,1967,9616
Eastern Europe,,1968,10154
Eastern Europe,,1969,10325
Eastern Europe,,1970,11061
Eastern Europe,,1971,11409
Eastern Europe,,1972,11570
Eastern Europe,,1973,12492
Eastern Europe,,1974,12886
Eastern Europe,,1975,13000
Eastern Europe,,1976,13545
Eastern Europe,,1977,13868
Eastern Europe,,1978,14235
Eastern Europe,,1979,14216
Eastern Europe,,1980,14249
Eastern Europe,,1981,14363
Eastern Europe,,1982,14725
Eastern Europe,,1983,15177
Eastern Europe,,1984,15418
Eastern Europe,,1985,15593
Eastern Europe,,1986,16220
Eastern Europe,,1987,16438
Eastern Europe,,1988,16794
Eastern Europe,,1989,17069
Eastern Europe,,1990,16606
Eastern Europe,,1991,15361
Eastern Europe,,1992,13993
Eastern Europe,,1993,11978
Eastern Europe,,1994,10305
Eastern Europe,,1995,10118
Eastern Europe,,1996,8800
Eastern Europe,,1997,8470
Eastern Europe,,1998,7890
Eastern Europe,,1999,7982
Eastern Europe,,2000,8771
Eastern Europe,,2001,9166
Eastern Europe,,2002,9543
Eastern Europe,,2003,10196
Eastern Europe,,2004,10979
Eastern Europe,,2005,12146
Eastern Europe,,2006,13533
Eastern Europe,,2007,15397
Eastern Europe,,2008,16521
Eastern Europe,,2009,15125
Eastern Europe,,2010,16267
Eastern Europe,,2011,17939
Eastern Europe,,2012,18684
Eastern Europe,,2013,19073
Eastern Europe,,2014,19129
Eastern Europe,,2015,19187
Eastern Europe,,2016,19355
Latin America,,1870,943
Latin America,,1890,1259
Latin America,,1900,1365
Latin America,,1901,1417
Latin America,,1902,1375
Latin America,,1903,1455
Latin America,,1904,1508
Latin America,,1905,1586
Latin America,,1906,1627
Latin America,,1907,1653
Latin America,,1908,1699
Latin America,,1909,1740
Latin America,,1910,1792
Latin America,,1911,1794
Latin America,,1912,1853
Latin America,,1913,1822
Latin America,,1914,1679
Latin America,,1915,1663
Latin America,,1916,1694
Latin America,,1917,1672
Latin America,,1918,1772
Latin America,,1919,1817
Latin America,,1920,1901
Latin America,,1921,1887
Latin America,,1922,1969
Latin America,,1923,2095
Latin America,,1924,2144
Latin America,,1925,2139
Latin America,,1926,2196
Latin America,,1927,2246
Latin America,,1928,2373
Latin America,,1929,2381
Latin America,,1930,2228
Latin America,,1931,2068
Latin America,,1932,1932
Latin America,,1933,2038
Latin America,,1934,2166
Latin America,,1935,2254
Latin America,,1936,2313
Latin America,,1937,2392
Latin America,,1938,2410
Latin America,,1939,2447
Latin America,,1940,2440
Latin America,,1941,2509
Latin America,,1942,2460
Latin America,,1943,2485
Latin America,,1944,2629
Latin America,,1945,2615
Latin America,,1946,2785
Latin America,,1947,2857
Latin America,,1948,2986
Latin America,,1949,3003
Latin America,,1950,3048
Latin America,,1951,3073
Latin America,,1952,3069
Latin America,,1953,3114
Latin America,,1954,3243
Latin America,,1955,3338
Latin America,,1956,3360
Latin America,,1957,3477
Latin America,,1958,3583
Latin America,,1959,3512
Latin America,,1960,3621
Latin America,,1961,3762
Latin America,,1962,3860
Latin America,,1963,3887
Latin America,,1964,4083
Latin America,,1965,4189
Latin America,,1966,4334
Latin America,,1967,4475
Latin America,,1968,4653
Latin America,,1969,4846
Latin America,,1970,5126
Latin America,,1971,5369
Latin America,,1972,5636
Latin America,,1973,6014
Latin America,,1974,6419
Latin America,,1975,6490
Latin America,,1976,6648
Latin America,,1977,6766
Latin America,,1978,6876
Latin America,,1979,7239
Latin America,,1980,7436
Latin America,,1981,7497
Latin America,,1982,7255
Latin America,,1983,6955
Latin America,,1984,7015
Latin America,,1985,6933
Latin America,,1986,7064
Latin America,,1987,7091
Latin America,,1988,7010
Latin America,,1989,6937
Latin America,,1990,6984
Latin America,,1991,7177
Latin America,,1992,7437
Latin America,,1993,7583
Latin America,,1994,7963
Latin America,,1995,8159
Latin America,,1996,8712
Latin America,,1997,8762
Latin America,,1998,8663
Latin America,,1999,8447
Latin America,,2000,8728
Latin America,,2001,8604
Latin America,,2002,8483
Latin America,,2003,8555
Latin America,,2004,9065
Latin America,,2005,9666
Latin America,,2006,10394
Latin America,,2007,11135
Latin America,,2008,11841
Latin America,,2009,11573
Latin America,,2010,12813
Latin America,,2011,13899
Latin America,,2012,13949
Latin America,,2013,14193
Latin America,,2014,14140
Latin America,,2015,14400
Latin America,,2016,13470
Western Asia,,1950,2386
Western Asia,,1951,2520
Western Asia,,1952,2662
Western Asia,,1953,2897
Western Asia,,1954,3016
Western Asia,,1955,3023
Western Asia,,1956,3144
Western Asia,,1957,3271
Western Asia,,1958,3375
Western Asia,,1959,3491
Western Asia,,1960,3635
Western Asia,,1961,3816
Western Asia,,1962,3963
Western Asia,,1963,4140
Western Asia,,1964,4331
Western Asia,,1965,4563
Western Asia,,1966,4906
