Entity,Code,Year,Share of global food loss and waste by region (%)
Europe,,2009,14
Industrialized Asia,,2009,28
Latin America,,2009,6
"North Africa, West and Central Asia",,2009,7
North America and Oceania,,2009,14
South and Southeast Asia,,2009,23
Sub-Saharan Africa,,2009,9
