Entity,Code,Year,Proportion of children under 5 years of age who are developmentally on track (% of under-5s)
Algeria,DZA,2013,70.2
Argentina,ARG,2012,85.4
Bangladesh,BGD,2013,63.9
Barbados,BRB,2012,96.6
Belarus,BLR,2012,93.9
Belize,BLZ,2015,82.5
Benin,BEN,2014,61.4
Bhutan,BTN,2010,71.5
Bosnia and Herzegovina,BIH,2012,96.4
Cambodia,KHM,2014,68.2
Cameroon,CMR,2014,61.2
Central African Republic,CAF,2010,47.2
Central Asia,,2016,84.7
Central and South Asia,,2016,67.1
Chad,TCD,2015,32.6
Congo,COG,2015,60.8
Costa Rica,CRI,2011,81.1
Cuba,CUB,2014,88.8
Democratic Republic of Congo,COD,2014,65.5
Dominican Republic,DOM,2014,84.4
East Asia,,2016,75.38
East and Southeast Asia,,2016,85.1
El Salvador,SLV,2014,81
Europe,,2016,90.5
Europe and North America,,2016,90.5
Gambia,GMB,2010,68.1
Georgia,GEO,2013,81
Ghana,GHA,2011,73.7
Guinea-Bissau,GNB,2014,61
Guyana,GUY,2014,85.6
Honduras,HND,2012,80.2
Iraq,IRQ,2011,71.6
Jamaica,JAM,2011,89.1
Jordan,JOR,2012,68.9
Kazakhstan,KAZ,2015,85.5
Kyrgyzstan,KGZ,2014,78.3
Landlocked developing countries,,2016,60.6
Laos,LAO,2012,81.3
Latin America and the Caribbean,,2016,83.08
Least developed countries,,2016,60.8
Macedonia,MKD,2011,92.7
Malawi,MWI,2014,59.8
Mali,MLI,2010,46
Mauritania,MRT,2015,60
Mexico,MEX,2015,82.2
Moldova,MDA,2012,83.8
Mongolia,MNG,2013,76
Montenegro,MNE,2013,94.3
Nepal,NPL,2014,64.4
Nigeria,NGA,2011,60.9
North Africa,,2016,71.2
North Africa and West Asia,,2016,71.5
North Korea,PRK,2009,75.3
Oman,OMN,2014,68.3
Palestine,PSE,2014,72
Panama,PAN,2013,80.2
Qatar,QAT,2012,83.9
Rwanda,RWA,2015,63.1
Saint Lucia,LCA,2012,91.4
Sao Tome and Principe,STP,2014,54.5
Serbia,SRB,2014,95.1
Sierra Leone,SLE,2010,45.1
Small island developing States,,2016,82.7
South Asia,,2016,63.99
Southeast Asia,,2016,86.5
Sub-Saharan Africa,,2016,60.4
Suriname,SUR,2010,70.9
Swaziland,SWZ,2014,64.9
Thailand,THA,2012,91.5
Togo,TGO,2014,50.8
Tunisia,TUN,2012,75.8
Turkmenistan,TKM,2016,90.9
Ukraine,UKR,2012,89
Uruguay,URY,2013,86.8
Vietnam,VNM,2014,88.7
West Asia,,2016,71.7
World,OWID_WRL,2016,69.1
Zimbabwe,ZWE,2014,61.8
