Entity,Code,Year,Annual statutory teacher salaries in public institutions in USD. Primary. 10 years of experience (PPP-adjusted US-$)
Australia,AUS,2009,48233.4699290441
Australia,AUS,2010,47445.0842159805
Australia,AUS,2011,48522.4721647235
Australia,AUS,2012,51504.4742741639
Australia,AUS,2013,56334.5067372968
Australia,AUS,2014,57246.1742715394
Austria,AUT,2009,36588.4266352387
Austria,AUT,2010,36361.2948134752
Austria,AUT,2011,37114.5824752361
Austria,AUT,2012,38352.5551547655
Austria,AUT,2013,38376.0088150057
Austria,AUT,2014,38618.9333705935
Canada,CAN,2010,52205.0313060612
Canada,CAN,2011,53630.6048731799
Canada,CAN,2012,55764.933646078
Canada,CAN,2013,63557.1037371134
Canada,CAN,2014,63187.6233949661
Chile,CHL,2009,19982.411030431
Chile,CHL,2010,21547.1946783759
Chile,CHL,2011,21728.4202619138
Chile,CHL,2012,22741.9383361788
Chile,CHL,2013,23735.7927977716
Chile,CHL,2014,23199.3916610509
Colombia,COL,2013,20807.0537238729
Colombia,COL,2014,31870.5315431676
Czech Republic,CZE,2009,22278.6708672301
Czech Republic,CZE,2010,18877.6551564331
Czech Republic,CZE,2011,19320.8537097911
Czech Republic,CZE,2012,18508.0136504327
Czech Republic,CZE,2013,17528.8847632925
Czech Republic,CZE,2014,17577.5229912135
Denmark,DNK,2009,52528.763677997
Denmark,DNK,2010,48539.9129311021
Denmark,DNK,2011,48615.5820267495
Denmark,DNK,2012,49352.7848221329
Denmark,DNK,2013,50957.707693823
Denmark,DNK,2014,51140.9415662625
Estonia,EST,2009,15758.4581418939
Estonia,EST,2010,12575.7159585347
Estonia,EST,2011,12306.431726781
Estonia,EST,2012,12525.0336472314
Estonia,EST,2013,13232.6336994993
Finland,FIN,2009,37632.1399289423
Finland,FIN,2010,35334.8764243492
Finland,FIN,2011,35741.7900258717
Finland,FIN,2012,37212.0999419854
Finland,FIN,2013,37453.2373230428
Finland,FIN,2014,37222.7887244536
France,FRA,2009,31156.4394583263
France,FRA,2010,30571.8719095067
France,FRA,2011,30962.6487536147
France,FRA,2012,31688.7043448918
France,FRA,2013,31229.1610345138
France,FRA,2014,31865.0888968452
Germany,DEU,2012,59795.2719242397
Germany,DEU,2013,60449.4145014391
Germany,DEU,2014,61172.4602213111
Greece,GRC,2009,31858.3551746122
Greece,GRC,2010,30210.3857130866
Greece,GRC,2011,26112.1856767229
Greece,GRC,2012,23320.0161093641
Greece,GRC,2013,22459.803903631
Greece,GRC,2014,21070.967016913
Hungary,HUN,2009,13837.7508264556
Hungary,HUN,2010,12290.3688423579
Hungary,HUN,2011,12215.6180766632
Hungary,HUN,2012,12561.6367842197
Hungary,HUN,2013,12176.8949212321
Hungary,HUN,2014,17857.9329748166
Iceland,ISL,2009,31536.6783637781
Iceland,ISL,2010,27210.9585566735
Iceland,ISL,2011,26296.9784362399
Iceland,ISL,2012,28046.1062878482
Iceland,ISL,2013,29165.4606858365
Indonesia,IDN,2010,1855.02533146126
Ireland,IRL,2009,53787.0365373199
Ireland,IRL,2010,47891.1930273851
Ireland,IRL,2011,49059.5556577158
Ireland,IRL,2012,49232.8607194509
Ireland,IRL,2013,50247.9836972199
Ireland,IRL,2014,51948.7297089388
Israel,ISR,2009,27261.8250857088
Israel,ISR,2010,22415.1982983216
Israel,ISR,2011,24223.6790166714
Israel,ISR,2012,26181.2629975199
Israel,ISR,2013,25731.8445780276
Israel,ISR,2014,24322.0615051912
Italy,ITA,2009,31811.0121517802
Italy,ITA,2010,29727.569586448
Italy,ITA,2011,30019.9098095442
Italy,ITA,2012,30567.4707521043
Italy,ITA,2013,30262.1938060587
Italy,ITA,2014,30047.9529779982
Japan,JPN,2009,41711.4747584682
Japan,JPN,2010,37837.7617726948
Japan,JPN,2011,38665.4570062748
Japan,JPN,2012,40203.9692765172
Japan,JPN,2013,41035.9743488502
Japan,JPN,2014,41740.0137447005
Luxembourg,LUX,2009,67339.5307658256
Luxembourg,LUX,2010,84193.7860236914
Luxembourg,LUX,2011,82735.8680485778
Luxembourg,LUX,2012,87511.2567087894
Luxembourg,LUX,2013,91203.2746697255
Luxembourg,LUX,2014,90207.7498127736
Mexico,MEX,2009,15767.5263875263
Mexico,MEX,2010,14396.8677681788
Mexico,MEX,2011,15173.7431836059
Mexico,MEX,2012,15648.1212811603
Mexico,MEX,2013,20778.6015279251
Mexico,MEX,2014,22148.3044661397
Netherlands,NLD,2009,45063.7694851205
Netherlands,NLD,2010,44406.7162552866
Netherlands,NLD,2011,44950.7191718694
Netherlands,NLD,2012,45950.0727008735
Netherlands,NLD,2013,45228.012398404
Netherlands,NLD,2014,44847.3308957851
New Zealand,NZL,2010,41008.5808600628
New Zealand,NZL,2011,41755.3496460401
New Zealand,NZL,2012,43049.7467753773
New Zealand,NZL,2013,43292.4081839275
New Zealand,NZL,2014,42764.6145234075
Norway,NOR,2009,40391.8485475169
Norway,NOR,2010,35990.9119537977
Norway,NOR,2011,37585.4931575994
Norway,NOR,2012,38772.6547785611
Norway,NOR,2013,44537.8807158705
Norway,NOR,2014,44135.6653835399
OECD members,,2014,39673.3404290373
Poland,POL,2009,12809.2429506342
Poland,POL,2010,12619.8941368714
Poland,POL,2011,13605.2218405395
Poland,POL,2012,14965.683930881
Poland,POL,2013,20401.8243974245
Poland,POL,2014,20325.1089033274
Portugal,PRT,2009,38426.7988137974
Portugal,PRT,2010,34536.8172423052
Portugal,PRT,2011,37152.1257936895
Portugal,PRT,2012,31927.8003856157
Portugal,PRT,2013,33740.1411624272
Portugal,PRT,2014,35270.3342945717
Slovakia,SVK,2009,13351.8856155839
Slovakia,SVK,2010,12132.0914479255
Slovakia,SVK,2011,12498.8281600346
Slovakia,SVK,2012,12778.2583130359
Slovakia,SVK,2013,13350.9489238948
Slovakia,SVK,2014,14221.736131216
Slovenia,SVN,2009,32384.9571564583
Slovenia,SVN,2010,29608.0546968303
Slovenia,SVN,2011,29384.971647831
Slovenia,SVN,2012,29958.4062117568
Slovenia,SVN,2013,31076.8937019558
Slovenia,SVN,2014,30739.9308531072
South Korea,KOR,2009,45269.0960214683
South Korea,KOR,2010,39721.5562765338
South Korea,KOR,2011,41373.0616296586
South Korea,KOR,2012,42971.8154258403
South Korea,KOR,2013,44192.9959654643
South Korea,KOR,2014,40548.0839101121
Spain,ESP,2009,44576.4607212748
Spain,ESP,2010,40480.0860323074
Spain,ESP,2011,39077.1307513673
Spain,ESP,2012,39436.7260023601
Spain,ESP,2013,39467.8082495335
Spain,ESP,2014,39371.1359990778
Sweden,SWE,2009,34086.2978493169
Sweden,SWE,2010,32182.4278221281
Sweden,SWE,2011,34069.6312387892
Sweden,SWE,2013,36816.5002331101
Sweden,SWE,2014,36060.3758851005
Switzerland,CHE,2009,62902.9018727029
Switzerland,CHE,2010,57370.6912863605
Switzerland,CHE,2011,59444.647092128
Switzerland,CHE,2012,61278.5245244709
Switzerland,CHE,2014,65937.747098386
Turkey,TUR,2009,26373.55100252
Turkey,TUR,2010,24844.6586595567
Turkey,TUR,2011,24241.1398484986
Turkey,TUR,2012,25632.3457896356
Turkey,TUR,2013,26107.487331626
Turkey,TUR,2014,27745.9950781903
United States,USA,2009,42474.91
United States,USA,2010,42889.45
United States,USA,2011,43747.03
