Entity,Code,Year,"UIS: Adjusted net attendance rate, primary, both sexes (%) (%)"
Afghanistan,AFG,2011,57.2899513244629
Albania,ALB,2009,92.2305374145508
Armenia,ARM,2006,98.6894454956055
Armenia,ARM,2011,95.8347702026367
Azerbaijan,AZE,2006,94.3840026855469
Bangladesh,BGD,2006,80.9881439208984
Bangladesh,BGD,2011,87.0804290771484
Belize,BLZ,2006,89.8956832885742
Benin,BEN,2006,67.4623413085938
Benin,BEN,2011,76.414909362793
Bhutan,BTN,2010,91.807014465332
Bolivia,BOL,2003,82.8691864013672
Bolivia,BOL,2008,96.9472274780273
Brazil,BRA,2006,97.9140701293945
Burkina Faso,BFA,2003,33.5779800415039
Burkina Faso,BFA,2006,46.2326393127441
Burkina Faso,BFA,2010,51.8977279663086
Burundi,BDI,2000,51.7142105102539
Burundi,BDI,2010,84.6340866088867
Cambodia,KHM,2005,85.4719848632813
Cambodia,KHM,2010,93.221565246582
Cambodia,KHM,2014,92.7955474853516
Cameroon,CMR,2004,83.6808013916016
Cameroon,CMR,2006,81.9398498535156
Cameroon,CMR,2011,84.8683090209961
Central African Republic,CAF,2006,59.6478118896484
Chad,TCD,2004,41.8896484375
Colombia,COL,2005,90.6304626464844
Colombia,COL,2010,91.1262283325195
Congo,COG,2005,92.5649261474609
Congo,COG,2012,95.7949676513672
Cote d'Ivoire,CIV,2006,62.2189636230469
Democratic Republic of Congo,COD,2007,71.3346099853516
Democratic Republic of Congo,COD,2010,74.0992050170898
Democratic Republic of Congo,COD,2013,86.9718627929688
Djibouti,DJI,2006,79.8650741577148
Dominican Republic,DOM,2007,93.5813522338867
Dominican Republic,DOM,2013,95.7303085327148
Egypt,EGY,2005,95.2475128173828
Egypt,EGY,2009,95.4859466552734
Egypt,EGY,2014,96.7501373291016
Ethiopia,ETH,2000,35.6853866577148
Ethiopia,ETH,2005,50.0727958679199
Ethiopia,ETH,2011,62.211067199707
Gabon,GAB,2012,94.3095626831055
Gambia,GMB,2006,61.0263404846191
Ghana,GHA,2009,74.7673263549805
Ghana,GHA,2015,69.6993865966797
Guinea,GIN,2005,51.4250221252441
Guinea,GIN,2012,57.7875442504883
Guyana,GUY,2006,97.3209991455078
Guyana,GUY,2009,96.9432907104492
Haiti,HTI,2005,49.6843795776367
Haiti,HTI,2012,85.8936614990234
India,IND,2006,83.4501876831055
Indonesia,IDN,2003,94.9812088012695
Indonesia,IDN,2008,95.7467422485352
Iraq,IRQ,2011,90.1906661987305
Jordan,JOR,2007,98.7367248535156
Kazakhstan,KAZ,2006,98.0405807495117
Kenya,KEN,2003,75.1835556030273
Kenya,KEN,2008,86.7306900024414
Kyrgyzstan,KGZ,2006,92.4186325073242
Laos,LAO,2006,78.9621734619141
Laos,LAO,2012,85.774543762207
Lesotho,LSO,2005,90.7839126586914
Lesotho,LSO,2009,94.1424865722656
Liberia,LBR,2007,30.9366188049316
Liberia,LBR,2013,42.7280921936035
Madagascar,MDG,2009,79.1291961669922
Malawi,MWI,2004,86.7736434936523
Malawi,MWI,2010,90.7883911132813
Maldives,MDV,2008,93.5614852905273
Mali,MLI,2006,46.0937995910645
Mali,MLI,2013,54.2851943969727
Mauritania,MRT,2007,58.1230392456055
Moldova,MDA,2005,98.6326751708984
Mongolia,MNG,2006,95.261474609375
Morocco,MAR,2004,88.5473403930664
Mozambique,MOZ,2003,68.5992279052734
Mozambique,MOZ,2008,81.8053131103516
Mozambique,MOZ,2011,76.9608840942383
Namibia,NAM,2007,93.2578125
Namibia,NAM,2013,93.6626815795898
Nepal,NPL,2007,88.6081466674805
Nepal,NPL,2011,91.89697265625
Niger,NER,2006,37.7731628417969
Niger,NER,2012,50.236141204834
Nigeria,NGA,2003,68.4194259643555
Nigeria,NGA,2007,57.2347755432129
Nigeria,NGA,2008,68.6169586181641
Nigeria,NGA,2011,69.7036209106445
Nigeria,NGA,2013,68.6513824462891
Pakistan,PAK,2007,71.4229202270508
Pakistan,PAK,2012,63.6321296691895
Philippines,PHL,2004,88.2464065551758
Rwanda,RWA,2005,85.6126403808594
Rwanda,RWA,2010,93.318115234375
Sao Tome and Principe,STP,2009,93.3524703979492
Senegal,SEN,2005,58.753490447998
Senegal,SEN,2011,61.7864151000977
Serbia,SRB,2011,98.2668533325195
Sierra Leone,SLE,2008,69.3161468505859
Sierra Leone,SLE,2013,75.7205047607422
Sri Lanka,LKA,2006,97.932014465332
Swaziland,SWZ,2006,91.2505950927734
Swaziland,SWZ,2010,96.6616897583008
Syria,SYR,2006,96.4884185791016
Tajikistan,TJK,2006,88.6982879638672
Tanzania,TZA,2004,81.3586730957031
Tanzania,TZA,2010,80.9036102294922
Timor,TLS,2009,72.0595626831055
Togo,TGO,2006,79.2558135986328
Togo,TGO,2010,88.4091567993164
Turkey,TUR,2004,86.7574996948242
Uganda,UGA,2006,82.127067565918
Uganda,UGA,2011,88.7949676513672
Ukraine,UKR,2007,95.4269943237305
Uzbekistan,UZB,2006,99.9030914306641
Vanuatu,VUT,2007,83.3232879638672
Vietnam,VNM,2011,98.0283432006836
Yemen,YEM,2006,70.4260406494141
Zambia,ZMB,2001,73.5025024414063
Zambia,ZMB,2007,81.6027297973633
Zambia,ZMB,2013,86.9677276611328
Zimbabwe,ZWE,2005,92.0508270263672
Zimbabwe,ZWE,2010,94.0628051757813
