Entity,Code,Year,PIRLS: Mean performance on the reading scale for fourth grade students. Total
Argentina,ARG,2001,419.527452789022
Australia,AUS,2011,527.371969747725
Austria,AUT,2006,538.296163291709
Austria,AUT,2011,528.875615248676
Azerbaijan,AZE,2011,462.303735860492
Belize,BLZ,2001,326.828593089589
Bulgaria,BGR,2001,550.497702409397
Bulgaria,BGR,2006,547.031924743949
Bulgaria,BGR,2011,531.83150171792
Canada,CAN,2011,548.417025868725
Colombia,COL,2001,422.428104494179
Colombia,COL,2011,447.679845632175
Croatia,HRV,2011,553.040117556926
Cyprus,CYP,2001,493.975777019067
Czech Republic,CZE,2001,536.882638480856
Czech Republic,CZE,2011,545.493481720905
Denmark,DNK,2006,546.346154578026
Denmark,DNK,2011,553.993591502832
Finland,FIN,2011,567.870488142849
France,FRA,2001,525.170169047912
France,FRA,2006,521.593460285564
France,FRA,2011,520.000646728176
Georgia,GEO,2006,470.835588770447
Georgia,GEO,2011,487.755719528482
Germany,DEU,2001,539.090060893903
Germany,DEU,2006,547.590780931587
Germany,DEU,2011,541.01168099335
Greece,GRC,2001,524.166732355987
Hong Kong,HKG,2001,527.871148467545
Hong Kong,HKG,2006,563.911337790467
Hong Kong,HKG,2011,570.542610256877
Hungary,HUN,2001,543.226412756836
Hungary,HUN,2006,550.88932028889
Hungary,HUN,2011,539.274931011985
Iceland,ISL,2001,512.416879571559
Iceland,ISL,2006,510.59731054014
Indonesia,IDN,2006,404.737028069153
Indonesia,IDN,2011,428.48277140685
Iran,IRN,2001,413.832827266001
Iran,IRN,2006,420.932779747772
Iran,IRN,2011,457.363546294319
Ireland,IRL,2011,551.604402571521
Israel,ISR,2001,508.939211623004
Israel,ISR,2006,512.462243738802
Israel,ISR,2011,540.920680432437
Italy,ITA,2001,540.728837868367
Italy,ITA,2006,551.468164609823
Italy,ITA,2011,541.324729664703
Kuwait,KWT,2001,396
Kuwait,KWT,2006,330.300317773527
Latvia,LVA,2001,544.606956422693
Latvia,LVA,2006,540.911542965954
Lithuania,LTU,2001,543.386503526261
Lithuania,LTU,2006,537.032506210488
Lithuania,LTU,2011,528.228883879396
Luxembourg,LUX,2006,557.195208990571
Macedonia,MKD,2001,441.586442504247
Macedonia,MKD,2006,442.39548442199
Malta,MLT,2011,476.934034903806
Moldova,MDA,2001,491.742768591799
Moldova,MDA,2006,499.883825939266
Morocco,MAR,2001,349.511270292597
Morocco,MAR,2006,322.580053174944
Morocco,MAR,2011,310.458767001867
Netherlands,NLD,2001,554.208766531001
Netherlands,NLD,2006,547.151704768757
Netherlands,NLD,2011,546.058252613198
New Zealand,NZL,2001,528.823834930746
New Zealand,NZL,2006,531.715111820699
New Zealand,NZL,2011,531.021113385653
Norway,NOR,2001,499.17942936623
Norway,NOR,2006,498.00799409488
Norway,NOR,2011,507.046291337137
Oman,OMN,2011,390.797524789606
Poland,POL,2006,519.389321337073
Poland,POL,2011,525.572620481245
Portugal,PRT,2011,540.836551900711
Qatar,QAT,2006,353.435507283472
Qatar,QAT,2011,424.845236272899
Romania,ROU,2001,511.71013374322
Romania,ROU,2006,489.473121594383
Romania,ROU,2011,501.894167365073
Russia,RUS,2001,527.933471968465
Russia,RUS,2006,564.743571223012
Russia,RUS,2011,568.418500012723
Saudi Arabia,SAU,2011,429.850115473969
Singapore,SGP,2001,527.947997071827
Singapore,SGP,2006,558.27282173545
Singapore,SGP,2011,567.284473950207
Slovakia,SVK,2001,518.087348430531
Slovakia,SVK,2006,530.814646591421
Slovakia,SVK,2011,535.084581803567
Slovenia,SVN,2001,501.51794537369
Slovenia,SVN,2006,521.531399110089
Slovenia,SVN,2011,530.320271803885
South Africa,ZAF,2006,301.612944031717
Spain,ESP,2006,512.503886426683
Spain,ESP,2011,513.060436471948
Sweden,SWE,2001,561.014089047135
Sweden,SWE,2006,549.282424003329
Sweden,SWE,2011,541.674867324988
Trinidad and Tobago,TTO,2006,435.587725457331
Trinidad and Tobago,TTO,2011,470.84995185051
Turkey,TUR,2001,449.354288815397
United Arab Emirates,ARE,2011,438.593309735462
United States,USA,2001,542.148990371767
United States,USA,2006,539.924948661314
United States,USA,2011,556.374553723184
