Entity,Code,Year, (tonnes)
Albania,ALB,1850,0.000431591
Albania,ALB,1860,0.000462546
Albania,ALB,1870,0.000478732
Albania,ALB,1880,0.000479573
Albania,ALB,1890,0.00045079
Albania,ALB,1900,0.000470082
Albania,ALB,1910,0.000450108
Albania,ALB,1920,0.000417001
Albania,ALB,1930,0.000505969
Albania,ALB,1940,0.003474877
Albania,ALB,1950,0.002740982
Albania,ALB,1960,0.012942082
Albania,ALB,1970,0.021844744
Albania,ALB,1980,0.030997403
Albania,ALB,1990,0.028353589
Albania,ALB,2000,0.004389581
Algeria,DZA,1850,0.0001
Algeria,DZA,1860,0.0001
Algeria,DZA,1870,0.0001
Algeria,DZA,1880,0.0001
Algeria,DZA,1890,0.000100002
Algeria,DZA,1900,0.000100039
Algeria,DZA,1910,0.000186245
Algeria,DZA,1920,0.000239619
Algeria,DZA,1930,0.00037817
Algeria,DZA,1940,0.000192754
Algeria,DZA,1950,0.001644545
Algeria,DZA,1960,0.003161866
Algeria,DZA,1970,0.008309782
Algeria,DZA,1980,0.007757017
Algeria,DZA,1990,0.005465757
Algeria,DZA,2000,0.006020337
Angola,AGO,1850,0.000113507
Angola,AGO,1860,0.000113316
Angola,AGO,1870,0.00011921
Angola,AGO,1880,0.000135327
Angola,AGO,1890,0.000153844
Angola,AGO,1900,0.000169925
Angola,AGO,1910,0.000178491
Angola,AGO,1920,0.000181302
Angola,AGO,1930,0.000183771
Angola,AGO,1940,0.000185916
Angola,AGO,1950,0.000252095
Angola,AGO,1960,0.001042454
Angola,AGO,1970,0.001714449
Angola,AGO,1980,0.001710523
Angola,AGO,1990,0.002756758
Angola,AGO,2000,0.00218073
Argentina,ARG,1850,0.000173622
Argentina,ARG,1860,0.000142324
Argentina,ARG,1870,0.000117922
Argentina,ARG,1880,0.000100128
Argentina,ARG,1890,0.002504436
Argentina,ARG,1900,0.002690867
Argentina,ARG,1910,0.007980355
Argentina,ARG,1920,0.003796131
Argentina,ARG,1930,0.006287614
Argentina,ARG,1940,0.005769713
Argentina,ARG,1950,0.00515752
Argentina,ARG,1960,0.005952138
Argentina,ARG,1970,0.006924123
Argentina,ARG,1980,0.005171102
Argentina,ARG,1990,0.00347125
Argentina,ARG,2000,0.003702885
Armenia,ARM,1850,0.000434426
Armenia,ARM,1860,0.0004175
Armenia,ARM,1870,0.000457354
Armenia,ARM,1880,0.000574015
Armenia,ARM,1890,0.000952049
Armenia,ARM,1900,0.001821824
Armenia,ARM,1910,0.001610334
Armenia,ARM,1920,0.000832248
Armenia,ARM,1930,0.00194104
Armenia,ARM,1940,0.003761771
Armenia,ARM,1950,0.003779317
Armenia,ARM,1960,0.009124839
Armenia,ARM,1970,0.017418625
Armenia,ARM,1980,0.026667979
Armenia,ARM,1990,0.023124879
Armenia,ARM,2000,0.004345411
Australia,AUS,1850,0.016253504
Australia,AUS,1860,0.020257603
Australia,AUS,1870,0.017836081
Australia,AUS,1880,0.019878661
Australia,AUS,1890,0.014563631
Australia,AUS,1900,0.032336826
Australia,AUS,1910,0.047296364
Australia,AUS,1920,0.031100472
Australia,AUS,1930,0.042998733
Australia,AUS,1940,0.055650897
Australia,AUS,1950,0.050857329
Australia,AUS,1960,0.082092235
Australia,AUS,1970,0.114016266
Australia,AUS,1980,0.11001039
Australia,AUS,1990,0.093262342
Australia,AUS,2000,0.123862497
Austria,AUT,1850,0.008112777
Austria,AUT,1860,0.016234974
Austria,AUT,1870,0.020559312
Austria,AUT,1880,0.049516298
Austria,AUT,1890,0.043856634
Austria,AUT,1900,0.064991124
Austria,AUT,1910,0.094982098
Austria,AUT,1920,0.019591354
Austria,AUT,1930,0.022883224
Austria,AUT,1940,0.012185742
Austria,AUT,1950,0.029682874
Austria,AUT,1960,0.047497255
Austria,AUT,1970,0.063656409
Austria,AUT,1980,0.050935261
Austria,AUT,1990,0.009678623
Austria,AUT,2000,0.003935182
Azerbaijan,AZE,1850,0.000347379
Azerbaijan,AZE,1860,0.000323351
Azerbaijan,AZE,1870,0.000339848
Azerbaijan,AZE,1880,0.000445295
Azerbaijan,AZE,1890,0.000889217
Azerbaijan,AZE,1900,0.001821605
Azerbaijan,AZE,1910,0.001532325
Azerbaijan,AZE,1920,0.000839364
Azerbaijan,AZE,1930,0.002440023
