Entity,Code,Year,Share of people who agree vaccines are important for children to have (%)
Afghanistan,AFG,2018,97.55130501
Albania,ALB,2018,96.60526854
Algeria,DZA,2018,83.81193234
Argentina,ARG,2018,97.70317207
Armenia,ARM,2018,73.0720456
Australia,AUS,2018,91.96825373
Australia/New Zealand,,2018,91
Austria,AUT,2018,74.59779065
Azerbaijan,AZE,2018,77.36031886
Bangladesh,BGD,2018,98.81794736
Belarus,BLR,2018,61.43409509
Belgium,BEL,2018,88.75936965
Benin,BEN,2018,97.636836
Bolivia,BOL,2018,96.10942464
Bosnia and Herzegovina,BIH,2018,84.86382014
Botswana,BWA,2018,94.1695158
Brazil,BRA,2018,97.41521343
Bulgaria,BGR,2018,71.44014745
Burkina Faso,BFA,2018,94.20956408
Burundi,BDI,2018,98.39638064
Cambodia,KHM,2018,98.9268855
Cameroon,CMR,2018,97.39968236
Canada,CAN,2018,87.49825141
Central Africa,,2018,96
Central America and Mexico,,2018,98
Central Asia,,2018,88
Chad,TCD,2018,93.12590799
Chile,CHL,2018,88.91722899
China,CHN,2018,90.28046099
Colombia,COL,2018,98.87762287
Comoros,COM,2018,98.12308712
Congo,COG,2018,96.17708656
Costa Rica,CRI,2018,97.91496029
Cote d'Ivoire,CIV,2018,96.74763536
Croatia,HRV,2018,77.67208662
Cyprus,CYP,2018,85.23998814
Czech Republic,CZE,2018,81.38594528
Denmark,DNK,2018,92.37400934
Dominican Republic,DOM,2018,99.4468944
East Asia,,2018,88
Eastern Africa,,2018,99
Eastern Europe,,2018,80
Ecuador,ECU,2018,98.1566526
Egypt,EGY,2018,99.41408505
El Salvador,SLV,2018,96.41792479
Estonia,EST,2018,77.49983822
Ethiopia,ETH,2018,99.67081396
Finland,FIN,2018,93.88415206
France,FRA,2018,76.15425916
Gabon,GAB,2018,95.29926592
Gambia,GMB,2018,92.74473434
Georgia,GEO,2018,89.91528431
Germany,DEU,2018,88.76598762
Ghana,GHA,2018,95.39723777
Greece,GRC,2018,94.14578654
Guatemala,GTM,2018,97.91416321
Guinea,GIN,2018,91.28956166
Haiti,HTI,2018,97.9966925
Honduras,HND,2018,98.89187268
Hungary,HUN,2018,90.43864089
Iceland,ISL,2018,98.47210776
India,IND,2018,97.56002443
Indonesia,IDN,2018,92.82274625
Iran,IRN,2018,93.89081137
Iraq,IRQ,2018,96.17976188
Ireland,IRL,2018,90.76895159
Israel,ISR,2018,89.80407838
Italy,ITA,2018,83.82051173
Japan,JPN,2018,66.4583469
Jordan,JOR,2018,98.25293901
Kazakhstan,KAZ,2018,75.85336513
Kenya,KEN,2018,97.51961397
Kosovo,OWID_KOS,2018,96.26397846
Kuwait,KWT,2018,94.11052383
Kyrgyzstan,KGZ,2018,88.6996586
Laos,LAO,2018,98.43094219
Latvia,LVA,2018,73.22544526
Lebanon,LBN,2018,96.90015876
Liberia,LBR,2018,97.46126715
Libya,LBY,2018,86.81511307
Lithuania,LTU,2018,68.97353106
Luxembourg,LUX,2018,88.74889694
Macedonia,MKD,2018,80.6383369
Madagascar,MDG,2018,97.22270523
Malawi,MWI,2018,97.62437146
Malaysia,MYS,2018,93.39694904
Mali,MLI,2018,94.31488841
Malta,MLT,2018,94.33868958
Mauritania,MRT,2018,90.54428792
Mauritius,MUS,2018,95.70872582
Mexico,MEX,2018,98.15518788
Middle East,,2018,95
Moldova,MDA,2018,65.59667679
Mongolia,MNG,2018,93.17876539
Montenegro,MNE,2018,68.04478747
Morocco,MAR,2018,94.78751829
Mozambique,MOZ,2018,97.17655254
Myanmar,MMR,2018,97.96921356
Namibia,NAM,2018,94.24239902
Nepal,NPL,2018,98.24326382
Netherlands,NLD,2018,90.18115883
New Zealand,NZL,2018,87.07706163
Nicaragua,NIC,2018,99.44766517
