Entity,Code,Year,"Stillbirth rate (per 1,000 total births) (per 1,000 total births)"
England and Wales,,1927,38.3
England and Wales,,1928,40.1
England and Wales,,1929,40
England and Wales,,1930,40.8
England and Wales,,1931,40.9
England and Wales,,1932,41.3
England and Wales,,1933,41.4
England and Wales,,1934,40.5
England and Wales,,1935,40.7
England and Wales,,1936,39.7
England and Wales,,1937,39
England and Wales,,1938,38.3
England and Wales,,1939,38.1
England and Wales,,1940,37.2
England and Wales,,1941,34.8
England and Wales,,1942,33.2
England and Wales,,1943,30.1
England and Wales,,1944,27.6
England and Wales,,1945,27.6
England and Wales,,1946,27.2
England and Wales,,1947,24.1
England and Wales,,1948,23.2
England and Wales,,1949,22.7
England and Wales,,1950,22.6
England and Wales,,1951,23
England and Wales,,1952,22.7
England and Wales,,1953,22.4
England and Wales,,1954,23.5
England and Wales,,1955,23.2
England and Wales,,1956,22.9
England and Wales,,1957,22.5
England and Wales,,1958,21.5
England and Wales,,1959,20.8
England and Wales,,1960,19.8
England and Wales,,1961,19
England and Wales,,1962,18.1
England and Wales,,1963,17.2
England and Wales,,1964,16.3
England and Wales,,1965,15.8
England and Wales,,1966,15.3
England and Wales,,1967,14.8
England and Wales,,1968,14.3
England and Wales,,1969,13.2
England and Wales,,1970,13
England and Wales,,1971,12.5
England and Wales,,1972,12
England and Wales,,1973,11.6
England and Wales,,1974,11.1
England and Wales,,1975,10.3
England and Wales,,1976,9.7
England and Wales,,1977,9.4
England and Wales,,1978,8.5
England and Wales,,1979,8
England and Wales,,1980,7.2
England and Wales,,1981,6.6
England and Wales,,1982,6.3
England and Wales,,1983,5.7
England and Wales,,1984,5.7
England and Wales,,1985,5.5
England and Wales,,1986,5.3
England and Wales,,1987,5
England and Wales,,1988,4.9
England and Wales,,1989,4.7
England and Wales,,1990,4.6
England and Wales,,1991,4.6
England and Wales,,1992,4.3
England and Wales,,1993,5.7
England and Wales,,1994,5.7
England and Wales,,1995,5.5
England and Wales,,1996,5.4
England and Wales,,1997,5.3
England and Wales,,1998,5.3
England and Wales,,1999,5.3
England and Wales,,2000,5.3
England and Wales,,2001,5.3
England and Wales,,2002,5.6
England and Wales,,2003,5.8
England and Wales,,2004,5.7
England and Wales,,2005,5.4
England and Wales,,2006,5.4
England and Wales,,2007,5.2
England and Wales,,2008,5.1
England and Wales,,2009,5.2
England and Wales,,2010,5.1
England and Wales,,2011,5.2
England and Wales,,2012,4.9
England and Wales,,2013,4.7
England and Wales,,2014,4.7
England and Wales,,2015,4.5
England and Wales,,2016,4.4
England and Wales,,2017,4.2
