Entity,Code,Year,p90 of income/consumption distribution ((international-$ per day)),p10 of income/consumption distribution ((international-$ per day))
Bangladesh (cons),,1986,5.1181459,1.5733454
Bangladesh (cons),,1989,4.6267133,1.3072194
Bangladesh (cons),,1992,4.0945749,1.1816189
Bangladesh (cons),,1996,5.4778934,1.3346202
Bangladesh (cons),,2000,5.6355076,1.3692659
Bangladesh (cons),,2005,6.3066387,1.5650234
Bangladesh (cons),,2010,6.6199021,1.6750336
Bangladesh (cons),,2016,7.2435575,1.7771255
Belarus (cons),,1998,8.011548,1.7802706
Belarus (cons),,1999,8.3373432,1.808375
Belarus (cons),,2000,9.2546492,2.0743413
Belarus (cons),,2001,11.476881,2.6912823
Belarus (cons),,2002,12.615997,3.0237761
Belarus (cons),,2003,12.592119,3.1961915
Belarus (cons),,2004,13.679207,3.9182665
Belarus (cons),,2005,17.024895,4.6015882
Belarus (cons),,2006,19.985538,5.294683
Belarus (cons),,2007,23.62792,5.9466343
Belarus (cons),,2008,23.817682,6.4374089
Belarus (cons),,2009,24.214952,6.5299459
Belarus (cons),,2010,27.498844,7.2693172
Belarus (cons),,2011,27.468513,7.6463771
Belarus (cons),,2012,30.717323,8.9126329
Belarus (cons),,2013,34.475082,9.9571877
Belarus (cons),,2014,36.371979,10.262863
Belarus (cons),,2015,34.133675,9.8330564
Belarus (cons),,2016,33.46899,9.6263752
Belarus (inc),,1993,10.844536,3.9839125
Belarus (inc),,1995,17.687662,4.4330821
Belgium (inc),,2003,73.231606,18.00577
Belgium (inc),,2004,84.459557,19.916599
Belgium (inc),,2005,82.090332,19.990812
Belgium (inc),,2006,77.921745,19.746078
Belgium (inc),,2007,82.401451,20.125483
Belgium (inc),,2008,81.887665,20.642397
Belgium (inc),,2009,82.707222,19.851456
Belgium (inc),,2010,82.153923,20.004183
Belgium (inc),,2011,79.345482,19.613958
Belgium (inc),,2012,80.742165,20.423208
Belgium (inc),,2013,80.34623,20.18107
Belgium (inc),,2014,82.580177,20.926567
Belgium (inc),,2015,83.119362,21.278337
Belize (cons),,1995,31.094368,1.6320138
Belize (inc),,1993,25.463385,1.4760414
Belize (inc),,1994,24.715431,1.6398767
Belize (inc),,1996,19.830763,1.3416203
Belize (inc),,1997,20.572292,0.92841846
Belize (inc),,1998,18.50724,1.2848582
Belize (inc),,1999,18.445349,1.1781603
Benin (cons),,2003,5.2049479,0.96326399
Benin (cons),,2011,5.686789,0.89027685
Benin (cons),,2015,5.8711762,0.41222304
Bhutan (cons),,2003,9.981122,1.7931418
Bhutan (cons),,2007,11.589254,2.1172085
Bhutan (cons),,2012,16.182165,2.9140539
Bhutan (cons),,2017,16.819262,3.1568823
Bolivia (Urban) (inc),,1992,14.185541,1.5019261
Bolivia (inc),,1991,15.546603,2.3943627
Bolivia (inc),,1997,21.156244,0.74447238
Bolivia (inc),,1999,18.327711,0.37589946
Bolivia (inc),,2000,17.387613,0.32649219
Bolivia (inc),,2001,17.868824,0.61952442
Bolivia (inc),,2002,17.986271,0.51198381
Bolivia (inc),,2004,20.530445,1.2900451
Bolivia (inc),,2005,21.936544,0.80069005
Bolivia (inc),,2006,23.227612,0.97337747
Bolivia (inc),,2007,22.949556,1.2595193
Bolivia (inc),,2008,23.559851,1.4685627
Bolivia (inc),,2009,24.581406,1.4750036
Bolivia (inc),,2011,26.13665,2.1055641
Bolivia (inc),,2012,26.734276,1.8151617
Bolivia (inc),,2013,29.975876,2.1708281
Bolivia (inc),,2014,30.389095,2.3886132
Bolivia (inc),,2015,28.935743,2.3026955
Bolivia (inc),,2016,27.010675,2.167295
Bosnia and Herzegovina (cons),,2001,22.126915,5.515276
Bosnia and Herzegovina (cons),,2004,34.550201,7.0762639
Bosnia and Herzegovina (cons),,2007,36.704189,7.8625464
Bosnia and Herzegovina (cons),,2011,34.975834,7.3421125
Bosnia and Herzegovina (cons),,2015,33.822189,7.2919369
Botswana (cons),,1986,9.0076656,0.83393061
Botswana (cons),,1993,13.016498,1.0122188
Botswana (cons),,2003,18.787209,1.0580156
Botswana (cons),,2009,21.705797,1.5130283
Brazil (inc),,1981,18.337416,1.0574049
Brazil (inc),,1982,18.684425,1.0765632
Brazil (inc),,1983,15.813511,0.90970838
Brazil (inc),,1984,15.709132,0.95126808
Brazil (inc),,1985,16.377022,1.0549783
Brazil (inc),,1986,29.660147,1.7427775
Brazil (inc),,1987,23.325695,1.1990635
Brazil (inc),,1988,23.026379,1.0393065
Brazil (inc),,1989,26.767298,1.1413801
Brazil (inc),,1990,20.954065,1.1019158
Brazil (inc),,1992,16.145802,0.9380011
Brazil (inc),,1993,20.999422,1.0135348
Brazil (inc),,1995,28.113148,1.4795574
Brazil (inc),,1996,28.257872,1.313448
Brazil (inc),,1997,27.932775,1.3502983
Brazil (inc),,1998,28.797176,1.4975482
Brazil (inc),,1999,26.97835,1.4537641
Brazil (inc),,2001,30.164509,1.6284519
Brazil (inc),,2002,30.630169,1.8016708
Brazil (inc),,2003,29.071371,1.6960858
Brazil (inc),,2004,29.141211,1.8618209
Brazil (inc),,2005,30.621107,1.9921901
Brazil (inc),,2006,32.832878,2.1983972
Brazil (inc),,2007,33.829639,2.2132342
Brazil (inc),,2008,35.537697,2.5012643
Brazil (inc),,2009,36.55373,2.5984364
Brazil (inc),,2011,39.264526,2.8210526
Brazil (inc),,2012,42.400261,3.2224455
Brazil (inc),,2013,44.757496,3.2685657
Brazil (inc),,2014,44.989708,3.7283461
Brazil (inc),,2015,42.48645,3.4268472
Bulgaria (cons),,1989,37.442158,12.80433
Bulgaria (cons),,1994,22.2276,7.1690874
Bulgaria (cons),,1995,23.341703,4.8752341
Bulgaria (cons),,1997,12.124654,3.8204634
Bulgaria (cons),,2001,17.998039,3.4029951
Bulgaria (cons),,2003,16.398771,4.0541172
Bulgaria (cons),,2007,21.031515,5.1556625
Bulgaria (inc),,1992,35.910511,8.7190866
Bulgaria (inc),,2006,19.393269,2.4065557
Bulgaria (inc),,2007,28.149725,4.4296064
Bulgaria (inc),,2008,29.651054,5.2555242
Bulgaria (inc),,2009,30.96133,5.3893323
Bulgaria (inc),,2010,30.360931,4.6813254
Bulgaria (inc),,2011,27.658865,4.2681818
Bulgaria (inc),,2012,29.827311,4.3587046
Bulgaria (inc),,2013,33.421402,4.4309273
Bulgaria (inc),,2014,36.381435,5.0997481
Burkina Faso (cons),,1994,2.9429502,0.40892911
Burkina Faso (cons),,1998,3.6245205,0.44533482
Burkina Faso (cons),,2003,4.9160447,0.72754896
Burkina Faso (cons),,2009,4.8649535,0.85525095
Burkina Faso (cons),,2014,5.4282494,1.2419543
Burundi (cons),,1992,2.630197,0.60638791
Burundi (cons),,1999,2.6570241,0.31497306
Burundi (cons),,2006,3.0086174,0.77220947
Burundi (cons),,2014,3.5974295,0.64709616
Cameroon (cons),,1996,6.5195293,1.010088
Cameroon (cons),,2001,8.9880009,1.4344833
Cameroon (cons),,2007,8.4314623,1.3416802
Cameroon (cons),,2014,11.199869,1.2872379
Canada (inc),,1981,74.652298,14.554389
Canada (inc),,1987,76.068169,15.967155
