Entity,Code,Year,p90 of income/consumption distribution ((international-$ per day)),p10 of income/consumption distribution ((international-$ per day))
Georgia (cons),,2011,11.772318,1.6476395
Georgia (cons),,2012,12.469052,1.9336996
Georgia (cons),,2013,13.525171,2.1860783
Georgia (cons),,2014,14.041293,2.39031
Georgia (cons),,2015,14.03638,2.5537865
Georgia (cons),,2016,14.169555,2.5480509
Germany (inc),,1991,79.0326,20.944456
Germany (inc),,1994,79.413528,19.547972
Germany (inc),,2000,86.106033,22.190861
Germany (inc),,2001,89.000679,21.870016
Germany (inc),,2004,90.719078,21.793604
Germany (inc),,2006,93.163361,21.962954
Germany (inc),,2007,95.104767,22.415272
Germany (inc),,2010,92.631866,22.489574
Germany (inc),,2011,93.725052,22.852135
Germany (inc),,2013,94.50235,21.955961
Germany (inc),,2015,97.241203,21.234381
Ghana (cons),,1988,4.9637384,0.96415269
Ghana (cons),,1989,5.1698737,1.004758
Ghana (cons),,1992,4.961978,0.86587816
Ghana (cons),,1998,6.4881086,0.99314171
Ghana (cons),,2006,9.0140467,1.1581999
Ghana (cons),,2013,12.68015,1.7295448
Greece (inc),,2003,56.655415,11.388726
Greece (inc),,2004,60.842125,11.600696
Greece (inc),,2005,62.552116,11.579362
Greece (inc),,2006,63.613617,11.232444
Greece (inc),,2007,64.567566,12.025709
Greece (inc),,2008,65.647461,12.415375
Greece (inc),,2009,66.621666,12.284108
Greece (inc),,2010,57.311127,10.126534
Greece (inc),,2011,47.539009,7.2748713
Greece (inc),,2012,42.087967,6.0513191
Greece (inc),,2013,40.056721,5.9813585
Greece (inc),,2014,39.685993,5.8350248
Greece (inc),,2015,40.398903,5.8792048
Guatemala (inc),,1987,8.3832388,0.56196344
Guatemala (inc),,1989,12.464249,0.59543145
Guatemala (inc),,2000,24.144514,1.8984985
Guatemala (inc),,2006,24.59338,1.7969475
Guatemala (inc),,2014,18.563026,2.0231636
Guinea (cons),,1991,1.5923151,0.10754523
Guinea (cons),,1994,6.1785035,0.82292992
Guinea (cons),,2002,4.4724102,0.66300511
Guinea (cons),,2007,4.3029394,0.71048778
Guinea (cons),,2012,5.3477573,1.1219748
Guinea-Bissau (cons),,1993,4.3147326,0.62229657
Guinea-Bissau (cons),,2002,4.3634071,0.86407083
Guinea-Bissau (cons),,2010,5.066081,0.52705306
Guyana (inc),,1998,13.943278,1.4723041
Haiti (cons),,2012,8.7501335,1.2481133
Haiti (inc),,2001,7.3606892,0.3326644
Haiti (inc),,2012,8.1156445,0.3204954
Honduras (Urban) (inc),,1986,7.2328272,0.58695167
Honduras (inc),,1989,10.473436,0.72477353
Honduras (inc),,1990,9.2210369,0.63088143
Honduras (inc),,1991,10.043285,0.83696866
Honduras (inc),,1992,11.19301,0.98740029
Honduras (inc),,1993,13.499075,1.0665331
Honduras (inc),,1994,13.69498,0.91917038
Honduras (inc),,1995,13.436284,0.94016993
Honduras (inc),,1996,12.376044,0.78587759
Honduras (inc),,1997,14.788113,1.2110249
Honduras (inc),,1998,15.557152,0.57917351
Honduras (inc),,1999,14.26408,0.57476884
Honduras (inc),,2001,18.904158,1.0972295
Honduras (inc),,2002,16.454802,0.93963772
Honduras (inc),,2003,15.635998,0.77925026
Honduras (inc),,2004,16.150541,0.79552335
Honduras (inc),,2005,17.687645,0.67840111
Honduras (inc),,2006,19.15707,0.82597399
Honduras (inc),,2007,20.671335,1.3161224
Honduras (inc),,2008,21.341854,1.2816619
Honduras (inc),,2009,20.388226,1.5704931
Honduras (inc),,2010,20.486191,1.4972183
Honduras (inc),,2011,20.553234,1.1908286
Honduras (inc),,2012,18.339373,1.1076947
Honduras (inc),,2013,17.564754,1.2728987
Honduras (inc),,2014,17.075794,1.4696476
Honduras (inc),,2015,16.506168,1.434002
Honduras (inc),,2016,17.774706,1.2792379
Hungary (cons),,1998,20.613867,6.0380783
Hungary (cons),,1999,21.616745,6.0861869
Hungary (cons),,2000,21.740681,6.1973162
Hungary (cons),,2001,24.377586,6.9125261
Hungary (cons),,2002,24.95277,7.2809968
Hungary (cons),,2003,29.54493,6.9631648
Hungary (cons),,2004,30.37838,7.5176311
Hungary (cons),,2005,30.825367,7.5641847
Hungary (cons),,2006,29.968069,7.7056165
Hungary (cons),,2007,32.161041,7.562706
Hungary (inc),,1987,32.012054,12.090135
Hungary (inc),,1989,16.520061,5.4642038
Hungary (inc),,1993,27.350134,7.7159905
Hungary (inc),,2004,32.819458,7.8371024
Hungary (inc),,2005,39.058586,7.0688343
Hungary (inc),,2006,34.100342,8.6195469
Hungary (inc),,2007,32.869152,8.570116
Hungary (inc),,2008,33.374989,8.8420458
Hungary (inc),,2009,31.304104,8.4817009
Hungary (inc),,2010,33.94672,8.0722685
Hungary (inc),,2011,34.375168,7.9947052
Hungary (inc),,2012,33.098862,7.1049314
Hungary (inc),,2013,34.658943,7.3110514
Hungary (inc),,2014,36.118862,7.7050986
Hungary (inc),,2015,37.680801,8.363018
Iceland (inc),,2003,78.007126,21.430939
Iceland (inc),,2004,81.892441,22.011021
Iceland (inc),,2005,86.662483,22.517416
Iceland (inc),,2006,101.52508,24.902416
Iceland (inc),,2007,105.85323,27.257996
Iceland (inc),,2008,115.50333,27.470371
Iceland (inc),,2009,91.038971,23.58326
Iceland (inc),,2010,76.985146,21.815292
Iceland (inc),,2011,77.219894,21.113115
Iceland (inc),,2012,78.654503,21.882202
Iceland (inc),,2013,78.799881,23.972786
Iceland (inc),,2014,87.845779,23.893169
India (Rural) (cons),,1983,3.5803609,0.93900335
India (Rural) (cons),,1988,4.0203772,1.0682197
India (Rural) (cons),,1994,3.9629087,1.1167972
India (Rural) (cons),,2005,4.6690269,1.2503389
India (Rural) (cons),,2010,4.9448748,1.3347681
India (Rural) (cons),,2012,5.8971872,1.531461
India (Urban) (cons),,1983,5.3879476,1.2827839
India (Urban) (cons),,1988,5.9421101,1.3190225
India (Urban) (cons),,1994,6.1397138,1.3734516
India (Urban) (cons),,2005,7.4035606,1.4722738
India (Urban) (cons),,2010,8.6651363,1.6171649
India (Urban) (cons),,2012,9.8030653,1.8434634
India (cons),,2012,7.2580032,1.6415151
Indonesia (Rural) (cons),,1984,2.6507866,0.71502364
Indonesia (Rural) (cons),,1987,2.7359469,0.80765194
Indonesia (Rural) (cons),,1990,3.1104109,0.9711923
Indonesia (Rural) (cons),,1993,3.039475,0.95362598
Indonesia (Rural) (cons),,1996,3.6163292,1.0643724
Indonesia (Rural) (cons),,1998,2.6793473,0.8264159
Indonesia (Rural) (cons),,1999,3.6215963,1.1740929
Indonesia (Rural) (cons),,2000,3.6732831,1.2318165
Indonesia (Rural) (cons),,2001,3.7844546,1.2895412
Indonesia (Rural) (cons),,2002,4.5595016,1.4848061
Indonesia (Rural) (cons),,2003,4.5377092,1.4799654
Indonesia (Rural) (cons),,2004,4.5118256,1.3864464
Indonesia (Rural) (cons),,2005,5.0003409,1.4432937
Indonesia (Rural) (cons),,2006,4.7028227,1.2684418
Indonesia (Rural) (cons),,2007,5.3408732,1.440207
Indonesia (Rural) (cons),,2008,5.5277262,1.4925636
Indonesia (Rural) (cons),,2009,5.7423673,1.5785094
Indonesia (Rural) (cons),,2010,6.5235744,1.6837318
Indonesia (Rural) (cons),,2011,7.5728803,1.7916703
Indonesia (Rural) (cons),,2012,7.548358,1.8787131
Indonesia (Rural) (cons),,2013,7.7648387,1.9895838
Indonesia (Rural) (cons),,2014,8.1561813,2.0777509
Indonesia (Rural) (cons),,2015,9.083292,2.1321061
Indonesia (Rural) (cons),,2016,9.168169,2.1712532
Indonesia (Rural) (cons),,2017,9.4300747,2.261564
Indonesia (Urban) (cons),,1984,4.4492888,1.0087166
Indonesia (Urban) (cons),,1987,4.100287,0.97447312
Indonesia (Urban) (cons),,1990,5.3033528,1.2059442
Indonesia (Urban) (cons),,1993,5.4896107,1.1943618
Indonesia (Urban) (cons),,1996,6.7262754,1.3396381
Indonesia (Urban) (cons),,1998,4.4462147,1.0073456
Indonesia (Urban) (cons),,1999,6.1984491,1.3785818
Indonesia (Urban) (cons),,2000,5.517436,1.3834524
Indonesia (Urban) (cons),,2001,5.9530449,1.4976611
Indonesia (Urban) (cons),,2002,7.8867021,1.8677663
Indonesia (Urban) (cons),,2003,7.8947158,1.8121678
Indonesia (Urban) (cons),,2004,7.9327202,1.7861372
Indonesia (Urban) (cons),,2005,8.2193394,1.8538809
Indonesia (Urban) (cons),,2006,7.8247294,1.6543894
Indonesia (Urban) (cons),,2007,8.8858681,1.7836984
Indonesia (Urban) (cons),,2008,8.808588,1.7980902
Indonesia (Urban) (cons),,2009,9.1320143,1.8346425
Indonesia (Urban) (cons),,2010,10.049177,1.9491742
Indonesia (Urban) (cons),,2011,11.861677,2.0281425
Indonesia (Urban) (cons),,2012,12.283761,2.0896156
Indonesia (Urban) (cons),,2013,13.036695,2.1932149
Indonesia (Urban) (cons),,2014,13.187476,2.2358255
Indonesia (Urban) (cons),,2015,13.720659,2.249763
Indonesia (Urban) (cons),,2016,13.84728,2.3412287
Indonesia (Urban) (cons),,2017,14.269434,2.4046493
Indonesia (cons),,2013,10.760342,2.12906
Iran (cons),,1986,20.707804,2.4423575
Iran (cons),,1990,18.509924,2.5207157
Iran (cons),,1994,20.027475,2.9258981
Iran (cons),,1998,22.741142,3.103544
Iran (cons),,2005,36.415157,4.8914857
Iran (cons),,2006,37.717869,4.8793187
Iran (cons),,2009,35.139042,4.7232685
Iran (cons),,2013,32.338146,5.9110451
Iran (cons),,2014,32.269329,5.294035
Iraq (cons),,2007,9.7517443,2.6992321
Iraq (cons),,2012,10.343718,2.6967423
Ireland (inc),,2003,79.910568,17.123693
Ireland (inc),,2004,84.164642,17.494907
Ireland (inc),,2005,88.918785,19.07515
Ireland (inc),,2006,92.379997,20.179968
Ireland (inc),,2007,91.498253,21.040422
Ireland (inc),,2008,82.895844,19.243185
Ireland (inc),,2009,83.2854,17.439236
Ireland (inc),,2010,78.9897,16.297329
Ireland (inc),,2011,77.819,15.625467
Ireland (inc),,2012,79.103676,16.486855
Ireland (inc),,2013,79.163383,15.75808
Ireland (inc),,2014,81.064308,18.025438
Ireland (inc),,2015,84.489761,18.687359
Israel (inc),,1986,36.664124,6.6295238
Israel (inc),,1992,43.340176,8.4401865
Israel (inc),,1997,46.236591,7.7899776
Israel (inc),,2001,53.094109,8.6517506
Israel (inc),,2005,54.135494,6.8352175
Israel (inc),,2007,57.91708,7.5444908
Israel (inc),,2010,62.332287,7.623734
Israel (inc),,2012,63.875252,7.676198
Italy (inc),,2003,78.29525,13.083754
Italy (inc),,2004,79.977463,13.993812
Italy (inc),,2005,77.440239,13.536892
Italy (inc),,2006,79.182861,14.334356
Italy (inc),,2007,78.539192,14.618438
Italy (inc),,2008,78.606224,13.875721
Italy (inc),,2009,79.077499,13.542248
Italy (inc),,2010,78.770615,12.07434
Italy (inc),,2011,77.974792,12.142208
Italy (inc),,2012,74.479721,11.175534
Italy (inc),,2013,72.948326,10.817035
Italy (inc),,2014,72.052864,10.81673
Italy (inc),,2015,74.18782,9.9868803
Jamaica (cons),,1988,17.070774,2.3982077
Jamaica (cons),,1990,15.61652,2.5248172
Jamaica (cons),,1993,10.275638,1.9348512
Jamaica (cons),,1996,17.014765,2.7663488
Jamaica (cons),,1999,23.487381,3.1342342
Jamaica (cons),,2002,26.324905,3.0894701
Jamaica (cons),,2004,25.688129,3.4168794
Japan (inc),,2008,71.75058,14.108603
Jordan (cons),,1987,21.635189,4.5330553
Jordan (cons),,1992,18.669966,2.9853954
Jordan (cons),,1997,15.215833,3.2051444
Jordan (cons),,2003,17.800003,3.490263
Jordan (cons),,2006,18.766911,4.1727538
Jordan (cons),,2008,18.173557,4.3510633
Jordan (cons),,2010,20.711157,4.7440052
Kazakhstan (cons),,1996,11.400738,2.1518071
Kazakhstan (cons),,2001,10.130532,1.8623359
Kazakhstan (cons),,2002,10.646116,2.1603813
Kazakhstan (cons),,2003,11.231144,2.3952904
Kazakhstan (cons),,2004,11.731324,2.769495
Kazakhstan (cons),,2005,13.969205,2.2138038
Kazakhstan (cons),,2006,14.266188,3.637419
Kazakhstan (cons),,2007,16.441673,4.2836752
Kazakhstan (cons),,2008,15.987612,4.4860082
Kazakhstan (cons),,2009,15.588659,4.3739386
Kazakhstan (cons),,2010,16.603249,4.7497473
Kazakhstan (cons),,2011,19.6479,5.6830702
Kazakhstan (cons),,2012,20.004997,5.7943511
Kazakhstan (cons),,2013,20.777681,6.2806668
Kazakhstan (cons),,2014,20.339621,6.147357
Kazakhstan (cons),,2015,19.464998,5.9474034
Kazakhstan (inc),,1993,10.402144,2.2731118
Kenya (cons),,1992,12.439445,1.0035285
Kenya (cons),,1994,7.6081481,0.95635056
Kenya (cons),,1997,8.4421625,1.2131929
Kenya (cons),,2005,6.9239926,0.81686878
Kenya (cons),,2016,6.6846752,1.0655606
Kiribati (cons),,2006,9.973772,1.7242963
Kosovo (cons),,2003,10.53908,2.8720164
Kosovo (cons),,2005,11.096725,2.6368206
Kosovo (cons),,2006,10.865043,2.7105544
Kosovo (cons),,2009,12.686416,2.8968568
Kosovo (cons),,2010,13.360692,2.9967299
Kosovo (cons),,2011,11.918659,3.2377214
Kosovo (cons),,2012,14.685374,3.805722
Kosovo (cons),,2013,14.284382,4.2298594
Kosovo (cons),,2014,14.280685,3.9095268
Kosovo (cons),,2015,14.637775,4.2897615
Kosovo (cons),,2016,14.861753,4.2205844
Kyrgyzstan (cons),,1998,8.9860268,0.90011269
Kyrgyzstan (cons),,2000,4.6211519,1.1667341
Kyrgyzstan (cons),,2001,4.7909865,1.2487296
Kyrgyzstan (cons),,2002,4.9219069,1.2552229
Kyrgyzstan (cons),,2003,5.0938897,1.4112687
Kyrgyzstan (cons),,2004,8.2396402,1.7828519
Kyrgyzstan (cons),,2005,7.2230482,1.7276671
Kyrgyzstan (cons),,2006,10.041302,2.0102036
Kyrgyzstan (cons),,2007,9.0709257,1.9525675
Kyrgyzstan (cons),,2008,9.9496412,2.3930237
Kyrgyzstan (cons),,2009,9.9966259,2.6801584
Kyrgyzstan (cons),,2010,9.5356388,2.3317072
Kyrgyzstan (cons),,2011,9.2764883,2.7016943
Kyrgyzstan (cons),,2012,8.8882399,2.5194664
Kyrgyzstan (cons),,2013,8.9119978,2.4685135
Kyrgyzstan (cons),,2014,9.1035519,2.7829511
Kyrgyzstan (cons),,2015,9.3453903,2.5785253
Kyrgyzstan (cons),,2016,9.1310987,2.7850876
Laos (cons),,1992,6.00068,1.3693358
Laos (cons),,1997,4.6506753,1.0134337
Laos (cons),,2002,5.5237484,1.3377283
Laos (cons),,2007,6.5712667,1.4108425
Laos (cons),,2012,7.3417268,1.5052812
Latvia (cons),,1997,18.036909,3.6420264
Latvia (cons),,1998,17.23386,3.4798741
Latvia (cons),,2002,23.821249,4.5607905
Latvia (cons),,2003,27.638145,4.982204
Latvia (cons),,2004,26.895857,5.1187773
Latvia (cons),,2007,38.331238,7.0670223
Latvia (cons),,2008,38.157181,7.1144247
Latvia (cons),,2009,30.648497,5.8983002
Latvia (inc),,1993,13.587938,4.1459141
Latvia (inc),,1995,17.272959,3.8735063
Latvia (inc),,1996,16.963005,3.5029225
Latvia (inc),,2004,24.515608,3.7627847
Latvia (inc),,2005,28.754192,4.0038204
Latvia (inc),,2006,32.322449,5.506474
Latvia (inc),,2007,43.195347,7.0888252
Latvia (inc),,2008,41.645836,6.3290281
Latvia (inc),,2009,33.767044,4.8759136
Latvia (inc),,2010,31.51755,4.8448868
Latvia (inc),,2011,32.868156,5.3282766
Latvia (inc),,2012,33.298679,5.5751247
Latvia (inc),,2013,37.019184,6.0583925
Latvia (inc),,2014,40.45216,6.641315
Latvia (inc),,2015,43.064205,7.7650452
Lebanon (cons),,2012,41.285362,9.1007156
Lesotho (cons),,1987,7.8199844,0.54776508
Lesotho (cons),,1994,9.8481226,0.33161667
Lesotho (cons),,2003,4.9683032,0.33179903
Lesotho (cons),,2010,5.5108805,0.34477779
Liberia (cons),,2007,3.4487922,0.5697332
Liberia (cons),,2014,5.007628,1.0962259
Lithuania (cons),,1996,18.444323,4.083993
Lithuania (cons),,1998,19.474188,4.3242273
Lithuania (cons),,1999,19.249573,4.2352681
Lithuania (cons),,2000,17.921459,4.0324025
Lithuania (cons),,2001,17.90781,3.9502087
Lithuania (cons),,2002,17.885841,3.987421
Lithuania (cons),,2003,26.121658,5.1840501
Lithuania (cons),,2004,26.818733,5.219872
Lithuania (cons),,2008,35.567089,6.481205
Lithuania (inc),,1993,9.8253908,2.2181935
Lithuania (inc),,2004,23.545549,3.3673842
Lithuania (inc),,2005,26.929182,4.2485929
Lithuania (inc),,2006,33.302879,5.6147666
Lithuania (inc),,2007,39.519581,6.7111683
Lithuania (inc),,2008,42.978504,6.9280314
Lithuania (inc),,2009,35.605324,4.8051863
Lithuania (inc),,2010,30.300125,5.1464214
Lithuania (inc),,2011,32.967533,6.3910913
Lithuania (inc),,2012,37.186527,6.306953
Lithuania (inc),,2013,39.039974,6.7970834
Lithuania (inc),,2014,44.001118,6.4470024
Lithuania (inc),,2015,48.204807,7.2701197
Luxembourg (inc),,2003,120.5307,28.77323
Luxembourg (inc),,2004,123.87403,29.847868
Luxembourg (inc),,2005,129.95766,30.319113
Luxembourg (inc),,2006,128.35345,30.493061
Luxembourg (inc),,2007,132.12888,31.046484
Luxembourg (inc),,2008,133.64059,29.426172
Luxembourg (inc),,2009,128.75017,30.538767
Luxembourg (inc),,2010,125.05596,30.186378
Luxembourg (inc),,2011,125.56547,28.800714
Luxembourg (inc),,2012,132.50728,27.607895
Luxembourg (inc),,2013,125.90414,28.106802
Luxembourg (inc),,2014,127.16422,29.051363
Luxembourg (inc),,2015,126.71272,25.207962
Macedonia (cons),,1998,13.162919,3.3118315
Macedonia (cons),,2000,12.664579,2.379343
Macedonia (cons),,2002,22.311398,3.6535425
Macedonia (cons),,2003,21.928947,3.5964689
Macedonia (cons),,2004,27.229746,4.4616585
Macedonia (cons),,2005,23.433346,3.6264932
Macedonia (cons),,2006,25.339172,3.2910147
Macedonia (cons),,2008,35.28014,4.449028
Macedonia (inc),,2009,18.950193,1.6351416
Macedonia (inc),,2010,17.84984,1.1943705
Macedonia (inc),,2011,18.254705,1.4038202
Macedonia (inc),,2012,18.287802,1.9256066
Macedonia (inc),,2013,17.855001,2.1981249
Macedonia (inc),,2014,18.847048,2.4909909
Madagascar (cons),,1993,4.3143182,0.55538189
Madagascar (cons),,1997,3.8086011,0.60195214
Madagascar (cons),,1999,3.7488947,0.63663387
Madagascar (cons),,2001,4.1634135,0.51279676
Madagascar (cons),,2005,3.7121537,0.64140058
Madagascar (cons),,2010,3.3021121,0.50899732
Madagascar (cons),,2012,3.2028775,0.45442894
Malawi (cons),,1998,8.2441759,0.84003967
Malawi (cons),,2004,3.6959801,0.67457658
Malawi (cons),,2010,4.0076199,0.55994123
Malaysia (inc),,1984,27.107565,3.1850739
Malaysia (inc),,1987,25.672047,3.2801788
Malaysia (inc),,1989,25.133877,3.3909292
Malaysia (inc),,1992,28.051928,3.4280562
Malaysia (inc),,1995,29.39612,3.4213617
Malaysia (inc),,1997,36.800747,4.1428552
Malaysia (inc),,2004,44.211823,5.2766981
Malaysia (inc),,2007,40.620636,4.8480883
Malaysia (inc),,2008,37.162708,4.5665703
Malaysia (inc),,2011,45.010101,6.054718
Malaysia (inc),,2013,50.428284,7.6751552
Malaysia (inc),,2015,56.393337,8.614665
Maldives (cons),,2003,11.122316,1.8632239
Maldives (cons),,2010,12.919379,2.1881201
Mali (cons),,1994,2.7124486,0.30263707
Mali (cons),,2001,4.4398508,0.74560499
Mali (cons),,2006,5.02387,0.84705335
Mali (cons),,2010,4.3796329,1.0054429
Malta (inc),,2006,54.455811,13.931115
Malta (inc),,2007,60.257557,14.455264
Malta (inc),,2008,61.623707,15.894086
Malta (inc),,2009,62.355576,14.670658
Malta (inc),,2010,61.59478,15.416059
Malta (inc),,2011,63.709114,15.960073
Malta (inc),,2012,66.3032,16.192781
Malta (inc),,2013,69.273605,17.532503
Malta (inc),,2014,73.622742,18.481274
Malta (inc),,2015,74.492043,18.515474
Mauritania (cons),,1987,6.3859458,0.64540434
Mauritania (cons),,1993,8.1349411,1.0264364
Mauritania (cons),,1996,8.0425863,1.3196412
Mauritania (cons),,2000,8.9337397,1.4871801
Mauritania (cons),,2004,10.02723,1.6854206
Mauritania (cons),,2008,9.7706804,1.8244478
Mauritania (cons),,2014,10.378957,2.2128832
Mauritius (cons),,2007,21.4128,4.3797603
Mauritius (cons),,2012,22.550705,4.4555554
Mexico (cons),,1984,21.156929,2.1211491
Mexico (cons),,1992,21.733232,2.1779144
Mexico (cons),,1994,22.589123,2.343147
Mexico (cons),,1996,16.894007,1.7974572
Mexico (cons),,1998,18.099964,1.7735914
Mexico (cons),,2000,22.006603,2.0203688
Mexico (cons),,2002,21.489233,2.3148479
Mexico (cons),,2004,22.822004,2.4805338
Mexico (cons),,2005,22.433167,2.3552835
Mexico (cons),,2006,25.212164,2.9311738
Mexico (cons),,2008,21.214285,2.7213137
Mexico (cons),,2010,21.799952,2.7194569
Mexico (cons),,2012,22.21583,2.8738005
Mexico (cons),,2014,21.000002,2.732954
Mexico (cons),,2016,21.570305,3.0877156
Mexico (inc),,1989,27.096121,2.2415922
Mexico (inc),,1992,23.167204,1.8815451
Mexico (inc),,1994,23.867983,1.7847639
Mexico (inc),,1996,16.072634,0.92617691
Mexico (inc),,1998,18.752527,1.3133959
Mexico (inc),,2000,23.446188,1.994467
Mexico (inc),,2002,23.099945,2.2700603
Mexico (inc),,2004,24.736534,2.3750749
Mexico (inc),,2005,25.113775,2.2976282
Mexico (inc),,2006,26.324726,2.7925129
Mexico (inc),,2008,26.782179,2.5194929
Mexico (inc),,2010,24.561689,2.6437221
Mexico (inc),,2012,26.941484,2.8736541
Mexico (inc),,2014,25.788801,2.8795276
Mexico (inc),,2016,29.959387,3.4981313
Micronesia (country) (cons),,2005,14.858602,2.1672394
Micronesia (country) (cons),,2013,9.8864059,1.3058045
Micronesia (country) (inc),,2000,11.510574,0.33422279
Moldova (cons),,1997,8.626277,1.4647479
Moldova (cons),,1998,7.3150673,1.1106464
Moldova (cons),,1999,6.7692537,1.0136077
Moldova (cons),,2000,5.7868614,1.076449
Moldova (cons),,2001,7.0405812,1.2431159
Moldova (cons),,2002,8.3655157,1.6288939
Moldova (cons),,2003,10.025022,2.1155581
Moldova (cons),,2004,9.850071,1.9967557
Moldova (cons),,2005,9.051528,1.7634759
Moldova (cons),,2006,15.079591,2.9184728
Moldova (cons),,2007,16.897058,3.4526787
Moldova (cons),,2008,16.5655,3.3258131
Moldova (cons),,2009,15.86819,3.460727
Moldova (cons),,2010,16.362059,3.7758853
Moldova (cons),,2011,16.472397,4.0478888
Moldova (cons),,2012,15.754504,4.1889682
Moldova (cons),,2013,16.709513,4.5955448
Moldova (cons),,2014,15.815379,4.7778525
Moldova (cons),,2015,16.521255,4.8765049
Moldova (cons),,2016,16.09623,4.8896976
Mongolia (cons),,1995,8.2577114,1.7984697
Mongolia (cons),,1998,5.2780023,1.197704
Mongolia (cons),,2002,8.6621046,1.8642995
Mongolia (cons),,2008,15.28142,3.1195393
Mongolia (cons),,2010,14.802151,3.3102655
Mongolia (cons),,2011,16.41601,3.6266408
Mongolia (cons),,2012,18.619299,4.052031
Mongolia (cons),,2014,19.341421,4.4366121
Mongolia (cons),,2016,16.076395,3.6954942
Montenegro (cons),,2005,21.937056,5.4524322
Montenegro (cons),,2006,22.293261,5.5905051
Montenegro (cons),,2007,28.231798,6.4987645
Montenegro (cons),,2008,29.725328,7.2485137
Montenegro (cons),,2009,29.377476,6.7383976
Montenegro (cons),,2010,25.216677,6.6410708
Montenegro (cons),,2011,26.037008,6.1494851
Montenegro (cons),,2012,24.319529,5.2222424
Montenegro (cons),,2013,24.954985,5.3686242
Montenegro (cons),,2014,26.664783,6.4619298
Morocco (cons),,1985,11.158624,1.925198
Morocco (cons),,1991,15.077931,2.7743359
Morocco (cons),,1999,12.68964,2.2819028
Morocco (cons),,2001,13.254314,2.2565527
Morocco (cons),,2007,16.215199,2.7358177
Morocco (cons),,2014,20.411469,3.5625904
Mozambique (cons),,1996,3.2767947,0.32032907
Mozambique (cons),,2003,3.5645444,0.46574402
Mozambique (cons),,2009,4.2052078,0.5264169
Mozambique (cons),,2014,5.976336,0.59710127
Myanmar (cons),,2015,11.454628,2.1572015
Namibia (cons),,2004,15.68152,1.1916962
Namibia (cons),,2010,17.699871,1.4569874
Namibia (cons),,2015,25.545265,1.6510365
Nepal (cons),,1996,4.0715103,0.86482257
Nepal (cons),,2003,6.5165739,1.080166
Nepal (cons),,2010,7.2902246,1.722712
Nepal (inc),,1985,2.9485028,0.80820394
Netherlands (inc),,2004,81.553116,19.213362
Netherlands (inc),,2005,81.791977,20.496897
Netherlands (inc),,2006,89.49128,21.9112
Netherlands (inc),,2007,92.494431,23.012884
Netherlands (inc),,2008,91.54026,22.390348
Netherlands (inc),,2009,87.429626,23.230186
Netherlands (inc),,2010,86.450577,22.894974
Netherlands (inc),,2011,85.782303,22.834461
Netherlands (inc),,2012,84.415817,22.620848
Netherlands (inc),,2013,83.226814,21.567837
Netherlands (inc),,2014,85.693649,21.766172
Netherlands (inc),,2015,90.21875,23.065527
Nicaragua (cons),,1993,12.985514,1.3401874
Nicaragua (cons),,1998,12.056917,1.60589
Nicaragua (cons),,2001,10.722553,1.5233604
Nicaragua (cons),,2005,10.322478,1.7168953
Nicaragua (inc),,1993,10.976522,0.39497334
Nicaragua (inc),,1998,13.45396,0.85523355
Nicaragua (inc),,2001,15.902412,1.4366275
Nicaragua (inc),,2005,17.774353,2.0900185
Nicaragua (inc),,2009,16.524109,2.169054
Nicaragua (inc),,2014,23.340349,2.9623234
Niger (cons),,1993,3.0547583,0.60304242
Niger (cons),,1994,2.7812185,0.43052176
Niger (cons),,2005,3.7121067,0.53740126
Niger (cons),,2007,3.6722836,0.74711746
Niger (cons),,2011,4.3800688,1.1067483
Niger (cons),,2014,4.8764644,1.058148
Nigeria (cons),,1985,4.4547186,0.76281023
Nigeria (cons),,1992,4.6096196,0.44092658
Nigeria (cons),,1996,5.1501622,0.44129065
Nigeria (cons),,2004,4.5980196,0.67159897
Nigeria (cons),,2010,5.1286187,0.69974983
Norway (inc),,2003,89.557999,24.285261
Norway (inc),,2004,102.44922,23.777081
Norway (inc),,2005,103.35527,24.594097
Norway (inc),,2006,88.053864,23.51565
Norway (inc),,2007,100.05025,26.956224
Norway (inc),,2008,102.5704,27.232168
Norway (inc),,2009,101.24778,28.080296
Norway (inc),,2010,100.80484,28.671638
Norway (inc),,2011,104.215,30.664036
Norway (inc),,2012,107.78186,30.699074
Norway (inc),,2013,114.49907,31.582041
Norway (inc),,2014,117.25986,31.223055
Norway (inc),,2015,120.78239,31.085571
Pakistan (cons),,1987,3.8967743,0.89646536
Pakistan (cons),,1991,3.9203796,0.88724303
Pakistan (cons),,1997,6.0885606,1.7666807
Pakistan (cons),,1999,6.4421406,1.5420229
Pakistan (cons),,2002,5.5029721,1.4734896
Pakistan (cons),,2005,6.7972326,1.6767945
Pakistan (cons),,2006,7.0662107,1.7778628
Pakistan (cons),,2008,7.1432381,1.859889
Pakistan (cons),,2011,7.393949,2.0501702
Pakistan (cons),,2012,7.7912397,2.0802214
Pakistan (cons),,2014,8.1829395,2.1760647
Pakistan (cons),,2016,9.6216087,2.3717177
Palestine (cons),,2004,18.213001,3.7849803
Palestine (cons),,2005,19.069519,3.8687572
Palestine (cons),,2006,19.271324,4.1711473
Palestine (cons),,2007,17.879944,3.4157767
Palestine (cons),,2009,20.408669,4.3894348
Palestine (cons),,2010,20.749189,4.2678704
Palestine (cons),,2011,20.488737,4.3632226
