Entity,Code,Year,Adequacy of social safety net programs (% of total welfare of beneficiary households) (% of total welfare of beneficiary households)
Afghanistan,AFG,2007,27.6209649529095
Albania,ALB,2008,5.86383824193044
Albania,ALB,2012,6.01724799452891
Argentina,ARG,2006,12.6710903057301
Argentina,ARG,2010,10.9621758748799
Argentina,ARG,2011,11.3343497372497
Argentina,ARG,2012,10.4701654975154
Argentina,ARG,2013,11.3135759745517
Armenia,ARM,2008,15.1515553070496
Armenia,ARM,2009,16.9672541736378
Armenia,ARM,2010,18.3844707473252
Armenia,ARM,2011,15.5344318953064
Armenia,ARM,2012,18.205937869574
Armenia,ARM,2013,17.0676909115912
Armenia,ARM,2014,16.9885296444541
Azerbaijan,AZE,2008,36.027483203261
Bangladesh,BGD,2005,19.7106697563411
Bangladesh,BGD,2010,3.99774008210065
Belarus,BLR,2008,6.82576235415468
Belarus,BLR,2009,7.47888728022693
Belarus,BLR,2010,7.16078125156925
Belarus,BLR,2012,8.14675155446086
Belarus,BLR,2013,11.0948690250083
Belize,BLZ,2009,8.6161594292528
Bhutan,BTN,2007,2.10345423165855
Bolivia,BOL,2006,7.73246172483613
Bolivia,BOL,2007,7.5084177923062
Bolivia,BOL,2008,10.8681504472423
Bolivia,BOL,2009,10.5954278364697
Bolivia,BOL,2011,7.99992429912666
Bolivia,BOL,2012,7.75809320508011
Bosnia and Herzegovina,BIH,2007,17.1455319750158
Botswana,BWA,2009,9.53291284082839
Brazil,BRA,2009,9.42544500233656
Brazil,BRA,2011,8.30441828272541
Brazil,BRA,2012,9.09803054162119
Brazil,BRA,2015,17.2683792834211
Bulgaria,BGR,2007,13.0221129625524
Burkina Faso,BFA,2003,50.2056302255987
Burkina Faso,BFA,2014,5.50184226411283
Cameroon,CMR,2007,18.4085047629807
Cameroon,CMR,2014,2.61399493312678
Cape Verde,CPV,2007,7.05142667067617
Chad,TCD,2011,10.4847618473962
Chile,CHL,2006,4.40445132542218
Chile,CHL,2009,7.19603735251943
Chile,CHL,2011,7.34198359329792
Chile,CHL,2013,7.6558235655817
China,CHN,2013,2.3376689422997
Colombia,COL,2010,5.96233123732451
Colombia,COL,2011,5.08933624343214
Colombia,COL,2012,5.16550883444252
Colombia,COL,2014,5.09545899177823
Congo,COG,2005,39.7851645801638
Costa Rica,CRI,2008,21.9032773507638
Costa Rica,CRI,2010,11.950161226587
Costa Rica,CRI,2011,11.7181666329553
Costa Rica,CRI,2012,12.4057388357794
Costa Rica,CRI,2014,13.310862025307
Cote d'Ivoire,CIV,2008,4.54823283509444
Cote d'Ivoire,CIV,2015,14.7420356207682
Croatia,HRV,2008,7.75304363145488
Croatia,HRV,2010,8.91788744975064
Democratic Republic of Congo,COD,2012,37.4535946892655
Djibouti,DJI,2012,11.9092579029868
Dominica,DMA,2002,21.0107314925412
Dominican Republic,DOM,2007,5.28535823944191
Dominican Republic,DOM,2008,4.93926847207688
Dominican Republic,DOM,2009,4.96002254847545
Dominican Republic,DOM,2010,4.81173517753887
Dominican Republic,DOM,2011,4.4923751213876
Dominican Republic,DOM,2012,5.24712305038618
Dominican Republic,DOM,2013,5.70444475559255
Dominican Republic,DOM,2014,5.25433636036218
Ecuador,ECU,2008,10.5048309455291
Ecuador,ECU,2010,11.4250811421535
Ecuador,ECU,2011,11.6862042417003
Ecuador,ECU,2012,10.4170708313863
Ecuador,ECU,2016,12.5666392654293
Egypt,EGY,2008,3.55509209012916
El Salvador,SLV,2008,6.00807241810933
El Salvador,SLV,2009,5.98185180895157
El Salvador,SLV,2010,6.14239043323924
El Salvador,SLV,2011,6.67601172916749
El Salvador,SLV,2012,5.8761406756166
El Salvador,SLV,2014,7.39250368680381
Fiji,FJI,2008,14.0224188115741
Gabon,GAB,2005,19.586431062938
Gambia,GMB,1998,3.99191213630278
Georgia,GEO,2011,29.178882337286
Ghana,GHA,2005,0.704004575939393
Guatemala,GTM,2006,4.34673572900058
Guatemala,GTM,2011,3.90607799257601
Haiti,HTI,2001,0.567829723100429
Honduras,HND,2008,2.7721490712101
Honduras,HND,2009,20.1911805725185
Honduras,HND,2010,2.77522761122436
Honduras,HND,2011,4.20856010625062
Honduras,HND,2013,5.64831808759655
Hungary,HUN,2007,13.9285623986386
Indonesia,IDN,2015,15.943313115121
Iraq,IRQ,2006,2.28643617351069
Iraq,IRQ,2012,2.75312407790026
Jamaica,JAM,2002,0.127955976757778
Jamaica,JAM,2010,4.62504440174555
Jordan,JOR,2006,6.67527588542888
Jordan,JOR,2010,3.98173585126062
Kazakhstan,KAZ,2007,3.25141334777861
Kazakhstan,KAZ,2010,3.34278637876001
Kenya,KEN,2005,8.00906129361396
Kiribati,KIR,2006,5.61756336243835
Kosovo,OWID_KOS,2006,33.9770349528562
Kosovo,OWID_KOS,2011,25.0489243097332
