Entity,Code,Year,Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal)
Apples,,2018,0.895833333
Bananas,,2018,1.433333333
Barley,,2018,0.236
Beef (beef herd),,2018,36.43956044
Beef (dairy herd),,2018,12.1978022
Beet Sugar,,2018,0.515669516
Berries & Grapes,,2018,2.684210526
Brassicas,,2018,3
Cane Sugar,,2018,0.911680912
Cassava,,2018,1.35523614
Cheese,,2018,6.170542636
Citrus Fruit,,2018,1.21875
Coffee,,2018,50.94642857
Dark Chocolate,,2018,9.023210832
Eggs,,2018,3.243055556
Fish (farmed),,2018,7.61452514
Groundnuts,,2018,0.556896552
Lamb & Mutton,,2018,12.52996845
Maize,,2018,0.375898286
Milk,,2018,5.25
Nuts,,2018,0.069918699
Oatmeal,,2018,0.945482272
Olive Oil,,2018,0.613122172
Onions & Leeks,,2018,1.351351351
Other Pulses,,2018,0.524926686
Palm Oil,,2018,0.828054299
Peas,,2018,0.283236994
Pig Meat,,2018,5.150627615
Potatoes,,2018,0.628415301
Poultry Meat,,2018,5.335135135
Prawns (farmed),,2018,26.08737864
Rapeseed Oil,,2018,0.426470588
Rice,,2018,1.207270754
Root Vegetables,,2018,1.162162162
Sunflower Oil,,2018,0.407239819
Tofu (soybeans),,2018,1.166051661
Tomatoes,,2018,11
Wheat & Rye,,2018,0.586843492
