Entity,Code,Year,Alcohol (%),Games of chance (%),Tobacco (%)
Afghanistan,AFG,2010,0,0,0.42864531
Albania,ALB,2010,1.0583826,0.0081033204,2.0059965
Armenia,ARM,2010,0.82502705,0.0035135651,3.773015
Azerbaijan,AZE,2010,0.23066874,0.32824272,4.889523
Bangladesh,BGD,2010,0,0,1.2566941
Belarus,BLR,2010,2.1588225,0.01693642,1.2215586
Benin,BEN,2010,1.9808187,0.10456944,0
Bhutan,BTN,2010,1.6413463,0,0.29343387
Bolivia,BOL,2010,0.29929429,0.0090428898,0.10084815
Bosnia and Herzegovina,BIH,2010,1.0985329,0.29456833,2.1167624
Brazil,BRA,2010,0.40116945,0.27887291,0.67551643
Bulgaria,BGR,2010,1.9677033,0.14468393,6.5266166
Burkina Faso,BFA,2010,0.77232629,0.12511724,1.0478166
Burundi,BDI,2010,3.6020577,0,0.34003207
Cambodia,KHM,2010,1.1221101,0.080594815,1.0117977
Cameroon,CMR,2010,2.9878156,0.064605817,0.23387665
Cape Verde,CPV,2010,0.85370296,0.28678221,0.41211826
Chad,TCD,2010,2.0825529,0.074821807,1.0281653
China,CHN,2010,0.84404296,0.040802378,1.8472285
Colombia,COL,2010,0.78224647,0.27563587,0.19763544
Congo,COG,2010,1.0721474,0.17286894,0.19301528
Cote d'Ivoire,CIV,2010,0.46910259,0.22923958,0.62139904
Democratic Republic of Congo,COD,2010,1.4246242,0.0010670008,0.53150791
Djibouti,DJI,2010,0,0,1.392995
Egypt,EGY,2010,0.0012807865,0,2.4188457
El Salvador,SLV,2010,0,0.010279028,0
Ethiopia,ETH,2010,0.8105759,0.0080930172,0.18311556
Fiji,FJI,2010,0.78922135,0.013388824,0.92801863
Gabon,GAB,2010,1.3663148,0.14357948,0.36085892
Gambia,GMB,2010,0.07459338,0,0.49071151
Ghana,GHA,2010,1.5515958,0.21667929,0.12891622
Guatemala,GTM,2010,0.40613422,2.1794183,0.19235408
Guinea,GIN,2010,0.49441364,0.0043529239,0.41991684
Honduras,HND,2010,0.36937079,0.15481094,0.4720391
India,IND,2010,0.508995,0,0.83098358
Indonesia,IDN,2010,0.04717312,0.00087554019,5.5380054
Iraq,IRQ,2010,0.028488271,0,0.74573398
Jamaica,JAM,2010,0.58893412,0.29523408,0
Jordan,JOR,2010,0.023413731,0,3.7247012
Kazakhstan,KAZ,2010,1.6184428,0,1.8751956
Kenya,KEN,2010,1.3452905,0.0031508917,0.50357533
Kyrgyzstan,KGZ,2010,0.57711232,0,0.65944958
Laos,LAO,2010,1.3184243,0.20183179,0.68571508
Latvia,LVA,2010,1.7668848,0.013288959,2.0103223
Lesotho,LSO,2010,0.64119917,0.051361654,0.53523713
Liberia,LBR,2010,1.2661847,0.00025918835,0.18885687
Lithuania,LTU,2010,2.6316721,0.48592684,1.2950302
Macedonia,MKD,2010,1.9750552,0.18268424,3.206279
Madagascar,MDG,2010,0.53574282,0.034224354,2.3122675
Malawi,MWI,2010,1.0115453,0,0.13670751
Maldives,MDV,2010,0,0,1.1689608
Mali,MLI,2010,0.071206801,0.01705868,1.0110171
Mauritania,MRT,2010,0,0,0.47466621
Mauritius,MUS,2010,2.0705585,0.84857428,2.6262124
Mexico,MEX,2010,0.19682395,0.047358532,0.10259458
Moldova,MDA,2010,0.64196295,0.19569047,0.57941628
Mongolia,MNG,2010,0.95693606,0.0034090879,0.85781586
Montenegro,MNE,2010,1.1024089,0.23993653,1.677079
Morocco,MAR,2010,0.020461136,0.01981907,2.2108197
Mozambique,MOZ,2010,0.48885977,0.0050074868,0.13112427
Namibia,NAM,2010,0.88643813,0,0.19567798
Nepal,NPL,2010,1.750916,0,0.9366836
Nicaragua,NIC,2010,0.42446452,0.078775063,0.4586471
Niger,NER,2010,0.021351352,0,0.89518702
Nigeria,NGA,2010,0.45038036,0.01756479,0.015958836
Pakistan,PAK,2010,0,0,1.0963081
Papua New Guinea,PNG,2010,0.38192075,0.17474607,3.1036448
Peru,PER,2010,0.214572,0,0.05631528
Philippines,PHL,2010,0.68470901,0,1.0058239
Romania,ROU,2010,2.5351672,0.04115957,4.7583704
Russia,RUS,2010,1.5360442,1.1998917,0.61954767
Rwanda,RWA,2010,1.9668732,0,0.29251483
Sao Tome and Principe,STP,2010,3.3988631,0.91289103,0
Senegal,SEN,2010,0.52435833,0.0022361905,0.3672494
Serbia,SRB,2010,1.4810959,0.1506985,3.5151513
Sierra Leone,SLE,2010,1.2214493,0,1.7843223
South Africa,ZAF,2010,0.58105636,0.070028923,0.50276625
Sri Lanka,LKA,2010,0.99190336,0.12954397,0.63988853
Swaziland,SWZ,2010,0.33053598,0.022342809,0.13228482
Tajikistan,TJK,2010,0.08642295,0.024407165,0.19165438
Tanzania,TZA,2010,2.3347247,0.0020658101,0.59137422
Thailand,THA,2010,0.925291,0.077064306,0.71806532
Timor,TLS,2010,1.029765,0.00026189853,3.1895504
Togo,TGO,2010,1.931795,0.077446379,0.14822821
Turkey,TUR,2010,0.27950767,0.087858848,4.6889648
Uganda,UGA,2010,1.0714073,0.013659369,0.20991202
Ukraine,UKR,2010,1.699803,0.00035464915,2.246927
Vietnam,VNM,2010,1.0899094,0.30597353,1.1346433
Yemen,YEM,2010,0,0,1.4316754
Zambia,ZMB,2010,1.3046976,0,0.12239696
