Entity,Code,Year,Coke ovens & solid fuels (tonnes),Collieries (tonnes),Domestic (tonnes),Electricity (tonnes),Gas (tonnes),Industry (tonnes),Miscellaneous (tonnes),Railways (tonnes)
United Kingdom,GBR,1943,21922232,11785600,43078400,22961600,21132800,39624000,15263368,15036800
United Kingdom,GBR,1944,21243544,11277600,40233600,24485600,21031200,37592000,16653255.999999998,15240000
United Kingdom,GBR,1945,21358352,10668000,36982400,23876000,21336000,35560000,15116048,14833600
United Kingdom,GBR,1946,21876512,10769600,35864800,26619200,23063200,38608000,14902688,15036800
United Kingdom,GBR,1947,21849080,11176000,36372800,27533600,23063200,36576000,13812520,14528800
United Kingdom,GBR,1948,24061928,11379200,36982400,29260800,24993600,38608000,14749272,14528800
United Kingdom,GBR,1949,24418544,10972800,36576000,30480000,25704800,38912800,14697456,14630400
United Kingdom,GBR,1950,24317960,10871200,37896800,33426400,26619200,40741600,14899640,14427200
United Kingdom,GBR,1951,25447752,10769600,37693600,35966400,27838400,41554400,14684248,14325600
United Kingdom,GBR,1952,27221688,10464800,37388800,36068000,28143200,39522400,14535912,14122400
United Kingdom,GBR,1953,27865832,10058400,37693600,37287200,27533600,40030400,14298168,13614400
United Kingdom,GBR,1954,28685744,9652000,38811200,40233600,27736800,41452800,14697456,13208000
United Kingdom,GBR,1955,29109416,8839200,37693600,43586400,28346400,41351200,14476984,12395200
United Kingdom,GBR,1956,31578296,8026400.000000001,38100000,46329600,28244800,40132000,13532104,12293600
United Kingdom,GBR,1957,33436560,7315200,36169600,47142400,26822400,38100000,12893040,11582400
United Kingdom,GBR,1958,30483048,6604000,36779200,46837600,25196800,34239200,12290552,10464800
United Kingdom,GBR,1959,27849576,5689600,33934400,46736000,22860000,32207200,10961624,9652000
United Kingdom,GBR,1960,31599000,5080000,36068000,52733000,22962000,36169600,6204000,9042400
United Kingdom,GBR,1961,29872000,4572000,33833000,56289000,22861000,33832800,5796000,7823200
United Kingdom,GBR,1962,26722000,4267000,34341000,62081000,24760000,30007800,5791000,6299200
United Kingdom,GBR,1963,24080000,3963000,33633000,68584000,22760000,30074000,8940000,5080000
United Kingdom,GBR,1964,29059000,3759000,29362000,69092000,20829000,28956200,5287000,3860800
United Kingdom,GBR,1965,29262000,3455000,28854000,71124000,18492000,28143200,5389000,2844800
United Kingdom,GBR,1966,27941000,3150000,26927000,69701000,17171000,26009800,4878000,1727200
United Kingdom,GBR,1967,27238000,2947000,24485000,68279000,14834000,23745000,4102000.0000000005,800000
United Kingdom,GBR,1968,28864000,2459000,23584000,74366000,10817000,22746000,4112000,200000
United Kingdom,GBR,1969,29688000,2065000,21974000,77101000,6977000,21509000,4232000,200000
United Kingdom,GBR,1970,29490000,1916000,20190000,77237000,4280000,19513000,4159000,100000
United Kingdom,GBR,1971,28031000,1581000,17185000,72847000,1855000,16004999.999999998,3327000,100000
United Kingdom,GBR,1972,25023000,1405000,14554000,66664000,575000,11563000,2999000,100000
United Kingdom,GBR,1973,25495000,1381000,14502000,76838000,512000,11962000,2581000,100000
United Kingdom,GBR,1974,22249000,1256000,13667000,67025999.99999999,107000,10977000,2505000,100000
United Kingdom,GBR,1975,23148000,1238000,11616000,74569000,9000,9585000,1948000,100000
United Kingdom,GBR,1976,22807000,1132000,10823000,77819000,8000,8870000,2045000,100000
United Kingdom,GBR,1977,20579000,1124000,11136000,79956000,0,8933000,2149000,100000
United Kingdom,GBR,1978,18016000,1010000,10217000,80643000,0,8450000,2041000,100000
United Kingdom,GBR,1979,17964000,834000,10508000,88790000,0,9232000,2051000.0000000002,
United Kingdom,GBR,1980,14632000,663000,8946000,89569000,0,7898000,1752000,
United Kingdom,GBR,1981,13263000,616000,8454000,87226000,0,7046000,1781000,
United Kingdom,GBR,1982,12732000,534000,8474000,80228000,0,7175000,1855000,
United Kingdom,GBR,1983,12562000,486000,7872000,81565000,0,7218000,1772000,
United Kingdom,GBR,1984,9546000,209000,5406000,53411000,0,7006000,1731000,
United Kingdom,GBR,1985,13298000,332000,7799000,73940000,0,8313000.000000001,1704000,
United Kingdom,GBR,1986,13081000,306000,7421000,82652000,0,9278000,1496000,
United Kingdom,GBR,1987,12911000,235000,6536000,87960000,0,6827000,1425000,
United Kingdom,GBR,1988,12908000,196000,5741000,84258000,0,7131000,1265000,
United Kingdom,GBR,1989,12509000,146000,5048000,82053000,0,6763000,1062000,
United Kingdom,GBR,1990,12396000,117000,4239000,84014000,0,6280000,1211000,
United Kingdom,GBR,1991,11512000,112000,4778000,83542000,0,6426000,1144000,
United Kingdom,GBR,1992,10350000,79000,4155999.9999999995,78469000,0,6581000,945000,
United Kingdom,GBR,1993,9808000,48000,4638000,66135999.99999999,0,5300000,826000,
United Kingdom,GBR,1994,9771000,22000,3901000,62406000,0,4946000,721000,
United Kingdom,GBR,1995,9639000,8000,2690000,59588000,0,4494000,523000,
United Kingdom,GBR,1996,9577538,8000,2705000,55511000,0,3074919.627,1511841.2489999998,
United Kingdom,GBR,1997,9614000,8000,2587000,47333000,0,2993000,1691000,
United Kingdom,GBR,1998,9363000,5000,2366000,48588000,0,2414000,416000,
United Kingdom,GBR,1999,9059000,10000,2517000,41178000,0,2040000,920000,
United Kingdom,GBR,2000,9880335.277,12451.059000000001,1882697.457,46197493.98,0,1875996.805,82023.85500000001,
United Kingdom,GBR,2001,9141124.261,9647,1873730.1660000002,50931369.64,0,1826382.113,68155.367,
United Kingdom,GBR,2002,7686221.117,8614,1285986.211,47741114.65,0,1809560.0839999998,22366.615999999998,
United Kingdom,GBR,2003,7630008.756,5653,1042559.5620000002,52463405.43,0,1856107.677,24804.307,
United Kingdom,GBR,2004,7182314.3,7816.999999999999,940664.699,50443589.78,0,1847760.804,27500,
United Kingdom,GBR,2005,7333673.0030000005,5746,614092.807,52058235.58,0,1781422.816,55209.115000000005,4000
United Kingdom,GBR,2006,7782322.21,3758,561220.711,57437778.51,0,1755535.332,34713.19300000001,18800
United Kingdom,GBR,2007,7923821.536,4613,648235.631,52510676.49,0,1896364.763,26391.789999999997,18800
United Kingdom,GBR,2008,7899679.344,5285.967,683485.88,47807634.91,0,1940440.311,29718.944,18800
United Kingdom,GBR,2009,6507082.826,4843.732,689169.418,39680806.96,0,1742097.242,75392.803,18800
United Kingdom,GBR,2010,7086189.428,4908.913,718872.5449999999,41497513.339999996,0,1958616.392,39262.112,18800
United Kingdom,GBR,2011,7096568.663000001,3782.48,704536.13,41849657.6,0,1797569.501,39862.859000000004,15291.462000000001
United Kingdom,GBR,2012,6596579.203,3825.739,673929.5229999999,54901327.53,0,1826470.225,24088.659,16110.151
United Kingdom,GBR,2013,7319189.799,2603.302,639501.325,49872851.57,0,2322511.628,35616.231999999996,13711.487
United Kingdom,GBR,2014,7020796.862,0,548514.968,38234020.41,0,2441796.611,242075.384,13000
United Kingdom,GBR,2015,5445106.492,0,552057.301,29329694.47,0,2073463.4619999998,37591.612,13000
United Kingdom,GBR,2016,3412545.367,0,549782.656,12055609.139999999,0,1667086.817,44734.864,15000
United Kingdom,GBR,2017,3401674.209,0,535381.289,8724496.476,0,1468484.787,38218.174,15000
