Entity,Code,Year,Education (minutes),Household work (minutes),Personal needs (minutes),Leisure (minutes),Income producing work (minutes),Other activities (minutes)
Norway,NOR,1970,20,249,628,310,218,15
Norway,NOR,1980,30.978487,218.84802,614.57318,361.74878,208.85497,4.9965301
Norway,NOR,1990,31,211,604,371,217,6
Norway,NOR,2000,25,198,598,384,227,8
Norway,NOR,2010,27.980568,204.85774,611.57526,374.73975,215.8501,4.9965301
