Entity,Code,Year,Indicator:Households with at least one ITN for sleeping (%) (%)
Benin,BEN,2006,24.55657
Benin,BEN,2011,79.75253
Burkina Faso,BFA,2003,5.62233
Burkina Faso,BFA,2006,24.17632
Burkina Faso,BFA,2010,56.93156
Burundi,BDI,2010,52.01353
Cambodia,KHM,2005,4.50575
Cameroon,CMR,2011,36.44866
Central African Republic,CAF,2006,16.80617
Central African Republic,CAF,2010,54.99818
Chad,TCD,2010,42.1075
Comoros,COM,2012,59.07029
Congo,COG,2005,8.02503
Congo,COG,2011,33.05716
Cote d'Ivoire,CIV,2011,67.27811
Democratic Republic of Congo,COD,2007,9.21338
Democratic Republic of Congo,COD,2010,50.9798
Democratic Republic of Congo,COD,2013,69.95739
Ethiopia,ETH,2005,3.38638
Gabon,GAB,2012,36.11804
Gambia,GMB,2005,47.47503
Ghana,GHA,2003,3.9009
Ghana,GHA,2006,20.07139
Ghana,GHA,2008,41.73858
Ghana,GHA,2011,49.14828
Guinea,GIN,2005,3.53929
Guinea,GIN,2012,47.40378
Guyana,GUY,2009,25.5949
Haiti,HTI,2012,18.81087
Kenya,KEN,2003,7.74876
Kenya,KEN,2008,55.74667
Laos,LAO,2006,54.45569
Laos,LAO,2011,58.49777
Liberia,LBR,2013,54.61503
Madagascar,MDG,2008,57.04168
Malawi,MWI,2006,40.41628
Malawi,MWI,2010,56.83994
Mali,MLI,2006,50.06311
Mali,MLI,2012,84.38354
Mauritania,MRT,2007,8.04141
Mozambique,MOZ,2011,51.44969
Namibia,NAM,2006,20.20579
Namibia,NAM,2013,24.39232
Niger,NER,2006,42.95858
Niger,NER,2012,61.29861
Nigeria,NGA,2003,2.33617
Nigeria,NGA,2007,4.04684
Nigeria,NGA,2008,7.98171
Nigeria,NGA,2011,40.8241
Nigeria,NGA,2013,49.58039
Pakistan,PAK,2006,0.75493
Rwanda,RWA,2005,14.69589
Rwanda,RWA,2007,55.66223
Rwanda,RWA,2010,81.9866
Sao Tome and Principe,STP,2008,60.7618
Senegal,SEN,2010,62.93257
Senegal,SEN,2012,72.81021
Sierra Leone,SLE,2005,5.72635
Sierra Leone,SLE,2008,36.67026
Sierra Leone,SLE,2010,36.1388
Sierra Leone,SLE,2013,64.47943
Somalia,SOM,2006,12.59406
Suriname,SUR,2006,55.56393
Suriname,SUR,2011,59.1542
Swaziland,SWZ,2006,4.41058
Swaziland,SWZ,2010,9.91055
Tajikistan,TJK,2006,1.9989
Tanzania,TZA,2010,63.7644
Timor,TLS,2009,40.85588
Togo,TGO,2006,40.4055
Togo,TGO,2010,57.07082
Uganda,UGA,2006,15.88375
Uganda,UGA,2011,59.81378
Zambia,ZMB,2001,11.86149
Zambia,ZMB,2007,53.31954
Zimbabwe,ZWE,2005,8.49988
Zimbabwe,ZWE,2009,27.79907
Zimbabwe,ZWE,2010,28.76985
