Entity,Code,Year,Female (adults),Male (adults)
United States,USA,1965,21100000,28900000
United States,USA,1970,21600000,26400000
United States,USA,1974,23100000,25800000
United States,USA,1980,24100000,27500000
United States,USA,1985,24700000,25700000
United States,USA,1990,21600000,24200000
United States,USA,1995,22600000,24700000
United States,USA,1997,22300000,25700000
United States,USA,1998,22400000,24800000
United States,USA,1999,22200000,24300000
United States,USA,2000,21900000,24600000
United States,USA,2001,21800000,24400000
United States,USA,2002,21200000,24600000
United States,USA,2003,21100000,24300000
United States,USA,2004,20500000,23900000
United States,USA,2005,20300000,24800000
United States,USA,2006,20200000,25000000
United States,USA,2007,19800000,23600000
United States,USA,2008,21100000,24800000
United States,USA,2009,21000000,25700000
