Entity,Code,Year,Death magnitude
Afghanistan,AFG,2015,3
Algeria,DZA,2015,3.5
Angola,AGO,2015,3.5
Argentina,ARG,2015,1.5
Bosnia and Herzegovina,BIH,2015,4
Burundi,BDI,2015,3.5
Cambodia,KHM,2015,5
Central African Republic,CAF,2015,1
Chile,CHL,2015,2
China,CHN,2015,4.5
Democratic Republic of Congo,COD,2015,2
El Salvador,SLV,2015,2.5
Equatorial Guinea,GNQ,2015,2
Ethiopia,ETH,2015,1
Guatemala,GTM,2015,0.5
Indonesia,IDN,2015,5
Iran,IRN,2015,1.5
Iraq,IRQ,2015,4
Myanmar,MMR,2015,2
Nigeria,NGA,2015,4
Pakistan,PAK,2015,5
Philippines,PHL,2015,2
Rwanda,RWA,2015,5
Somalia,SOM,2015,3
Sri Lanka,LKA,2015,3
Sudan,SDN,2015,4
Syria,SYR,2015,2.5
Uganda,UGA,2015,3.5
Vietnam,VNM,2015,3.5
Yugoslavia,OWID_YGS,2015,1
