Entity,Code,Year,Number of preterm births
Afghanistan,AFG,2014,112422
Albania,ALB,2014,3388
Algeria,DZA,2014,126562
Angola,AGO,2014,132091
Antigua and Barbuda,ATG,2014,146
Argentina,ARG,2014,63148
Armenia,ARM,2014,4108
Australia,AUS,2014,27139
Austria,AUT,2014,6456
Azerbaijan,AZE,2014,20474
Bahamas,BHS,2014,571
Bahrain,BHR,2014,2067
Bangladesh,BGD,2014,603698
Barbados,BRB,2014,337
Belarus,BLR,2014,4786
Belgium,BEL,2014,13064
Belize,BLZ,2014,794
Benin,BEN,2014,35569
Bhutan,BTN,2014,1410
Bolivia,BOL,2014,24827
Bosnia and Herzegovina,BIH,2014,2296
Botswana,BWA,2014,6623
Brazil,BRA,2014,339239
Brunei,BRN,2014,696
Bulgaria,BGR,2014,6152
Burkina Faso,BFA,2014,84405
Burundi,BDI,2014,56952
Cambodia,KHM,2014,38495
Cameroon,CMR,2014,100229
Canada,CAN,2014,31453
Cape Verde,CPV,2014,1317
Central African Republic,CAF,2014,19451
Chad,TCD,2014,73768
Chile,CHL,2014,18612
China,CHN,2014,1168126
Colombia,COL,2014,109657
Comoros,COM,2014,3125
Congo,COG,2014,19728
Costa Rica,CRI,2014,6905
Cote d'Ivoire,CIV,2014,98557
Croatia,HRV,2014,2042
Cuba,CUB,2014,6986
Cyprus,CYP,2014,2442
Czech Republic,CZE,2014,8185
Democratic Republic of Congo,COD,2014,309712
Denmark,DNK,2014,4237
Djibouti,DJI,2014,2634
Dominican Republic,DOM,2014,21321
Ecuador,ECU,2014,26504
Egypt,EGY,2014,333071
El Salvador,SLV,2014,10149
Equatorial Guinea,GNQ,2014,3445
Eritrea,ERI,2014,20929
Estonia,EST,2014,802
Ethiopia,ETH,2014,376730
Fiji,FJI,2014,1773
Finland,FIN,2014,3368
France,FRA,2014,66084
Gabon,GAB,2014,6093
Gambia,GMB,2014,9739
Georgia,GEO,2014,5733
Germany,DEU,2014,60313
Ghana,GHA,2014,104926
Greece,GRC,2014,10840
Grenada,GRD,2014,201
Guatemala,GTM,2014,42722
Guinea,GIN,2014,54228
Guinea-Bissau,GNB,2014,7999
Guyana,GUY,2014,1433
Haiti,HTI,2014,25923
Honduras,HND,2014,16614
Hungary,HUN,2014,8175
Iceland,ISL,2014,382
India,IND,2014,3519947
Indonesia,IDN,2014,527672
Iran,IRN,2014,82796
Iraq,IRQ,2014,126803
Ireland,IRL,2014,4441
Israel,ISR,2014,14279
Italy,ITA,2014,39446
Jamaica,JAM,2014,4759
Japan,JPN,2014,59044
Jordan,JOR,2014,35276
Kazakhstan,KAZ,2014,19668
Kenya,KEN,2014,134460
Kiribati,KIR,2014,318
Kuwait,KWT,2014,7699
Kyrgyzstan,KGZ,2014,16070
Laos,LAO,2014,18589
Latvia,LVA,2014,1082
Lebanon,LBN,2014,7415
Lesotho,LSO,2014,7229
Liberia,LBR,2014,18465
Libya,LBY,2014,17724
Lithuania,LTU,2014,1632
Luxembourg,LUX,2014,607
Macedonia,MKD,2014,2035
Madagascar,MDG,2014,97433
Malawi,MWI,2014,68386
Malaysia,MYS,2014,52290
Maldives,MDV,2014,472
Mali,MLI,2014,89216
Malta,MLT,2014,263
Mauritania,MRT,2014,15881
Mauritius,MUS,2014,1682
Mexico,MEX,2014,165905
Micronesia (country),FSM,2014,245
Moldova,MDA,2014,3803
Mongolia,MNG,2014,7231
Montenegro,MNE,2014,632
Morocco,MAR,2014,94242
Mozambique,MOZ,2014,127999
Myanmar,MMR,2014,98883
Namibia,NAM,2014,8548
Nepal,NPL,2014,30601
Netherlands,NLD,2014,13169
New Zealand,NZL,2014,4505
Nicaragua,NIC,2014,12032
Niger,NER,2014,113564
Nigeria,NGA,2014,803178
North Korea,PRK,2014,37362
Norway,NOR,2014,3523
Oman,OMN,2014,7395
Pakistan,PAK,2014,454104
Panama,PAN,2014,7377
Papua New Guinea,PNG,2014,21245
Paraguay,PRY,2014,11312
Peru,PER,2014,54223
Philippines,PHL,2014,310193
Poland,POL,2014,28539
Portugal,PRT,2014,6569
Qatar,QAT,2014,1142
Romania,ROU,2014,15897
Russia,RUS,2014,157412
Rwanda,RWA,2014,43346
Saint Lucia,LCA,2014,274
Saint Vincent and the Grenadines,VCT,2014,173
Samoa,WSM,2014,490
Sao Tome and Principe,STP,2014,760
Saudi Arabia,SAU,2014,24552
Senegal,SEN,2014,66893
Serbia,SRB,2014,10869
Seychelles,SYC,2014,199
Sierra Leone,SLE,2014,27304
Singapore,SGP,2014,5189
Slovakia,SVK,2014,5176
Slovenia,SVN,2014,1568
Solomon Islands,SLB,2014,1708
Somalia,SOM,2014,55199
South Africa,ZAF,2014,138440
South Korea,KOR,2014,30484
South Sudan,SSD,2014,52038
Spain,ESP,2014,27259
Sri Lanka,LKA,2014,22938
Sudan,SDN,2014,175028
Suriname,SUR,2014,962
Swaziland,SWZ,2014,4509
Sweden,SWE,2014,6872
Switzerland,CHE,2014,6093
Syria,SYR,2014,46740
Tajikistan,TJK,2014,26413
Tanzania,TZA,2014,336025
Thailand,THA,2014,92732
Timor,TLS,2014,4549
Togo,TGO,2014,30321
Tonga,TON,2014,263
Trinidad and Tobago,TTO,2014,1901
Tunisia,TUN,2014,27059
Turkey,TUR,2014,160646
Turkmenistan,TKM,2014,11649
Uganda,UGA,2014,107921
Ukraine,UKR,2014,42491
United Arab Emirates,ARE,2014,5418
United Kingdom,GBR,2014,57115
United States,USA,2014,383257
Uruguay,URY,2014,4374
Uzbekistan,UZB,2014,69796
Vanuatu,VUT,2014,684
Venezuela,VEN,2014,58423
Vietnam,VNM,2014,103515
Yemen,YEM,2014,88331
Zambia,ZMB,2014,75555
Zimbabwe,ZWE,2014,64265
