Entity,Code,Year,Share of Revenue from Income tax (% of total revenue)
Austria,AUT,1905,4.1999998
Austria,AUT,1925,14.8
Austria,AUT,1926,13.9
Austria,AUT,1927,14.4
Austria,AUT,1928,14
Austria,AUT,1955,17.799999
Austria,AUT,1956,18.4
Austria,AUT,1957,19.799999
Austria,AUT,1958,18.700001
Austria,AUT,1959,18.700001
Austria,AUT,1960,18.5
Austria,AUT,1961,19.299999
Austria,AUT,1962,20.1
Austria,AUT,1963,20.4
Austria,AUT,1964,20.700001
Austria,AUT,1965,21.299999
Austria,AUT,1966,22.299999
Austria,AUT,1967,22.700001
Austria,AUT,1968,21.6
Austria,AUT,1969,21.5
Austria,AUT,1970,22.5
Austria,AUT,1971,22.9
Austria,AUT,1972,23.6
Austria,AUT,1973,26.9
Austria,AUT,1974,27.299999
Austria,AUT,1975,25
Austria,AUT,1980,29.27
Austria,AUT,1981,29.540001
Austria,AUT,1982,28.73
Austria,AUT,1983,28.1
Austria,AUT,1984,28.190001
Austria,AUT,1985,29.040001
Austria,AUT,1986,29.629999
Austria,AUT,1987,28.809999
Austria,AUT,1988,28.42
Austria,AUT,1989,26.85
Austria,AUT,1990,28.190001
Austria,AUT,1991,29.17
Austria,AUT,1992,29.790001
Austria,AUT,1993,30.15
Austria,AUT,1994,28.65
Austria,AUT,1995,31.23
Austria,AUT,1996,32.639999
Austria,AUT,1997,35.59
Austria,AUT,1998,36.310001
Austria,AUT,1999,35.209999
Austria,AUT,2000,35.25
Austria,AUT,2001,37.740002
Austria,AUT,2002,35.639999
Austria,AUT,2003,35.380001
Austria,AUT,2004,35.25
Austria,AUT,2005,33.529999
Austria,AUT,2006,34.43
Austria,AUT,2007,35.630001
Austria,AUT,2008,36.939999
Austria,AUT,2009,33.18
Austria,AUT,2010,33.799999
Austria,AUT,2011,34.720001
Austria,AUT,2012,35.32
Austria,AUT,2013,35.84
Belgium,BEL,1925,9.3999996
Belgium,BEL,1936,2.2
Belgium,BEL,1938,8.3999996
Belgium,BEL,1950,7.9000001
Belgium,BEL,1951,27.5
Belgium,BEL,1952,29.4
Belgium,BEL,1953,29.700001
Belgium,BEL,1954,29.299999
Belgium,BEL,1957,30.1
Belgium,BEL,1958,30
Belgium,BEL,1959,28.799999
Belgium,BEL,1960,29.200001
Belgium,BEL,1961,28
Belgium,BEL,1962,30.6
Belgium,BEL,1965,29.1
Belgium,BEL,1966,30.4
Belgium,BEL,1967,30.700001
Belgium,BEL,1968,31.299999
Belgium,BEL,1969,32.299999
Belgium,BEL,1970,33.299999
Belgium,BEL,1971,34.299999
Belgium,BEL,1972,36.700001
Belgium,BEL,1973,38
Belgium,BEL,1974,40.5
Belgium,BEL,1975,44.200001
Belgium,BEL,1985,52.23
Belgium,BEL,1986,52.84
Belgium,BEL,1987,52.389999
Belgium,BEL,1988,51.419998
Belgium,BEL,1989,49.110001
Belgium,BEL,1990,48.93
Belgium,BEL,1991,48.150002
Belgium,BEL,1992,47.349998
Belgium,BEL,1993,48.16
Belgium,BEL,1994,48.59
Belgium,BEL,1995,48.669998
Belgium,BEL,1996,47.330002
Belgium,BEL,1997,47.779999
Belgium,BEL,1998,48.77
Belgium,BEL,1999,47.43
Belgium,BEL,2000,48.189999
Belgium,BEL,2001,48.580002
Belgium,BEL,2002,48.02
Belgium,BEL,2003,47.669998
Belgium,BEL,2004,47.380001
Belgium,BEL,2005,45.299999
Belgium,BEL,2006,44.380001
Belgium,BEL,2007,44.200001
Belgium,BEL,2008,44.400002
Belgium,BEL,2009,42.18
Belgium,BEL,2010,41.939999
Belgium,BEL,2011,42.110001
Belgium,BEL,2012,41.700001
Belgium,BEL,2013,42.400002
Denmark,DNK,1872,9
Denmark,DNK,1882,11.9
Denmark,DNK,1887,12.9
Denmark,DNK,1897,15
Denmark,DNK,1905,24.5
Denmark,DNK,1906,21.6
Denmark,DNK,1914,33.599998
Denmark,DNK,1918,58.200001
Denmark,DNK,1924,42.299999
Denmark,DNK,1926,42.700001
Denmark,DNK,1929,36.700001
Denmark,DNK,1932,41.5
Denmark,DNK,1939,46.799999
Denmark,DNK,1941,50.099998
Denmark,DNK,1948,43.799999
Denmark,DNK,1951,44.099998
Denmark,DNK,1952,44.799999
Denmark,DNK,1953,44.700001
Denmark,DNK,1954,44.599998
Denmark,DNK,1955,45.900002
Denmark,DNK,1956,46.099998
Denmark,DNK,1957,45.700001
Denmark,DNK,1958,44.700001
Denmark,DNK,1959,43.900002
Denmark,DNK,1960,43.099998
Denmark,DNK,1961,44.099998
Denmark,DNK,1962,45.400002
Denmark,DNK,1963,44.200001
Denmark,DNK,1964,44.599998
Denmark,DNK,1965,45.799999
Denmark,DNK,1966,47.200001
Denmark,DNK,1967,47.700001
Denmark,DNK,1968,48.599998
Denmark,DNK,1969,46.5
Denmark,DNK,1970,53.200001
Denmark,DNK,1971,56.099998
Denmark,DNK,1972,55
Denmark,DNK,1973,53.099998
Denmark,DNK,1974,57.900002
Denmark,DNK,1975,55.5
Denmark,DNK,1990,52.630001
Denmark,DNK,1991,53.110001
Denmark,DNK,1992,52.77
Denmark,DNK,1993,52.599998
Denmark,DNK,1994,53.810001
Denmark,DNK,1995,55.029999
Denmark,DNK,1996,54.439999
Denmark,DNK,1997,54.580002
Denmark,DNK,1998,53.5
Denmark,DNK,1999,53.810001
Denmark,DNK,2000,54.93
Denmark,DNK,2001,53.560001
Denmark,DNK,2002,53.419998
Denmark,DNK,2003,53.709999
Denmark,DNK,2004,53.52
Denmark,DNK,2005,55.080002
Denmark,DNK,2006,53.889999
Denmark,DNK,2007,53.32
Denmark,DNK,2008,53.380001
Denmark,DNK,2009,53.400002
Denmark,DNK,2010,53.290001
Denmark,DNK,2011,52.810001
Denmark,DNK,2012,53.700001
Denmark,DNK,2013,55.68
Finland,FIN,1961,36.200001
Finland,FIN,1962,33.799999
Finland,FIN,1963,42.099998
Finland,FIN,1964,43
Finland,FIN,1965,43.700001
Finland,FIN,1966,45.200001
Finland,FIN,1967,43.099998
Finland,FIN,1968,43
Finland,FIN,1969,45.200001
Finland,FIN,1970,46.799999
Finland,FIN,1971,47.400002
Finland,FIN,1972,49.400002
Finland,FIN,1973,51.700001
Finland,FIN,1974,54.700001
Finland,FIN,1975,53.200001
Finland,FIN,1980,38.91
Finland,FIN,1981,40.470001
Finland,FIN,1982,39.599998
Finland,FIN,1983,39.150002
Finland,FIN,1984,38.740002
Finland,FIN,1985,38.939999
Finland,FIN,1986,40.119999
Finland,FIN,1987,37.27
Finland,FIN,1988,39.200001
Finland,FIN,1989,38.990002
Finland,FIN,1990,39.93
Finland,FIN,1991,38.98
Finland,FIN,1992,36.630001
Finland,FIN,1993,34.77
Finland,FIN,1994,38.240002
Finland,FIN,1995,38.84
Finland,FIN,1996,41.060001
Finland,FIN,1997,40.560001
Finland,FIN,1998,42.23
Finland,FIN,1999,42.450001
Finland,FIN,2000,45.599998
Finland,FIN,2001,43.310001
Finland,FIN,2002,42.73
Finland,FIN,2003,40.490002
Finland,FIN,2004,39.970001
Finland,FIN,2005,39.860001
Finland,FIN,2006,39.529999
Finland,FIN,2007,40.209999
Finland,FIN,2008,39.200001
Finland,FIN,2009,36.560001
Finland,FIN,2010,36.18
Finland,FIN,2011,36.110001
Finland,FIN,2012,35.32
France,FRA,1920,9.6999998
France,FRA,1925,21.5
France,FRA,1930,17.5
France,FRA,1935,11.7
France,FRA,1940,20.9
France,FRA,1945,37.799999
France,FRA,1950,17.9
France,FRA,1951,15.9
France,FRA,1952,16.5
France,FRA,1953,19.799999
France,FRA,1954,19.200001
France,FRA,1955,18.299999
France,FRA,1956,19.200001
France,FRA,1957,19.799999
France,FRA,1958,21.700001
France,FRA,1959,21
France,FRA,1960,19.1
France,FRA,1961,18.4
France,FRA,1962,18.5
France,FRA,1963,19.1
France,FRA,1965,20.9
France,FRA,1966,20.6
France,FRA,1967,20.5
France,FRA,1968,17.4
France,FRA,1969,17.4
France,FRA,1970,16.799999
France,FRA,1971,16.799999
France,FRA,1972,18
France,FRA,1973,16.700001
France,FRA,1974,19.299999
France,FRA,1975,18.200001
France,FRA,1980,22.940001
France,FRA,1981,23.120001
France,FRA,1982,23.040001
France,FRA,1983,22.799999
France,FRA,1984,22.66
France,FRA,1985,21.719999
France,FRA,1986,22.530001
France,FRA,1987,22.76
France,FRA,1988,22.24
France,FRA,1989,22.5
France,FRA,1990,22.559999
France,FRA,1991,23.4
France,FRA,1992,22.24
France,FRA,1993,22.889999
France,FRA,1994,22.639999
France,FRA,1995,21.950001
France,FRA,1996,22.469999
France,FRA,1997,24.08
France,FRA,1998,28.98
France,FRA,1999,30.23
France,FRA,2000,31.290001
France,FRA,2001,31.6
France,FRA,2002,30.01
France,FRA,2003,29.530001
France,FRA,2004,29.549999
France,FRA,2005,29.719999
France,FRA,2006,30.49
France,FRA,2007,29.809999
France,FRA,2008,29.889999
