Entity,Code,Year,Sex:Women - Age:15 to 64 - Series:Labour force participation rate - LFS_SEXAGE_I_R (Percentage)
Australia,AUS,2000,65.2587942603681
Australia,AUS,2001,65.9379708001488
Australia,AUS,2002,66.1563311035541
Australia,AUS,2003,67.0213206506205
Australia,AUS,2004,66.7371107167306
Australia,AUS,2005,68.1901436719425
Australia,AUS,2006,68.8711481442411
Australia,AUS,2007,69.424564765619
Australia,AUS,2008,69.9557255104938
Australia,AUS,2009,70.1479038134973
Australia,AUS,2010,69.9713004297276
Australia,AUS,2011,70.4540326694434
Australia,AUS,2012,70.391815552146
Australia,AUS,2013,70.4504064693184
Australia,AUS,2014,70.532562254751
Australia,AUS,2015,71.2321973542716
Australia,AUS,2016,71.5983169113626
Austria,AUT,2000,61.7785911605294
Austria,AUT,2001,62.2568089067391
Austria,AUT,2002,63.6727724948146
Austria,AUT,2003,64.2885285516662
Austria,AUT,2004,63.5038148185976
Austria,AUT,2005,64.9042866435338
Austria,AUT,2006,65.9621872148227
Austria,AUT,2007,67.0898879389821
Austria,AUT,2008,67.8372603456517
Austria,AUT,2009,68.7382173453964
Austria,AUT,2010,68.8994151586739
Austria,AUT,2011,69.2677654499683
Austria,AUT,2012,70.0491592690921
Austria,AUT,2013,70.6514628192568
Austria,AUT,2014,70.8044319382412
Austria,AUT,2015,70.9017214532982
Austria,AUT,2016,71.6847426145101
Belgium,BEL,2000,56.3832547823828
Belgium,BEL,2001,55.1057600358085
Belgium,BEL,2002,56.2679984678092
Belgium,BEL,2003,56.8591449319523
Belgium,BEL,2004,58.2241224464042
Belgium,BEL,2005,59.4763270022746
Belgium,BEL,2006,59.5345279117432
Belgium,BEL,2007,60.4420751621012
Belgium,BEL,2008,60.800393858976
Belgium,BEL,2009,60.9428613369592
Belgium,BEL,2010,61.8180238944782
Belgium,BEL,2011,61.0879560147371
Belgium,BEL,2012,61.3412699602841
Belgium,BEL,2013,62.293484529079
Belgium,BEL,2014,62.9549469276359
Belgium,BEL,2015,62.9545784467843
