Entity,Code,Year,Sex:Women - Age:15 to 64 - Series:Labour force participation rate - LFS_SEXAGE_I_R (Percentage)
Belgium,BEL,2016,62.8570840273629
Brazil,BRA,2001,58.3446351045635
Brazil,BRA,2002,60.008886109533
Brazil,BRA,2003,60.4752487795321
Brazil,BRA,2004,61.7163645799561
Brazil,BRA,2005,63.1335447919861
Brazil,BRA,2006,63.0427248069011
Brazil,BRA,2007,62.7924120486609
Brazil,BRA,2008,62.9392510436245
Brazil,BRA,2009,63.5177098272689
Brazil,BRA,2011,60.8038571761161
Brazil,BRA,2012,60.8429050141315
Brazil,BRA,2013,60.73995656997
Brazil,BRA,2014,62.3994663540904
Brazil,BRA,2015,61.0954811592389
Canada,CAN,2000,70.3708041736211
Canada,CAN,2001,70.7507817423283
Canada,CAN,2002,72.096384882374
Canada,CAN,2003,73.2570148832206
Canada,CAN,2004,73.4045315199958
Canada,CAN,2005,72.9829133026171
Canada,CAN,2006,73.3413079749351
Canada,CAN,2007,74.1630823973579
Canada,CAN,2008,74.1696204505537
Canada,CAN,2009,74.2234070366054
Canada,CAN,2010,74.2559743892602
Canada,CAN,2011,74.1046696165837
Canada,CAN,2012,74.3034487772639
Canada,CAN,2013,74.662929515374
Canada,CAN,2014,74.2240779782285
Canada,CAN,2015,74.1536432120592
Canada,CAN,2016,74.4327842923613
Chile,CHL,2000,42.1135375580619
Chile,CHL,2001,41.1653941243412
Chile,CHL,2002,41.0369188325274
Chile,CHL,2003,42.7082370148036
Chile,CHL,2004,44.3496198944283
Chile,CHL,2005,45.5031988931869
Chile,CHL,2006,46.5471228820263
Chile,CHL,2007,47.6129541884351
Chile,CHL,2008,50.2015766300518
Chile,CHL,2009,51.134952143593
Chile,CHL,2010,51.7875328166437
Chile,CHL,2011,53.9450301990297
Chile,CHL,2012,54.6497748844325
Chile,CHL,2013,54.8829368961675
Chile,CHL,2014,55.6565177871827
Chile,CHL,2015,55.8230685930729
Chile,CHL,2016,56.1247899319145
China,CHN,2000,76.6811583475462
China,CHN,2010,70.2990923646606
Colombia,COL,2001,57.3865347371221
Colombia,COL,2002,57.7144787721437
Colombia,COL,2003,58.9940603927337
Colombia,COL,2004,57.1331088544377
Colombia,COL,2005,56.2548248151201
Colombia,COL,2007,54.2452324126739
Colombia,COL,2008,54.826420052374
Colombia,COL,2009,58.4768197085989
Colombia,COL,2010,60.5493277169453
Colombia,COL,2011,61.5300308228438
Colombia,COL,2012,63.0136882837896
Colombia,COL,2013,62.8312999168806
Colombia,COL,2014,62.9133648489406
Colombia,COL,2015,63.7126607995477
Colombia,COL,2016,63.6112245218381
Costa Rica,CRI,2000,41.5727438771783
Costa Rica,CRI,2001,45.7732802952122
Costa Rica,CRI,2002,45.5331693695434
Costa Rica,CRI,2003,46.1957901819225
Costa Rica,CRI,2004,44.4672257298037
Costa Rica,CRI,2005,48.4862828841499
Costa Rica,CRI,2006,48.2226339782134
Costa Rica,CRI,2007,49.7480317167376
Costa Rica,CRI,2008,50.4080559923102
Costa Rica,CRI,2009,50.7595633665079
Costa Rica,CRI,2010,50.2011316685964
Costa Rica,CRI,2011,49.5778739876564
Costa Rica,CRI,2012,55.5639712007096
Costa Rica,CRI,2013,54.8953939774968
Costa Rica,CRI,2014,54.5972805958961
Costa Rica,CRI,2015,53.8615662893877
Costa Rica,CRI,2016,50.4255474195207
Czech Republic,CZE,2000,63.6600077636949
Czech Republic,CZE,2001,63.2469097792085
Czech Republic,CZE,2002,62.8023848016239
Czech Republic,CZE,2003,62.5367994223185
Czech Republic,CZE,2004,62.1908713692946
Czech Republic,CZE,2005,62.3965345988302
Czech Republic,CZE,2006,62.3315549199714
Czech Republic,CZE,2007,61.4682050429385
Czech Republic,CZE,2008,61.0416496417967
Czech Republic,CZE,2009,61.4891426049575
Czech Republic,CZE,2010,61.5244299210975
Czech Republic,CZE,2011,62.200249806173
Czech Republic,CZE,2012,63.5041808379498
Czech Republic,CZE,2013,65.0590823397189
Czech Republic,CZE,2014,65.6023307970575
Czech Republic,CZE,2015,66.4638821133134
Czech Republic,CZE,2016,67.6262065158126
Denmark,DNK,2000,75.6138495060441
Denmark,DNK,2001,75.8732241513377
Denmark,DNK,2002,75.4562981338034
Denmark,DNK,2003,75.1176078338893
Denmark,DNK,2004,76.1620123035659
Denmark,DNK,2005,75.9277563470288
Denmark,DNK,2006,76.960107580838
Denmark,DNK,2007,76.3986714439466
Denmark,DNK,2008,76.9591296276807
Denmark,DNK,2009,76.8063059558058
Denmark,DNK,2010,76.0434182153589
Denmark,DNK,2011,76.1455695970736
Denmark,DNK,2012,75.7925974587453
Denmark,DNK,2013,75.622372820246
Denmark,DNK,2014,75.0017300654963
Denmark,DNK,2015,75.2765082582682
Denmark,DNK,2016,77.2162191865013
Estonia,EST,2000,66.263065651571
Estonia,EST,2001,65.9282247839896
Estonia,EST,2002,64.7784757159345
Estonia,EST,2003,66.28309071181
Estonia,EST,2004,66.6889979822265
Estonia,EST,2005,67.6142608536282
Estonia,EST,2006,69.4132234695809
Estonia,EST,2007,68.7924493605848
Estonia,EST,2008,70.2540849616566
Estonia,EST,2009,70.5462927383574
Estonia,EST,2010,71.0393793657001
Estonia,EST,2011,71.4045588383797
Estonia,EST,2012,71.2861227080985
Estonia,EST,2013,71.7040733100661
Estonia,EST,2014,71.2409175815554
Estonia,EST,2015,72.9152455295075
Estonia,EST,2016,73.0762268203421
Finland,FIN,2000,72.1120186697783
Finland,FIN,2001,72.4519510774607
Finland,FIN,2002,72.7325581395349
Finland,FIN,2003,72.1416134648868
Finland,FIN,2004,71.9745222929936
Finland,FIN,2005,72.8744939271255
Finland,FIN,2006,73.2256203115984
Finland,FIN,2007,73.8930419781484
Finland,FIN,2008,74.0423098913665
Finland,FIN,2009,73.4891676168757
Finland,FIN,2010,72.484366117112
Finland,FIN,2011,72.7116704805492
Finland,FIN,2012,73.3908045977011
Finland,FIN,2013,73.4717416378316
Finland,FIN,2014,73.8399071925754
Finland,FIN,2015,74.4321490972627
Finland,FIN,2016,74.0815795685783
France,FRA,2000,61.6860431549153
France,FRA,2001,61.8299228085661
France,FRA,2002,62.1275735993746
France,FRA,2003,63.999958186596
France,FRA,2004,64.2583993972321
France,FRA,2005,64.4201811919064
France,FRA,2006,64.5183084219463
France,FRA,2007,64.9084853182886
France,FRA,2008,65.1842353346036
France,FRA,2009,65.7155269231774
France,FRA,2010,65.7928676635111
France,FRA,2011,65.7401542990586
France,FRA,2012,66.3216640955114
France,FRA,2013,66.9493191559094
France,FRA,2014,67.4451001861202
France,FRA,2015,67.6165780450398
France,FRA,2016,67.9212683432948
Germany,DEU,2000,63.2785324594486
Germany,DEU,2001,63.8271333186588
Germany,DEU,2002,64.2342739564962
Germany,DEU,2003,64.4766351704107
Germany,DEU,2004,65.806140968184
Germany,DEU,2005,66.9202778696659
Germany,DEU,2006,68.5142075896981
Germany,DEU,2007,69.3624447662545
Germany,DEU,2008,69.7140090861696
Germany,DEU,2009,70.3860411128169
Germany,DEU,2010,70.8190805548246
Germany,DEU,2011,71.8970272755134
Germany,DEU,2012,71.8580279966343
Germany,DEU,2013,72.5890264404707
Germany,DEU,2014,72.9063287273838
Germany,DEU,2015,73.0537044214625
Germany,DEU,2016,73.6366323096718
Greece,GRC,2000,50.4991266531638
Greece,GRC,2001,49.7888571947316
Greece,GRC,2002,51.1764932653119
Greece,GRC,2003,52.2933937829578
Greece,GRC,2004,54.1554823239818
Greece,GRC,2005,54.4697850333359
Greece,GRC,2006,54.9573994497742
Greece,GRC,2007,54.8408864836039
Greece,GRC,2008,55.0114534944817
Greece,GRC,2009,56.4806951102416
Greece,GRC,2010,57.5028781941015
Greece,GRC,2011,57.4680549631739
Greece,GRC,2012,58.2840262038333
Greece,GRC,2013,58.3116097517562
Greece,GRC,2014,59.0088229426732
Greece,GRC,2015,59.9169835658376
Greece,GRC,2016,60.448984575301
Hungary,HUN,2000,52.6182176825569
Hungary,HUN,2001,52.3679334401372
Hungary,HUN,2002,52.693620979597
Hungary,HUN,2003,53.9143821572791
Hungary,HUN,2004,54.0003434007469
Hungary,HUN,2005,55.1214757333472
Hungary,HUN,2006,55.4832231188217
Hungary,HUN,2007,54.9460348582088
Hungary,HUN,2008,54.7179624203079
Hungary,HUN,2009,54.9876790933169
Hungary,HUN,2010,56.2696388459904
Hungary,HUN,2011,56.5942425493087
Hungary,HUN,2012,58.0364489561432
Hungary,HUN,2013,58.5770587566807
Hungary,HUN,2014,60.7147132161138
Hungary,HUN,2015,62.1970132047634
Hungary,HUN,2016,63.4710504327599
Iceland,ISL,2000,83.3030251043632
Iceland,ISL,2001,83.149732499605
Iceland,ISL,2002,82.2017220172202
Iceland,ISL,2003,83.8844931358626
Iceland,ISL,2004,81.8330332733213
Iceland,ISL,2005,83.4490906882502
Iceland,ISL,2006,84.2332613390929
Iceland,ISL,2007,83.6466676425688
Iceland,ISL,2008,82.4933172812047
Iceland,ISL,2009,81.9745293354911
Iceland,ISL,2010,82.669234676093
Iceland,ISL,2011,82.4073705575675
Iceland,ISL,2012,83.3346372151687
Iceland,ISL,2013,84.3295599723612
Iceland,ISL,2014,84.2147555058382
Iceland,ISL,2015,85.4673301590232
Iceland,ISL,2016,86.1651182683044
India,IND,2000,36.0200317600787
India,IND,2005,39.1684865074812
India,IND,2006,35.6558192324606
India,IND,2008,32.4816450693955
India,IND,2010,30.2957799902386
India,IND,2012,28.524894270727
Indonesia,IDN,2006,49.8169637545938
Indonesia,IDN,2007,52.0614136210216
Indonesia,IDN,2008,53.0785459567562
Indonesia,IDN,2009,52.90372283987
Indonesia,IDN,2010,53.7484656077508
Indonesia,IDN,2011,51.859954761433
Indonesia,IDN,2012,53.6140943010388
Indonesia,IDN,2013,52.4796972144962
Ireland,IRL,2000,56.3301148150588
Ireland,IRL,2001,56.7475396119709
Ireland,IRL,2002,57.5294823406082
Ireland,IRL,2003,57.8041530925904
Ireland,IRL,2004,58.4250818949992
Ireland,IRL,2005,60.8413555182402
Ireland,IRL,2006,61.886240766871
Ireland,IRL,2007,63.5445907091988
Ireland,IRL,2008,63.2542668383685
Ireland,IRL,2009,62.8427299029014
Ireland,IRL,2010,62.3138671284935
Ireland,IRL,2011,62.3171445287829
Ireland,IRL,2012,62.193927318133
Ireland,IRL,2013,63.1720958203998
Ireland,IRL,2014,62.481868617428
Ireland,IRL,2015,62.8054000077254
Ireland,IRL,2016,64.1231418645214
Israel,ISR,2000,62.5036190146226
Israel,ISR,2001,62.8276577250196
Israel,ISR,2002,62.3143169908864
Israel,ISR,2003,63.5075299450715
Israel,ISR,2004,64.0519936361413
Israel,ISR,2005,64.5795426358389
Israel,ISR,2006,64.9939943230825
Israel,ISR,2007,65.5210144170475
Israel,ISR,2008,65.2652361817018
Israel,ISR,2009,66.3296167771398
Israel,ISR,2010,66.4159854477876
Israel,ISR,2011,66.111404374336
Israel,ISR,2012,67.109837214566
Israel,ISR,2013,67.2673752508336
Israel,ISR,2014,68.3529275194228
Israel,ISR,2015,68.2957235548687
Israel,ISR,2016,68.6332579084868
Italy,ITA,2000,46.2999759198747
Italy,ITA,2001,47.2704609882492
Italy,ITA,2002,47.9131197441057
Italy,ITA,2003,48.32831215206
Italy,ITA,2004,50.8151623646548
Italy,ITA,2005,50.4676616797217
Italy,ITA,2006,50.8315287151302
Italy,ITA,2007,50.6363481678554
Italy,ITA,2008,51.6405025441621
Italy,ITA,2009,51.1089300698746
Italy,ITA,2010,51.0731841411543
Italy,ITA,2011,51.4474711658235
Italy,ITA,2012,53.4349183998247
Italy,ITA,2013,53.5793319093271
Italy,ITA,2014,54.3980454282943
Italy,ITA,2015,54.1018363637374
Italy,ITA,2016,55.1943938916918
Japan,JPN,2000,59.5779220779221
Japan,JPN,2001,60.0558659217877
Japan,JPN,2002,59.7472501755207
Japan,JPN,2003,59.8871384904773
Japan,JPN,2004,60.1603017444602
Japan,JPN,2005,60.8066429418743
Japan,JPN,2006,61.3157894736842
Japan,JPN,2007,61.92549588776
Japan,JPN,2008,62.2254758418741
Japan,JPN,2009,62.88532675709
Japan,JPN,2010,63.151364764268
Japan,JPN,2011,63.0372492836676
Japan,JPN,2012,63.4268537074148
Japan,JPN,2013,65.0127226463104
Japan,JPN,2014,65.968992248062
Japan,JPN,2015,66.7452212621105
Japan,JPN,2016,68.1493248610008
Korea,,2000,52.0430211363664
Korea,,2001,52.7937672190777
Korea,,2002,53.5084364992113
Korea,,2003,52.9439763910705
Korea,,2004,54.0750744880612
Korea,,2005,54.4924566300392
Korea,,2006,54.7811329588015
Korea,,2007,54.7706261991976
Korea,,2008,54.724295550541
Korea,,2009,53.9345203905801
Korea,,2010,54.5019375427399
Korea,,2011,54.8708833818252
Korea,,2012,55.1774174498456
Korea,,2013,55.5895313905857
Korea,,2014,57.0134917182977
Korea,,2015,57.855338302557
Korea,,2016,58.3763648580784
Latvia,LVA,2000,62.140467400336
Latvia,LVA,2001,63.0326750430888
Latvia,LVA,2002,63.7061876560947
Latvia,LVA,2003,64.4609820011801
Latvia,LVA,2004,65.1343687385825
Latvia,LVA,2005,64.7779016172411
Latvia,LVA,2006,66.3796310617082
Latvia,LVA,2007,67.7879049893412
Latvia,LVA,2008,70.3438119108058
Latvia,LVA,2009,70.6977832012085
Latvia,LVA,2010,70.8321203429846
Latvia,LVA,2011,70.0748872200752
Latvia,LVA,2012,71.9654265924117
Latvia,LVA,2013,71.5658162653414
Latvia,LVA,2014,71.5740241178387
Latvia,LVA,2015,72.7948037320052
Latvia,LVA,2016,73.976689376963
Lithuania,LTU,2000,67.1020092329324
Lithuania,LTU,2001,65.8142379852613
Lithuania,LTU,2002,65.7922497121127
Lithuania,LTU,2003,66.5420142543652
Lithuania,LTU,2004,65.7400081768544
Lithuania,LTU,2005,65.1940479399761
Lithuania,LTU,2006,64.647013770775
Lithuania,LTU,2007,64.8734383597964
Lithuania,LTU,2008,65.4970909033937
Lithuania,LTU,2009,67.6499036522182
Lithuania,LTU,2010,68.6383192596677
Lithuania,LTU,2011,69.3645428166366
Lithuania,LTU,2012,70.0864686739586
Lithuania,LTU,2013,70.2822353846485
Lithuania,LTU,2014,71.584079547563
Lithuania,LTU,2015,72.5301518704672
Lithuania,LTU,2016,73.9013350062512
Luxembourg,LUX,2000,51.6755163045852
Luxembourg,LUX,2001,51.9656046128901
Luxembourg,LUX,2002,53.4724037147293
Luxembourg,LUX,2003,53.4594325831124
Luxembourg,LUX,2004,55.8395976481849
Luxembourg,LUX,2005,57.0272856280509
Luxembourg,LUX,2006,58.2281146804617
Luxembourg,LUX,2007,58.8763921449194
Luxembourg,LUX,2008,58.6906295790998
Luxembourg,LUX,2009,60.6967128138349
Luxembourg,LUX,2010,60.2845278673625
Luxembourg,LUX,2011,60.7370857557789
Luxembourg,LUX,2012,62.7598404169202
Luxembourg,LUX,2013,63.1820554924219
Luxembourg,LUX,2014,64.2320016472921
Luxembourg,LUX,2015,65.6142603340406
Luxembourg,LUX,2016,64.7000611708016
Mexico,MEX,2000,40.9944760800542
Mexico,MEX,2001,40.3672931754768
Mexico,MEX,2002,40.9980086515867
Mexico,MEX,2003,40.563376308999
Mexico,MEX,2004,42.9567700634196
Mexico,MEX,2005,43.5915308653649
Mexico,MEX,2006,44.9269845016795
Mexico,MEX,2007,45.4468638804017
Mexico,MEX,2008,45.234738179575
Mexico,MEX,2009,45.8391369122755
Mexico,MEX,2010,45.6397290427222
Mexico,MEX,2011,46.1680350418565
Mexico,MEX,2012,47.267982885975
Mexico,MEX,2013,47.4019357193964
Mexico,MEX,2014,46.5741882422225
Mexico,MEX,2015,46.8485920833576
Mexico,MEX,2016,46.9839517144494
Netherlands,NLD,2000,65.237915407855
Netherlands,NLD,2001,65.4286250234478
Netherlands,NLD,2002,66.8033550792172
Netherlands,NLD,2003,66.3142274160638
Netherlands,NLD,2004,67.0118343195266
Netherlands,NLD,2005,68.0494100294985
Netherlands,NLD,2006,68.7821927888153
Netherlands,NLD,2007,70.40029379361
Netherlands,NLD,2008,71.6822258832144
Netherlands,NLD,2009,72.3206134745298
Netherlands,NLD,2010,72.6344576116682
Netherlands,NLD,2011,73.1422311484389
Netherlands,NLD,2012,74.2707817006771
Netherlands,NLD,2013,74.6216743996284
Netherlands,NLD,2014,74.0093708333993
Netherlands,NLD,2015,74.6688127052414
Netherlands,NLD,2016,74.9625971062109
New Zealand,NZL,2000,67.1695460634758
New Zealand,NZL,2001,68.1406332262073
New Zealand,NZL,2002,68.8069234233176
New Zealand,NZL,2003,68.9685842782407
New Zealand,NZL,2004,69.2056116450695
New Zealand,NZL,2005,70.3793840308861
New Zealand,NZL,2006,70.9668314399629
New Zealand,NZL,2007,71.51045068885
New Zealand,NZL,2008,71.7097513947452
New Zealand,NZL,2009,71.8063198930614
New Zealand,NZL,2010,71.6239189450618
New Zealand,NZL,2011,72.1120659664035
New Zealand,NZL,2012,72.3716216422764
New Zealand,NZL,2013,73.0104263144527
New Zealand,NZL,2014,74.0770308854216
New Zealand,NZL,2015,74.0551503690826
New Zealand,NZL,2016,74.9278052686113
Norway,NOR,2000,76.4539007092199
Norway,NOR,2001,76.3546798029556
Norway,NOR,2002,76.7458100558659
Norway,NOR,2003,75.7785467128028
Norway,NOR,2004,75.6533700137552
Norway,NOR,2005,75.3627655087018
Norway,NOR,2006,74.8413537810682
Norway,NOR,2007,75.9458929621643
Norway,NOR,2008,77.3545929894778
Norway,NOR,2009,76.4953718480689
Norway,NOR,2010,75.6063668519454
Norway,NOR,2011,75.7528426839935
Norway,NOR,2012,75.9128605025374
Norway,NOR,2013,76.073768652037
Norway,NOR,2014,75.9393939610684
Norway,NOR,2015,76.1944876634028
Norway,NOR,2016,75.9459615863476
OECD countries,,2000,59.1550052620125
OECD countries,,2001,59.204168651347
OECD countries,,2002,59.4699915948584
OECD countries,,2003,59.5304030190479
OECD countries,,2004,59.9440306123404
OECD countries,,2005,60.273572319397
OECD countries,,2006,60.751785611602
OECD countries,,2007,60.9464007388572
OECD countries,,2008,61.3221464364736
OECD countries,,2009,61.5759904224705
OECD countries,,2010,61.6421295005636
OECD countries,,2011,61.7724143431568
OECD countries,,2012,62.1995692718787
OECD countries,,2013,62.545800091897
OECD countries,,2014,62.7537884959086
OECD countries,,2015,63.0165818532453
OECD countries,,2016,63.5602522846346
Poland,POL,2000,59.937053811315
Poland,POL,2001,59.9282387968547
Poland,POL,2002,58.9323411041082
Poland,POL,2003,58.3862332695985
Poland,POL,2004,58.2267105343325
Poland,POL,2005,58.3193379486439
Poland,POL,2006,56.7874868401263
Poland,POL,2007,56.4766372677801
Poland,POL,2008,56.9538807649044
Poland,POL,2009,57.8148494482888
Poland,POL,2010,58.5279246593848
Poland,POL,2011,58.8723512774146
Poland,POL,2012,59.7232575475214
Poland,POL,2013,60.1498233995964
Poland,POL,2014,61.1039998808528
Poland,POL,2015,61.402611847337
Poland,POL,2016,61.9525963370268
Portugal,PRT,2000,63.8340584139228
Portugal,PRT,2001,64.755574448451
Portugal,PRT,2002,65.5584549889228
Portugal,PRT,2003,66.4081954910571
Portugal,PRT,2004,66.7860635898745
Portugal,PRT,2005,67.7557412944444
Portugal,PRT,2006,68.2545898372584
Portugal,PRT,2007,68.7311762481579
Portugal,PRT,2008,68.8584405283774
Portugal,PRT,2009,68.8676616132162
Portugal,PRT,2010,69.6935049432825
Portugal,PRT,2011,69.4955096874121
Portugal,PRT,2012,69.7211822295739
Portugal,PRT,2013,69.7767454639936
Portugal,PRT,2014,69.9968607238876
Portugal,PRT,2015,70.324619499235
Portugal,PRT,2016,70.5214500133316
Russia,RUS,2000,66.234940737897
Russia,RUS,2001,64.9686050613968
Russia,RUS,2002,66.0701479665982
Russia,RUS,2003,66.0316203705937
Russia,RUS,2004,67.3634292049026
Russia,RUS,2005,67.857321899648
Russia,RUS,2006,68.5389191123334
Russia,RUS,2007,69.2378384408411
Russia,RUS,2008,68.8689986166035
Russia,RUS,2009,68.761732115745
Russia,RUS,2010,67.9966651415961
Russia,RUS,2011,68.1334940938064
Russia,RUS,2012,68.2361946467226
Russia,RUS,2013,67.9030334451937
Russia,RUS,2014,68.1157504718173
Russia,RUS,2015,68.2023483483276
Russia,RUS,2016,68.8935519489949
Slovakia,SVK,2000,63.175332656442
Slovakia,SVK,2001,63.7033502968618
Slovakia,SVK,2002,63.1944444444444
Slovakia,SVK,2003,63.4860050890585
Slovakia,SVK,2004,62.9205851619645
Slovakia,SVK,2005,61.45297813782
Slovakia,SVK,2006,60.8832319901062
Slovakia,SVK,2007,60.6666210846833
Slovakia,SVK,2008,61.4267359823282
Slovakia,SVK,2009,60.6115593795715
Slovakia,SVK,2010,61.287952965469
Slovakia,SVK,2011,60.8232626538847
Slovakia,SVK,2012,61.6711924267936
Slovakia,SVK,2013,62.4436506623185
Slovakia,SVK,2014,62.8491359812699
Slovakia,SVK,2015,64.2554547289591
Slovakia,SVK,2016,65.3400425949809
Slovenia,SVN,2000,62.9428958676523
Slovenia,SVN,2001,63.2356503566366
Slovenia,SVN,2002,62.971835813924
Slovenia,SVN,2003,62.1133108962722
Slovenia,SVN,2004,64.9872415278036
Slovenia,SVN,2005,66.0955047322172
Slovenia,SVN,2006,66.7446372235108
Slovenia,SVN,2007,66.6015455835016
Slovenia,SVN,2008,67.5335153032906
Slovenia,SVN,2009,67.8623046355275
Slovenia,SVN,2010,67.3960367972135
Slovenia,SVN,2011,66.4548924937908
Slovenia,SVN,2012,66.9148138996623
Slovenia,SVN,2013,66.5889337212562
Slovenia,SVN,2014,67.2433114407796
Slovenia,SVN,2015,67.9411102797879
Slovenia,SVN,2016,68.5918965247171
South Africa,ZAF,2001,52.8952553437777
South Africa,ZAF,2002,52.5175330799271
South Africa,ZAF,2003,50.4494377456559
South Africa,ZAF,2004,48.3099588526995
South Africa,ZAF,2005,50.3653926200283
South Africa,ZAF,2006,51.8728058863224
South Africa,ZAF,2007,50.7807062032824
South Africa,ZAF,2008,51.860668161605
South Africa,ZAF,2009,50.1546470793095
South Africa,ZAF,2010,48.4330842089139
South Africa,ZAF,2011,49.0147761891196
South Africa,ZAF,2012,49.3691577978902
South Africa,ZAF,2013,50.3890796490212
South Africa,ZAF,2014,50.6800584612358
South Africa,ZAF,2015,52.1078191145766
South Africa,ZAF,2016,52.2499847260505
Spain,ESP,2000,52.877951456602
Spain,ESP,2001,51.6351438792738
Spain,ESP,2002,54.6749147789429
Spain,ESP,2003,56.6579354323836
Spain,ESP,2004,58.2161708734491
Spain,ESP,2005,59.7316334872856
Spain,ESP,2006,61.5552539680191
Spain,ESP,2007,62.7886845888945
Spain,ESP,2008,64.5158978551643
Spain,ESP,2009,66.0343172052043
Spain,ESP,2010,67.1432620172911
Spain,ESP,2011,68.2654920720794
Spain,ESP,2012,69.2647170949104
Spain,ESP,2013,69.6695689342468
Spain,ESP,2014,69.7659655376651
Spain,ESP,2015,70.0164158792611
Spain,ESP,2016,70.2011004191386
Sweden,SWE,2000,76.3788098693759
Sweden,SWE,2001,77.0840851678095
Sweden,SWE,2002,77.0527070634636
Sweden,SWE,2003,76.8353528153956
Sweden,SWE,2004,76.5731292517007
Sweden,SWE,2005,77.6799549232286
Sweden,SWE,2006,77.6940519797663
Sweden,SWE,2007,76.7920099976632
Sweden,SWE,2008,76.9679947526867
Sweden,SWE,2009,76.3759995720896
Sweden,SWE,2010,76.2091938707528
Sweden,SWE,2011,77.365145918605
Sweden,SWE,2012,77.9241955342584
Sweden,SWE,2013,78.7647099998724
Sweden,SWE,2014,79.3307025092694
Sweden,SWE,2015,79.8935858695596
Sweden,SWE,2016,80.172810192063
Switzerland,CHE,2000,71.5915305250486
Switzerland,CHE,2001,73.1797279677289
Switzerland,CHE,2002,73.861341692613
Switzerland,CHE,2003,74.1283861376939
Switzerland,CHE,2004,73.9006300017305
Switzerland,CHE,2005,74.2644829818215
Switzerland,CHE,2006,74.6992579478306
Switzerland,CHE,2007,75.0039850863586
Switzerland,CHE,2008,76.6113751219705
Switzerland,CHE,2009,77.1151045445756
Switzerland,CHE,2010,75.2994858320781
Switzerland,CHE,2011,76.2683573244287
Switzerland,CHE,2012,76.7163318539104
Switzerland,CHE,2013,77.0784967713192
Switzerland,CHE,2014,78.0667846730547
Switzerland,CHE,2015,78.645866008128
Switzerland,CHE,2016,79.5015436338395
Turkey,TUR,2000,27.9825548677546
Turkey,TUR,2001,28.5175474909158
Turkey,TUR,2002,29.4572242057215
Turkey,TUR,2003,28.1358342963819
Turkey,TUR,2004,25.1975376699743
Turkey,TUR,2005,25.2235974342759
Turkey,TUR,2006,25.6266666666667
Turkey,TUR,2007,25.6763856054636
Turkey,TUR,2008,26.6790560981934
Turkey,TUR,2009,28.4046031678628
Turkey,TUR,2010,30.1844185171246
Turkey,TUR,2011,31.4830021349975
Turkey,TUR,2012,32.2908680037125
Turkey,TUR,2013,33.7496519629291
Turkey,TUR,2014,33.5796258449929
Turkey,TUR,2015,35.0440965072458
Turkey,TUR,2016,36.2337762076645
United Kingdom,GBR,2000,68.8822557432973
United Kingdom,GBR,2001,68.9059602649007
United Kingdom,GBR,2002,69.3982092178293
United Kingdom,GBR,2003,69.1541026458055
United Kingdom,GBR,2004,69.4763971890962
United Kingdom,GBR,2005,69.6313240687108
United Kingdom,GBR,2006,70.3516727433654
United Kingdom,GBR,2007,69.8172787808163
United Kingdom,GBR,2008,70.2085891184641
United Kingdom,GBR,2009,70.1626112689347
United Kingdom,GBR,2010,70.1515501327218
United Kingdom,GBR,2011,70.353214205334
United Kingdom,GBR,2012,70.9262090974187
United Kingdom,GBR,2013,71.6106486679111
United Kingdom,GBR,2014,72.1499818656667
United Kingdom,GBR,2015,72.5071901012274
United Kingdom,GBR,2016,73.0299630504342
United States,USA,2000,70.7149358981389
