Entity,Code,Year,Altruism (Falk et al. (2018) GPS)
Afghanistan,AFG,2012,0.16645546
Algeria,DZA,2012,-0.009968001
Argentina,ARG,2012,0.027346682
Australia,AUS,2012,0.15533145
Austria,AUT,2012,-0.03536313
Bangladesh,BGD,2012,0.90646327
Bolivia,BOL,2012,-0.005186883
Bosnia and Herzegovina,BIH,2012,-0.11530996
Botswana,BWA,2012,-0.14206204
Brazil,BRA,2012,0.46435976
Cambodia,KHM,2012,-0.21615699
Cameroon,CMR,2012,0.14826119
Canada,CAN,2012,0.22933844
Chile,CHL,2012,-0.10583536
China,CHN,2012,0.50482512
Colombia,COL,2012,0.095873602
Costa Rica,CRI,2012,0.41820866
Croatia,HRV,2012,-0.070946634
Czech Republic,CZE,2012,-0.93961686
Egypt,EGY,2012,0.63414615
Estonia,EST,2012,-0.56668901
Finland,FIN,2012,-0.25009719
France,FRA,2012,-0.174711
Georgia,GEO,2012,0.62781996
Germany,DEU,2012,-0.051002067
Ghana,GHA,2012,0.11105221
Greece,GRC,2012,-0.17281643
Guatemala,GTM,2012,-0.13400403
Haiti,HTI,2012,-0.52285433
Hungary,HUN,2012,-0.59088129
India,IND,2012,-0.26762176
Indonesia,IDN,2012,0.10292665
Iran,IRN,2012,0.59049654
Iraq,IRQ,2012,-0.23216479
Israel,ISR,2012,-0.32634467
Italy,ITA,2012,0.34591156
Japan,JPN,2012,-0.24104115
Jordan,JOR,2012,0.15912074
Kazakhstan,KAZ,2012,0.17297222
Kenya,KEN,2012,-0.31699398
Lithuania,LTU,2012,-0.72995752
Malawi,MWI,2012,-0.088467449
Mexico,MEX,2012,-0.81308872
Moldova,MDA,2012,0.18736821
Morocco,MAR,2012,0.55903822
Netherlands,NLD,2012,-0.19006243
Nicaragua,NIC,2012,-0.17819156
Nigeria,NGA,2012,-0.14435506
Pakistan,PAK,2012,-0.27611402
Peru,PER,2012,-0.13272074
Philippines,PHL,2012,0.38086686
Poland,POL,2012,-0.37012252
Portugal,PRT,2012,0.049267769
Romania,ROU,2012,-0.23912187
Russia,RUS,2012,-0.069240831
Rwanda,RWA,2012,-0.14198996
Saudi Arabia,SAU,2012,-0.37126616
Serbia,SRB,2012,-0.3164179
South Africa,ZAF,2012,-0.32110974
South Korea,KOR,2012,0.39361739
Spain,ESP,2012,-0.12915435
Sri Lanka,LKA,2012,0.51159638
Suriname,SUR,2012,0.090162762
Sweden,SWE,2012,-0.16685829
Switzerland,CHE,2012,0.094707355
Tanzania,TZA,2012,-0.45671925
Thailand,THA,2012,-0.14669047
Turkey,TUR,2012,-0.27897453
Uganda,UGA,2012,-0.28195307
Ukraine,UKR,2012,-0.12226596
United Arab Emirates,ARE,2012,0.15418167
United Kingdom,GBR,2012,0.028450366
United States,USA,2012,0.40642887
Venezuela,VEN,2012,0.080399625
Vietnam,VNM,2012,-0.15891524
Zimbabwe,ZWE,2012,-0.040835325
