Entity,Code,Year,Tea,Sugar,Peanuts,Palm oil,Coffee,Cocoa,Wheat,Rye,Rice,Corn,Barley,Pork,Beef,Lamb
World,OWID_WRL,1850,191.1221759,210.8425933,,117.3051519,138.9906694,79.91210062,98.04872698,189.6575143,124.9669749,98.80268838,116.8384226,55.13065906,76.80694471,78.36911985
World,OWID_WRL,1851,182.4457594,224.0110079,,111.8488529,120.2754219,78.66895814,70.05146382,205.8352318,118.7584345,98.94129557,126.4721324,76.30844038,78.46539425,81.92319129
World,OWID_WRL,1852,155.1641505,196.0470169,,114.6061415,112.3801728,63.19299031,68.53605593,224.2432444,132.176235,106.7651641,143.7136162,92.36371987,80.21488969,81.04817723
World,OWID_WRL,1853,193.1635343,221.618367,,146.2216288,115.685472,92.88047956,111.9464869,200.9218993,160.0801068,109.2369243,166.8283937,84.03927551,100.9155064,99.46821751
World,OWID_WRL,1854,180.6526807,196.0784314,,174.5454545,123.1751825,94.58436926,152.599007,146.9032611,166.2162162,118.1766805,166.4530656,67.31146854,102.3809524,91.52542373
World,OWID_WRL,1855,170.4975216,220.9368712,,155.4176611,116.6932332,91.87550904,178.457213,119.3020423,170.6443914,135.8427906,156.7455104,84.30487719,101.7615638,87.25779701
World,OWID_WRL,1856,168.6224967,256.3045656,,151.2408759,129.5058045,93.66384012,144.3562611,187.6526826,133.8199513,97.08020591,188.184438,86.45023267,96.6689839,88.95624562
World,OWID_WRL,1857,195.2385282,309.4052751,,157.4468085,128.7582038,85.80632648,123.6765093,177.4822415,133.9243499,106.9439644,187.2946771,99.91264282,96.21749409,88.06346917
World,OWID_WRL,1858,196.8768074,264.0129736,,144.6616541,128.7472026,90.04874453,93.49119322,220.6937656,104.7619048,110.7463326,164.1307881,80.96384645,99.57632176,88.17382439
World,OWID_WRL,1859,218.6994974,245.5505279,,165.2605459,138.2197388,76.41853754,125.2990213,183.3936435,117.369727,124.3123092,156.8981915,88.14957185,98.58797117,90.72212642
World,OWID_WRL,1860,219.523446,253.4715127,,168.9330025,147.4343881,71.86981507,132.4284108,193.5643643,140.5707196,107.5652548,171.3739175,101.2427438,100.9925558,95.85734113
World,OWID_WRL,1861,189.0770432,216.7975387,,155.971897,159.4400474,69.54751648,96.7246951,226.9292148,136.5339578,63.31989147,159.097382,66.8236327,95.31615925,88.85404676
World,OWID_WRL,1862,186.6298488,183.3443942,,130.5435897,223.4450059,124.1004299,90.17251897,175.5310245,119.5897436,62.00803321,135.4927954,46.67284931,77.52380952,74.99695784
World,OWID_WRL,1863,145.8546657,141.6404853,,89.99178307,245.1258229,134.3566062,94.19757195,98.71766217,99.42481512,103.1432645,102.395838,55.06616628,65.29326603,61.21749788
World,OWID_WRL,1864,113.435022,134.1418511,,66.08010506,104.8461306,117.0414068,115.8312809,54.1770409,69.33683519,151.8014365,71.93760987,83.72356051,55.99224588,49.82360862
World,OWID_WRL,1865,119.445933,109.1681258,,69.36035465,100.3437761,132.0971822,83.14042896,69.25554098,75.93413553,86.09339772,71.26934386,104.3803137,56.46129256,55.92039587
World,OWID_WRL,1866,118.7900901,107.857152,,80.7797271,89.27851529,93.92941662,97.95697232,77.27178888,85.76998051,75.55745823,91.70781581,91.15155691,59.18809369,54.68441978
World,OWID_WRL,1867,124.8417552,124.6588454,,84.63040446,83.73078894,77.02491334,159.7359863,58.59332801,91.28312413,128.8002541,104.9843448,70.21710563,60.81888822,52.91586885
World,OWID_WRL,1868,132.6690484,129.7248072,,85.92162554,75.4558071,72.00310122,143.580054,54.28791664,87.808418,129.4348645,117.4445695,94.14306928,60.47757274,51.0614745
World,OWID_WRL,1869,127.6926959,144.9881997,,91.86979561,78.71165949,68.07162148,97.06847722,75.29602234,79.93943982,109.9045417,112.5402771,115.2003681,67.48855485,60.57557834
World,OWID_WRL,1870,128.8456471,151.4066496,203.4221599,91.256917,88.06728023,78.81756614,88.10217806,103.3932136,83.47826087,121.3739706,103.2411067,107.813162,73.54037267,63.25718497
World,OWID_WRL,1871,131.7307692,167.1568627,221.7741935,95,108.7287105,66.68648434,118.1572376,105.251996,84.54391892,88.39328498,130.2364865,68.46614368,86.75595238,73.41101695
World,OWID_WRL,1872,134.4551282,161.7647059,188.5080645,97.5,140.0927616,71.59135949,121.5237987,102.0958084,92.90540541,69.22917756,124.6621622,58.64471511,85.11904762,78.0720339
World,OWID_WRL,1873,136.3373121,154.1041244,178.8264739,96.96551724,172.8699975,65.75266172,116.0568535,106.0289765,91.03448276,67.1369892,166.0344828,62.87123779,93.56321839,84.44476914
World,OWID_WRL,1874,146.0888146,153.246661,230.7094437,96.52173913,187.2449002,69.92480771,113.2020466,125.9770314,99.63768116,127.551727,174.2753623,87.61369212,89.5315735,77.48096291
