Entity,Code,Year,Change in under-5 population (2015 to 2050; 2050 to 2100)
Afghanistan,AFG,2050,-1088
Afghanistan,AFG,2100,-1604124
Africa,,2050,97476763
Africa,,2100,35733980
Albania,ALB,2050,-55772
Albania,ALB,2100,-48028
Algeria,DZA,2050,-733774
Algeria,DZA,2100,-881625
Angola,AGO,2050,5169042
Angola,AGO,2100,4422150
Antigua and Barbuda,ATG,2050,-790
Antigua and Barbuda,ATG,2100,-1287
Argentina,ARG,2050,-272715
Argentina,ARG,2100,-609708
Armenia,ARM,2050,-76697
Armenia,ARM,2100,-47595
Aruba,ABW,2050,-233
Aruba,ABW,2100,-650
Asia,,2050,-58419280
Asia,,2100,-74110157
Australia,AUS,2050,348819
Australia,AUS,2100,185823
Australia/New Zealand,,2050,350173
Australia/New Zealand,,2100,166505
Austria,AUT,2050,-8674
Austria,AUT,2100,-21739
Azerbaijan,AZE,2050,-248479
Azerbaijan,AZE,2100,-144865
Bahamas,BHS,2050,-2616
Bahamas,BHS,2100,-2988
Bahrain,BHR,2050,-5830
Bahrain,BHR,2100,-9269
Bangladesh,BGD,2050,-4264558
Bangladesh,BGD,2100,-3343840
Barbados,BRB,2050,-2091
Barbados,BRB,2100,-2279
Belarus,BLR,2050,-90029
Belarus,BLR,2100,-92650
Belgium,BEL,2050,20621
Belgium,BEL,2100,-14885
Belize,BLZ,2050,1905
Belize,BLZ,2100,-5701
Benin,BEN,2050,1140969
Benin,BEN,2100,622812
Bhutan,BTN,2050,-17627
Bhutan,BTN,2100,-13657
Bolivia,BOL,2050,-14647
Bolivia,BOL,2100,-261985
Bosnia and Herzegovina,BIH,2050,-34326
Bosnia and Herzegovina,BIH,2100,-28593
Botswana,BWA,2050,-15678
Botswana,BWA,2100,-43252
Brazil,BRA,2050,-3848353
Brazil,BRA,2100,-2668819
Brunei,BRN,2050,-5611
Brunei,BRN,2100,-5592
Bulgaria,BGR,2050,-78498
Bulgaria,BGR,2100,-74933
Burkina Faso,BFA,2050,2128187
Burkina Faso,BFA,2100,762793
Burundi,BDI,2050,1535491
Burundi,BDI,2100,1042040
