Entity,Code,Year,Top 10% share of net personal wealth (WID 2018)
China,CHN,1978,40.8106297
China,CHN,1979,40.8106327
China,CHN,1980,40.8106297
China,CHN,1981,40.8106327
China,CHN,1982,40.8106297
China,CHN,1983,40.8106297
China,CHN,1984,40.8106297
China,CHN,1985,40.8106297
China,CHN,1986,40.8106297
China,CHN,1987,40.8106268
China,CHN,1988,40.8106327
China,CHN,1989,40.8106327
China,CHN,1990,40.8106297
China,CHN,1991,40.8106297
China,CHN,1992,40.8106297
China,CHN,1993,40.8106297
China,CHN,1994,40.8106297
China,CHN,1995,40.8106297
China,CHN,1996,43.0038482
China,CHN,1997,44.6414232
China,CHN,1998,45.9107846
China,CHN,1999,46.9235599
China,CHN,2000,47.7504164
China,CHN,2001,48.4382361
China,CHN,2002,49.0193754
China,CHN,2003,49.0296781
China,CHN,2004,50.6144881
China,CHN,2005,52.2943318
China,CHN,2006,53.9353013
China,CHN,2007,55.8197796
China,CHN,2008,56.9170296
China,CHN,2009,58.2027316
China,CHN,2010,62.7582431
China,CHN,2011,66.7127192
China,CHN,2012,66.5248036
China,CHN,2013,66.562438
China,CHN,2014,66.7395592
China,CHN,2015,67.4085915
France,FRA,1807,79.005909
France,FRA,1817,84.8040223
France,FRA,1827,82.4612677
France,FRA,1837,79.9206972
France,FRA,1847,86.7292285
France,FRA,1857,83.0213726
France,FRA,1867,80.9382677
France,FRA,1877,82.5851798
France,FRA,1887,83.2777917
France,FRA,1902,84.0516985
France,FRA,1903,85.0632429
France,FRA,1904,85.8655512
France,FRA,1905,86.0133588
France,FRA,1907,84.9824429
France,FRA,1909,85.1047874
France,FRA,1910,84.7267687
France,FRA,1911,85.4359984
France,FRA,1912,85.2452815
France,FRA,1913,84.9030197
France,FRA,1914,84.9073589
France,FRA,1915,84.3428671
France,FRA,1916,84.3036711
France,FRA,1917,84.2251778
France,FRA,1918,83.8413417
France,FRA,1919,83.3341181
France,FRA,1920,82.2932124
France,FRA,1921,81.5695882
France,FRA,1922,80.9571683
France,FRA,1923,80.4844081
France,FRA,1924,80.3360105
France,FRA,1925,78.6831617
France,FRA,1926,78.7088811
France,FRA,1927,79.8048973
France,FRA,1929,80.2656829
France,FRA,1930,80.2255809
France,FRA,1931,78.757292
France,FRA,1932,77.9655397
France,FRA,1933,78.1155288
France,FRA,1935,77.2239327
France,FRA,1936,76.686728
France,FRA,1937,76.3812602
France,FRA,1938,74.7333884
France,FRA,1939,75.5727708
France,FRA,1940,72.4079907
France,FRA,1941,73.2352972
France,FRA,1942,74.3438721
France,FRA,1943,76.3922215
France,FRA,1944,75.8428276
France,FRA,1945,73.7455428
France,FRA,1946,69.7503924
France,FRA,1947,68.8195825
France,FRA,1948,69.9143589
France,FRA,1949,71.5197384
France,FRA,1950,72.2396672
France,FRA,1951,69.9780822
France,FRA,1952,72.3260522
France,FRA,1953,72.8442371
France,FRA,1954,70.8542287
France,FRA,1955,70.573312
France,FRA,1956,69.9508727
France,FRA,1957,70.6242323
France,FRA,1958,69.1662192
France,FRA,1959,70.7206011
France,FRA,1960,71.0971415
France,FRA,1962,70.5993593
France,FRA,1964,72.8942812
France,FRA,1965,71.5770185
France,FRA,1966,69.4287777
France,FRA,1967,67.28549
France,FRA,1968,62.4623895
France,FRA,1969,58.7594509
France,FRA,1970,58.1649125
France,FRA,1971,57.2951913
France,FRA,1972,57.1044207
France,FRA,1973,56.8736315
France,FRA,1974,55.7384193
France,FRA,1975,54.9289405
France,FRA,1976,54.1283608
France,FRA,1977,53.2414675
France,FRA,1978,52.4655819
France,FRA,1979,51.9125819
France,FRA,1980,51.6457796
France,FRA,1981,50.9090483
France,FRA,1982,50.2453923
France,FRA,1983,50.0101924
France,FRA,1984,49.9753594
France,FRA,1985,50.1371503
France,FRA,1986,50.565809
France,FRA,1987,50.4988611
France,FRA,1988,50.4900575
France,FRA,1989,50.7558405
France,FRA,1990,50.2717078
France,FRA,1991,50.6542385
France,FRA,1992,51.0052979
France,FRA,1993,51.2132108
France,FRA,1994,51.1993587
France,FRA,1995,51.1166513
France,FRA,1996,54.0069282
France,FRA,1997,55.2384794
France,FRA,1998,56.3284278
France,FRA,1999,56.8758607
France,FRA,2000,57.0562482
France,FRA,2001,56.1082721
France,FRA,2002,54.6056926
France,FRA,2003,53.8408876
France,FRA,2004,52.9699087
France,FRA,2005,52.3728192
France,FRA,2006,52.8146625
France,FRA,2007,53.5888314
France,FRA,2008,53.2034397
France,FRA,2009,54.0525913
France,FRA,2010,55.9136391
France,FRA,2011,55.0741792
France,FRA,2012,54.5121372
France,FRA,2013,54.8515916
France,FRA,2014,55.2764714
Russia,RUS,1995,52.5536597
Russia,RUS,1996,54.4090986
Russia,RUS,1997,59.5654488
Russia,RUS,1998,62.4041677
Russia,RUS,1999,65.7416225
Russia,RUS,2000,64.6474838
Russia,RUS,2001,66.7413592
Russia,RUS,2002,64.3013358
Russia,RUS,2003,66.7090178
Russia,RUS,2004,67.0241535
Russia,RUS,2005,65.7116115
Russia,RUS,2006,63.8349235
Russia,RUS,2007,63.8570368
Russia,RUS,2008,66.4425552
Russia,RUS,2009,62.8777087
Russia,RUS,2010,65.9879446
Russia,RUS,2011,68.3105171
Russia,RUS,2012,67.9313362
Russia,RUS,2013,67.8541422
Russia,RUS,2014,68.4877932
Russia,RUS,2015,71.322155
United Kingdom,GBR,1895,93.0318773
United Kingdom,GBR,1896,92.9006934
United Kingdom,GBR,1897,92.7882433
United Kingdom,GBR,1898,92.6289499
United Kingdom,GBR,1899,92.5914705
United Kingdom,GBR,1900,92.6570654
United Kingdom,GBR,1901,92.9381788
United Kingdom,GBR,1902,92.5633609
United Kingdom,GBR,1903,92.3946977
United Kingdom,GBR,1904,92.3665822
United Kingdom,GBR,1905,92.5165117
United Kingdom,GBR,1906,92.5446272
United Kingdom,GBR,1907,92.2072887
United Kingdom,GBR,1908,92.0479894
United Kingdom,GBR,1909,92.1604395
United Kingdom,GBR,1910,91.8980718
United Kingdom,GBR,1911,92.6996231
United Kingdom,GBR,1912,92.8451359
United Kingdom,GBR,1913,92.5732553
United Kingdom,GBR,1914,92.9655433
United Kingdom,GBR,1919,88.5341287
United Kingdom,GBR,1920,87.973845
United Kingdom,GBR,1921,88.1780565
United Kingdom,GBR,1922,88.8246059
United Kingdom,GBR,1923,88.3303762
United Kingdom,GBR,1924,87.9292667
United Kingdom,GBR,1925,88.1647706
United Kingdom,GBR,1926,87.2117162
United Kingdom,GBR,1927,87.9828274
United Kingdom,GBR,1928,86.6827011
United Kingdom,GBR,1929,87.0702267
United Kingdom,GBR,1930,86.1310601
United Kingdom,GBR,1931,85.8073652
United Kingdom,GBR,1932,85.7417762
United Kingdom,GBR,1933,86.4070654
United Kingdom,GBR,1934,86.1165941
United Kingdom,GBR,1935,85.8729601
United Kingdom,GBR,1936,85.1631999
United Kingdom,GBR,1937,85.4700387
United Kingdom,GBR,1938,85.0125372
United Kingdom,GBR,1939,84.2893779
United Kingdom,GBR,1940,83.8114917
United Kingdom,GBR,1941,82.8557193
United Kingdom,GBR,1946,83.5116327
United Kingdom,GBR,1947,82.9775333
United Kingdom,GBR,1948,83.0993474
United Kingdom,GBR,1949,81.768769
United Kingdom,GBR,1950,79.9415529
United Kingdom,GBR,1951,78.3017397
United Kingdom,GBR,1952,77.4865329
United Kingdom,GBR,1953,76.933676
United Kingdom,GBR,1954,76.624459
United Kingdom,GBR,1955,75.3219843
United Kingdom,GBR,1956,73.9539206
United Kingdom,GBR,1957,72.4171877
United Kingdom,GBR,1958,72.0423758
United Kingdom,GBR,1959,71.6394484
United Kingdom,GBR,1960,70.5413878
United Kingdom,GBR,1961,69.3599641
United Kingdom,GBR,1962,67.3496783
United Kingdom,GBR,1963,67.9459751
United Kingdom,GBR,1964,68.4937418
United Kingdom,GBR,1965,68.1592464
United Kingdom,GBR,1966,66.2894905
