Entity,Code,Year,Share of women in top 0.1%,Share of women in top 0.25%,Share of women in top 0.5%,Share of women in top 1%,Share of women in top 10%,Share of women in top 5%
Australia,AUS,2000,14.2,,,18.3,24.9,21.1
Australia,AUS,2001,13.2,,,18.4,25.1,21.4
Australia,AUS,2002,13.5,,,18.8,25.1,21.5
Australia,AUS,2003,14.4,,,19.1,25.1,21.6
Australia,AUS,2004,15.2,,,19.6,25.5,22.2
Australia,AUS,2005,15.1,,,20.3,25.5,22.6
Australia,AUS,2006,16.8,,,21.5,26,23.4
Australia,AUS,2007,16.1,,,20.7,25.4,22.9
Australia,AUS,2008,16.1,,,20.2,25.9,22.6
Australia,AUS,2009,15.9,,,20,26,22.5
Australia,AUS,2010,16.7,,,20.4,25.8,22.8
Australia,AUS,2011,16.7,,,20.2,25.3,22.3
Australia,AUS,2012,16.7,,,19.8,25.1,21.8
Australia,AUS,2013,17.2,,,20.3,25.7,22.3
Australia,AUS,2014,,,,20.8,26.6,23
Canada,CAN,1993,10.4,,,13.5,22.2,18.6
Canada,CAN,1994,10.7,,,13.8,21.9,18.1
Canada,CAN,1995,10.3,,,14.5,22.3,18.5
Canada,CAN,1996,9.9,,,15,22.7,19
Canada,CAN,1997,9.9,,,15.4,22.7,18.9
Canada,CAN,1998,10.8,,,15.7,23.4,19.6
Canada,CAN,1999,11.8,,,16.2,23.7,19.9
Canada,CAN,2000,11.4,,,16.6,25.7,21.8
Canada,CAN,2001,11.5,,,17.2,25.2,21.3
Canada,CAN,2002,12.1,,,17.5,26.2,21.9
Canada,CAN,2003,12.6,,,17.9,26.7,22.3
Canada,CAN,2004,12.2,,,18.5,27.2,22.9
Canada,CAN,2005,12.5,,,18.8,27.3,23
Canada,CAN,2006,12,,,19.5,27.8,23.6
Canada,CAN,2007,12.9,,,20.1,28.5,24.2
Canada,CAN,2008,13.4,,,20.3,28.8,24.4
Canada,CAN,2009,13.7,,,20.8,30.6,25.6
Canada,CAN,2010,13.3,,,20.9,30.4,25.5
Canada,CAN,2011,13.9,,,21.1,30.3,25.4
