Entity,Code,Year,Oil per capita (kWh) (kilowatt-hours)
Africa,,1965,1025.3091659304216
Africa,,1966,1094.0914003141781
Africa,,1967,1058.6264372163841
Africa,,1968,1088.9979374681418
Africa,,1969,1076.1232255988996
Africa,,1970,1158.6963326563912
Africa,,1971,1275.681043050372
Africa,,1972,1346.5344711354371
Africa,,1973,1410.2250519646655
Africa,,1974,1419.5514009745607
Africa,,1975,1444.873075478906
Africa,,1976,1560.852188866909
Africa,,1977,1606.8503735453241
Africa,,1978,1644.3170103942239
Africa,,1979,1704.453934823094
Africa,,1980,1754.8587639538953
Africa,,1981,1815.946064834777
Africa,,1982,1850.120197938876
Africa,,1983,1859.6644545880265
Africa,,1984,1846.3383173655077
Africa,,1985,1835.4493402153555
Africa,,1986,1756.4451295766164
Africa,,1987,1794.203160278176
Africa,,1988,1826.3383617864476
Africa,,1989,1842.3240291014683
Africa,,1990,1818.3018085832812
Africa,,1991,1783.1128430480549
Africa,,1992,1776.3092100037322
Africa,,1993,1751.6492173631505
Africa,,1994,1747.3411689020998
Africa,,1995,1763.9794785775628
Africa,,1996,1764.3278761372046
Africa,,1997,1767.4613249887645
Africa,,1998,1766.0270822387022
Africa,,1999,1785.2143377481357
Africa,,2000,1752.2824662693715
Africa,,2001,1733.1960933944229
Africa,,2002,1721.8142466880315
Africa,,2003,1725.1777543622916
Africa,,2004,1763.642905950885
Africa,,2005,1808.1624713690053
Africa,,2006,1775.8542271831304
Africa,,2007,1790.3039445413888
Africa,,2008,1843.3609102421572
Africa,,2009,1861.6403072829419
Africa,,2010,1901.140893886678
Africa,,2011,1802.2212184343168
Africa,,2012,1854.9514028114986
Africa,,2013,1868.6726827850903
Africa,,2014,1854.1609226283463
Africa,,2015,1848.0674303725625
Africa,,2016,1811.5552881944416
Africa,,2017,1795.5855300284884
Africa,,2018,1743.9445556490807
Algeria,DZA,1965,1227.4123134658594
Algeria,DZA,1966,1571.1621544656284
Algeria,DZA,1967,1426.8949992301318
Algeria,DZA,1968,1475.9441884645785
Algeria,DZA,1969,1515.142227643294
Algeria,DZA,1970,1683.2133307092984
Algeria,DZA,1971,1845.0813793464229
Algeria,DZA,1972,1970.5229732755467
Algeria,DZA,1973,2094.229471439847
Algeria,DZA,1974,2262.916640996347
Algeria,DZA,1975,2446.4515591672684
Algeria,DZA,1976,2734.269723987475
Algeria,DZA,1977,3003.2698407205826
Algeria,DZA,1978,3016.6801855712074
Algeria,DZA,1979,3502.7143513261485
Algeria,DZA,1980,3444.096868282697
Algeria,DZA,1981,3597.814405411623
Algeria,DZA,1982,3694.9796009724732
Algeria,DZA,1983,4022.9561703492564
Algeria,DZA,1984,4319.151184791399
Algeria,DZA,1985,4304.288652673414
Algeria,DZA,1986,4242.97697870574
Algeria,DZA,1987,4168.441317574661
Algeria,DZA,1988,4057.300601847155
Algeria,DZA,1989,4139.913212609735
Algeria,DZA,1990,4340.681541568772
Algeria,DZA,1991,4190.446443768183
Algeria,DZA,1992,4117.680019281486
Algeria,DZA,1993,4007.630505937184
Algeria,DZA,1994,3758.8039920064507
Algeria,DZA,1995,3586.559662748453
Algeria,DZA,1996,3363.017827100048
Algeria,DZA,1997,3282.904194032882
Algeria,DZA,1998,3333.843873019575
Algeria,DZA,1999,3229.5446506132653
Algeria,DZA,2000,3322.352932362284
Algeria,DZA,2001,3394.8662689781254
Algeria,DZA,2002,3716.7549759535395
