Entity,Code,Year,PASEC: Mean performance on the French language scale (100 points) for 5th grade students. Total (100 points for 5th grade students. Tota)
Benin,BEN,2005,31.6
Burkina Faso,BFA,2007,37.82375
Burundi,BDI,2009,41.71014
Cameroon,CMR,2005,53.4
Chad,TCD,2004,31.7
Chad,TCD,2010,37.54488
Comoros,COM,2009,31.48953
Congo,COG,2009,37.157
Cote d'Ivoire,CIV,2009,37.42469
Democratic Republic of Congo,COD,2010,42.45451
Gabon,GAB,2006,60.14431
Madagascar,MDG,2005,36.9
Senegal,SEN,2007,40.66195
Togo,TGO,2010,32.26158
