Entity,Code,Year,Trust (Falk et al. (2018) GPS)
Afghanistan,AFG,2012,0.3159644
Algeria,DZA,2012,-0.17737062
Argentina,ARG,2012,-0.20673333
Australia,AUS,2012,0.29897258
Austria,AUT,2012,0.15462811
Bangladesh,BGD,2012,-0.17336532
Bolivia,BOL,2012,-0.16032963
Bosnia and Herzegovina,BIH,2012,-0.19310626
Botswana,BWA,2012,-0.33846158
Brazil,BRA,2012,-0.002689139
Cambodia,KHM,2012,-0.079135038
Cameroon,CMR,2012,-0.53091615
Canada,CAN,2012,0.24527504
Chile,CHL,2012,-0.083214097
China,CHN,2012,0.55280578
Colombia,COL,2012,0.005546534
Costa Rica,CRI,2012,-0.14910293
Croatia,HRV,2012,0.10511626
Czech Republic,CZE,2012,-0.45068413
Egypt,EGY,2012,0.60902089
Estonia,EST,2012,0.086126119
Finland,FIN,2012,0.099907011
France,FRA,2012,-0.16548221
Georgia,GEO,2012,-0.20484574
Germany,DEU,2012,-0.11882253
Ghana,GHA,2012,-0.19801778
Greece,GRC,2012,-0.35150549
Guatemala,GTM,2012,-0.36296293
Haiti,HTI,2012,-0.15751432
Hungary,HUN,2012,0.53216553
India,IND,2012,-0.20398138
Indonesia,IDN,2012,0.26359722
Iran,IRN,2012,0.30046999
Iraq,IRQ,2012,0.28961954
Israel,ISR,2012,-0.053660519
Italy,ITA,2012,-0.074733861
Japan,JPN,2012,-0.51872993
Jordan,JOR,2012,0.38980365
Kazakhstan,KAZ,2012,0.15293807
Kenya,KEN,2012,-0.42230323
Lithuania,LTU,2012,-0.17750166
Malawi,MWI,2012,-0.47343591
Mexico,MEX,2012,-0.35707209
Moldova,MDA,2012,0.001175667
Morocco,MAR,2012,-0.090314753
Netherlands,NLD,2012,0.29805693
Nicaragua,NIC,2012,0.022988806
Nigeria,NGA,2012,-0.057804402
Pakistan,PAK,2012,-0.10337088
Peru,PER,2012,-0.096918501
Philippines,PHL,2012,0.35706308
Poland,POL,2012,-0.14705054
Portugal,PRT,2012,0.082586966
Romania,ROU,2012,-0.21704744
Russia,RUS,2012,-0.15077487
Rwanda,RWA,2012,-0.12548469
Saudi Arabia,SAU,2012,0.30015314
Serbia,SRB,2012,-0.16020425
South Africa,ZAF,2012,-0.16691782
South Korea,KOR,2012,-0.099214643
Spain,ESP,2012,0.2410433
Sri Lanka,LKA,2012,-0.27219585
Suriname,SUR,2012,0.11636458
Sweden,SWE,2012,0.30693087
Switzerland,CHE,2012,0.088283934
Tanzania,TZA,2012,-0.14714427
Thailand,THA,2012,0.34843981
Turkey,TUR,2012,0.12911025
Uganda,UGA,2012,-0.70643896
Ukraine,UKR,2012,-0.092386983
United Arab Emirates,ARE,2012,0.50710827
United Kingdom,GBR,2012,0.23470205
United States,USA,2012,0.15036696
Venezuela,VEN,2012,0.1149914
Vietnam,VNM,2012,0.14363137
Zimbabwe,ZWE,2012,-0.5091331
