Entity,Code,Year,Antibiotic use in livestock (mg/PCU)
Afghanistan,AFG,2010,16.3
Albania,ALB,2010,38.2
Algeria,DZA,2010,65.1
Angola,AGO,2010,25.1
Argentina,ARG,2010,29.6
Armenia,ARM,2010,26.8
Australia,AUS,2010,42.1
Austria,AUT,2010,62.9
Austria,AUT,2011,54.5
Austria,AUT,2012,54.9
Austria,AUT,2013,57.2
Austria,AUT,2014,56.3
Austria,AUT,2015,50.7
Azerbaijan,AZE,2010,32
Bahamas,BHS,2010,149.4
Bangladesh,BGD,2010,41.2
Belarus,BLR,2010,66.5
Belgium,BEL,2010,180.1
Belgium,BEL,2011,175.3
Belgium,BEL,2012,163.1
Belgium,BEL,2013,156.6
Belgium,BEL,2014,158.3
Belgium,BEL,2015,150.1
Benin,BEN,2010,12.8
Bhutan,BTN,2010,13.6
Bolivia,BOL,2010,53.6
Bosnia and Herzegovina,BIH,2010,76.1
Botswana,BWA,2010,17.9
Brazil,BRA,2010,44.5
Bulgaria,BGR,2010,82.6
Bulgaria,BGR,2011,92.6
Bulgaria,BGR,2012,98.9
Bulgaria,BGR,2013,116.1
Bulgaria,BGR,2014,82.9
Bulgaria,BGR,2015,121.9
Burkina Faso,BFA,2010,14.2
Cambodia,KHM,2010,25.4
Cameroon,CMR,2010,51.2
Canada,CAN,2010,111.5
Central African Republic,CAF,2010,11.9
Chad,TCD,2010,30.8
Chile,CHL,2010,97.3
China,CHN,2010,62.5
Colombia,COL,2010,35.8
Congo,COG,2010,19.2
Costa Rica,CRI,2010,58.5
Cote d'Ivoire,CIV,2010,20.1
Croatia,HRV,2010,99.3
Croatia,HRV,2014,114.8
Croatia,HRV,2015,101.6
Cuba,CUB,2010,17.9
Cyprus,CYP,2010,407.6
Cyprus,CYP,2011,407.6
Cyprus,CYP,2012,396.5
Cyprus,CYP,2013,425.8
Cyprus,CYP,2014,391.5
Cyprus,CYP,2015,434.2
Czech Republic,CZE,2010,94.3
Czech Republic,CZE,2011,83
Czech Republic,CZE,2012,79.8
Czech Republic,CZE,2013,82.2
Czech Republic,CZE,2014,79.5
Czech Republic,CZE,2015,68.1
Democratic Republic of Congo,COD,2010,41.4
Denmark,DNK,2010,47.5
Denmark,DNK,2011,42.6
Denmark,DNK,2012,44.1
Denmark,DNK,2013,44.9
Denmark,DNK,2014,44.2
Denmark,DNK,2015,42.2
Djibouti,DJI,2010,0
Dominican Republic,DOM,2010,62.6
Ecuador,ECU,2010,74.3
Egypt,EGY,2010,58.1
Equatorial Guinea,GNQ,2010,64.9
Eritrea,ERI,2010,17.3
Estonia,EST,2010,70.9
Estonia,EST,2011,70.7
Estonia,EST,2012,62.9
Estonia,EST,2013,70.4
Estonia,EST,2014,77.1
Estonia,EST,2015,65.2
