Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2017 United States dollars) - DC_ODA_TOTL (constant USD)"
Australia,AUS,2000,2110993419.9999998
Australia,AUS,2001,2020426730
Australia,AUS,2002,2115360060
Australia,AUS,2003,2114197440
Australia,AUS,2004,2159523750
Australia,AUS,2005,2291401130
Australia,AUS,2006,2791388940
Australia,AUS,2007,3024016860
Australia,AUS,2008,3190632460
Australia,AUS,2009,3139404850
Australia,AUS,2010,3514693810
Australia,AUS,2011,3880358210
Australia,AUS,2012,4220088149.9999995
Australia,AUS,2013,4012957240
Australia,AUS,2014,3868961080
Australia,AUS,2015,3731229230
Australia,AUS,2016,3495165680
Australia,AUS,2017,3035960000
Australia,AUS,2018,3151296640
Austria,AUT,2000,724152560
Austria,AUT,2001,1052590170
Austria,AUT,2002,812327970
Austria,AUT,2003,649096880
Austria,AUT,2004,779070900
Austria,AUT,2005,1763475810
Austria,AUT,2006,1632030250
Austria,AUT,2007,1766748020
Austria,AUT,2008,1558434440
Austria,AUT,2009,1055614759.9999999
Austria,AUT,2010,1164125410
Austria,AUT,2011,1001775380
Austria,AUT,2012,1056373700.0000001
Austria,AUT,2013,1065906790
Austria,AUT,2014,1100267270
Austria,AUT,2015,1380982500
Austria,AUT,2016,1687931410
Austria,AUT,2017,1251270000
Austria,AUT,2018,1104266170
Belgium,BEL,2000,1335837380
Belgium,BEL,2001,1424637530
Belgium,BEL,2002,1644994910
Belgium,BEL,2003,2327551180
Belgium,BEL,2004,1638698990
Belgium,BEL,2005,2151904820
Belgium,BEL,2006,2097071919.9999998
Belgium,BEL,2007,1859964280
Belgium,BEL,2008,2118253060
Belgium,BEL,2009,2381473250
Belgium,BEL,2010,2828926840
Belgium,BEL,2011,2469070610
Belgium,BEL,2012,2159672160
Belgium,BEL,2013,2055122629.9999998
Belgium,BEL,2014,2172582360
Belgium,BEL,2015,2002898890
Belgium,BEL,2016,2383861580
Belgium,BEL,2017,2196170000
Belgium,BEL,2018,2218504800
Canada,CAN,2000,2767011010
Canada,CAN,2001,2494709920
Canada,CAN,2002,3266836670
Canada,CAN,2003,2858668340
Canada,CAN,2004,3292319140
Canada,CAN,2005,4296021660
Canada,CAN,2006,3842826000
Canada,CAN,2007,3901896650
Canada,CAN,2008,4413274040
Canada,CAN,2009,3998545790
Canada,CAN,2010,4574520430
Canada,CAN,2011,4453532880
Canada,CAN,2012,4600822510
Canada,CAN,2013,4088548830
Canada,CAN,2014,3684879070
Canada,CAN,2015,4334102400
Canada,CAN,2016,4104320609.9999995
Canada,CAN,2017,4304890000
Canada,CAN,2018,4520587060
Czech Republic,CZE,2000,35687020
Czech Republic,CZE,2001,54882720
Czech Republic,CZE,2002,78887110
Czech Republic,CZE,2003,133576699.99999999
Czech Republic,CZE,2004,140463070
Czech Republic,CZE,2005,163321800
Czech Republic,CZE,2006,182040410
Czech Republic,CZE,2007,175658690
Czech Republic,CZE,2008,205004260
Czech Republic,CZE,2009,188438810
Czech Republic,CZE,2010,203567560
Czech Republic,CZE,2011,207476290
Czech Republic,CZE,2012,198257880
Czech Republic,CZE,2013,187865490
Czech Republic,CZE,2014,195733700
Czech Republic,CZE,2015,215008700
Czech Republic,CZE,2016,275946490
Czech Republic,CZE,2017,304120000
Czech Republic,CZE,2018,294322480
Denmark,DNK,2000,2776291450
Denmark,DNK,2001,2736218030
Denmark,DNK,2002,2546878110
Denmark,DNK,2003,2227093610
Denmark,DNK,2004,2314299460
Denmark,DNK,2005,2331496240
Denmark,DNK,2006,2400391410
Denmark,DNK,2007,2459059280
Denmark,DNK,2008,2452990460
Denmark,DNK,2009,2530549150
Denmark,DNK,2010,2634033940
Denmark,DNK,2011,2547674720
