Entity,Code,Year,Candles (%),Whale Oil (%),Electricity (%),Gas (%),Kerosene (%)
United Kingdom,GBR,1700,99,1,,,
United Kingdom,GBR,1750,95,5,,,
United Kingdom,GBR,1800,90,10,,,
United Kingdom,GBR,1850,21,1,,78,
United Kingdom,GBR,1900,1,,2,82,15
United Kingdom,GBR,1950,,,99,1,
United Kingdom,GBR,2000,,,100,,
United Kingdom,GBR,2010,,,100,,
United Kingdom,GBR,2017,,,100,,
