Entity,Code,Year,Arable land and permanent crops (FAO (2017)) (hectares),FAO arable land projections (FAO (2017)) (hectares)
World,OWID_WRL,1961,1380099710,
World,OWID_WRL,1962,1384854800,
World,OWID_WRL,1963,1394133810,
World,OWID_WRL,1964,1397691470,
World,OWID_WRL,1965,1403534130,
World,OWID_WRL,1966,1401574090,
World,OWID_WRL,1967,1407592070,
World,OWID_WRL,1968,1419553350,
World,OWID_WRL,1969,1438018830,
World,OWID_WRL,1970,1437086970,
World,OWID_WRL,1971,1435734560,
World,OWID_WRL,1972,1433978800,
World,OWID_WRL,1973,1441501300,
World,OWID_WRL,1974,1441611700,
World,OWID_WRL,1975,1441217300,
World,OWID_WRL,1976,1444101800,
World,OWID_WRL,1977,1441347300,
World,OWID_WRL,1978,1447115700,
World,OWID_WRL,1979,1450574100,
World,OWID_WRL,1980,1452360500,
World,OWID_WRL,1981,1450236000,
World,OWID_WRL,1982,1464215240,
World,OWID_WRL,1983,1467361240,
World,OWID_WRL,1984,1484970660,
World,OWID_WRL,1985,1500963000,
World,OWID_WRL,1986,1511473200,
World,OWID_WRL,1987,1517204000,
World,OWID_WRL,1988,1520087200,
World,OWID_WRL,1989,1523718200,
World,OWID_WRL,1990,1528387300,
World,OWID_WRL,1991,1532239200,
World,OWID_WRL,1992,1532576680,
World,OWID_WRL,1993,1533802100,
World,OWID_WRL,1994,1534637500,
World,OWID_WRL,1995,1535389300,
World,OWID_WRL,1996,1528739260,
World,OWID_WRL,1997,1534843120,
World,OWID_WRL,1998,1538512520,
World,OWID_WRL,1999,1540763490,
World,OWID_WRL,2000,1537452500,
World,OWID_WRL,2001,1536487910,
World,OWID_WRL,2002,1532929160,
World,OWID_WRL,2003,1540780240,
World,OWID_WRL,2004,1546707160,
World,OWID_WRL,2005,1554216620,
World,OWID_WRL,2006,1543801800,
World,OWID_WRL,2007,1545769320,
World,OWID_WRL,2008,1550169240,
World,OWID_WRL,2009,1549201230,
World,OWID_WRL,2010,1547464790,
World,OWID_WRL,2011,1560438670,
World,OWID_WRL,2012,1574172610,
World,OWID_WRL,2013,1576531910,
World,OWID_WRL,2014,1584563080,1584563080
World,OWID_WRL,2020,,1589000000
World,OWID_WRL,2030,,1645000000
World,OWID_WRL,2050,,1661000000
