Entity,Code,Year,"Intercontinental trade, 1500-1800 (£ per capita)"
"Austria, Hungary and Czechoslovakia",,1500,0
"Austria, Hungary and Czechoslovakia",,1600,0
"Austria, Hungary and Czechoslovakia",,1700,0
"Austria, Hungary and Czechoslovakia",,1750,0
"Austria, Hungary and Czechoslovakia",,1800,0
Belgium,BEL,1500,0
Belgium,BEL,1600,0
Belgium,BEL,1700,0
Belgium,BEL,1750,0
Belgium,BEL,1800,0
England and Wales,,1500,0
England and Wales,,1600,0
England and Wales,,1700,0.501504
England and Wales,,1750,0.927889655
England and Wales,,1800,2.7264
France,FRA,1500,0
France,FRA,1600,0
France,FRA,1700,0.068681818
France,FRA,1750,0.200897959
France,FRA,1800,0
Germany,DEU,1500,0
Germany,DEU,1600,0
Germany,DEU,1700,0
Germany,DEU,1750,0
Germany,DEU,1800,0
Holland,,1500,0
Holland,,1600,0
Holland,,1700,0.790526316
Holland,,1750,1.208421053
Holland,,1800,0
Italy,ITA,1500,0
Italy,ITA,1600,0
Italy,ITA,1700,0
Italy,ITA,1750,0
Italy,ITA,1800,0
Poland,POL,1500,0
Poland,POL,1600,0
Poland,POL,1700,0
Poland,POL,1750,0
Poland,POL,1800,0
Portugal,PRT,1500,0.258896219
Portugal,PRT,1600,0.490664531
Portugal,PRT,1700,0.652864044
Portugal,PRT,1750,1.238870854
Portugal,PRT,1800,1.939811361
Spain,ESP,1500,0
Spain,ESP,1600,0.189074074
Spain,ESP,1700,0.31009124
Spain,ESP,1750,0.578718391
Spain,ESP,1800,0.489126592
